Year,Most_Affected_Age_Group,COVID19_Deaths_Thousands,COVID19_Prevalence_Percent
2000,None,0,0.0
2001,None,0,0.0
2002,None,0,0.0
2003,None,0,0.0
2004,None,0,0.0
2005,None,0,0.0
2006,None,0,0.0
2007,None,0,0.0
2008,None,0,0.0
2009,None,0,0.0
2010,None,0,0.0
2011,None,0,0.0
2012,None,0,0.0
2013,None,0,0.0
2014,None,0,0.0
2015,None,0,0.0
2016,None,0,0.0
2017,None,0,0.0
2018,None,0,0.0
2019,None,0,0.0
2020,60+ years,150,6.5
2021,60+ years,450,14.2
2022,50+ years,120,9.8
2023,50+ years,30,4.1
2024,50+ years,10,1.2
2025,50+ years,5,0.5
