date,cases,deaths
2000-01-01,452,15
2000-01-31,469,13
2000-03-01,526,7
2000-03-31,421,16
2000-04-30,444,13
2000-05-30,485,10
2000-06-29,508,13
2000-07-29,629,6
2000-08-28,553,15
2000-09-27,485,21
2000-10-27,649,19
2000-11-26,533,24
2000-12-26,644,19
2001-01-25,646,17
2001-02-24,633,27
2001-03-26,761,9
2001-04-25,774,35
2001-05-25,706,12
2001-06-24,908,16
2001-07-24,658,29
2001-08-23,918,34
2001-09-22,832,9
2001-10-22,850,16
2001-11-21,761,21
2001-12-21,800,38
2002-01-20,924,29
2002-02-19,807,25
2002-03-21,957,22
2002-04-20,1048,14
2002-05-20,788,20
2002-06-19,904,17
2002-07-19,1073,37
2002-08-18,846,10
2002-09-17,929,38
2002-10-17,1126,45
2002-11-16,1273,32
2002-12-16,908,26
2003-01-15,1278,22
2003-02-14,1148,38
2003-03-16,1018,20
2003-04-15,1375,51
2003-05-15,1410,32
2003-06-14,1197,42
2003-07-14,1463,49
2003-08-13,1318,34
2003-09-12,1515,60
2003-10-12,1489,60
2003-11-11,1470,23
2003-12-11,1340,17
2004-01-10,1499,26
2004-02-09,1517,21
2004-03-10,1226,14
2004-04-09,1467,47
2004-05-09,1379,14
2004-06-08,1737,61
2004-07-08,1365,17
2004-08-07,1454,57
2004-09-06,1491,39
2004-10-06,1708,51
2004-11-05,1862,71
2004-12-05,1775,30
2005-01-04,1506,23
2005-02-03,1403,63
2005-03-05,1687,51
2005-04-04,1884,32
2005-05-04,1608,63
2005-06-03,1642,26
2005-07-03,1826,70
2005-08-02,1764,44
2005-09-01,1971,96
2005-10-01,1831,23
2005-10-31,2016,50
2005-11-30,1652,30
2005-12-30,1770,65
2006-01-29,1788,78
2006-02-28,1800,50
2006-03-30,1857,72
2006-04-29,2320,49
2006-05-29,1910,77
2006-06-28,2026,45
2006-07-28,1665,57
2006-08-27,1932,96
2006-09-26,1827,55
2006-10-26,2314,110
2006-11-25,1744,47
2006-12-25,1791,69
2007-01-24,2067,39
2007-02-23,1769,34
2007-03-25,2426,107
2007-04-24,2193,88
2007-05-24,2077,91
2007-06-23,2480,120
2007-07-23,1951,40
2007-08-22,2703,54
2007-09-21,2092,21
2007-10-21,2054,37
2007-11-20,2106,82
2007-12-20,2420,107
2008-01-19,2204,52
2008-02-18,2448,59
2008-03-19,2019,22
2008-04-18,2831,123
2008-05-18,2055,91
2008-06-17,2728,64
2008-07-17,2090,91
2008-08-16,2320,111
2008-09-15,2192,44
2008-10-15,2159,73
2008-11-14,2077,96
2008-12-14,2624,43
2009-01-13,2179,58
2009-02-12,2596,53
2009-03-14,2408,77
2009-04-13,2442,120
2009-05-13,2872,59
2009-06-12,2831,92
2009-07-12,2441,110
2009-08-11,2703,34
2009-09-10,2520,82
2009-10-10,2410,103
2009-11-09,2249,76
2009-12-09,2764,98
2010-01-08,2398,36
2010-02-07,3371,67
2010-03-09,2786,94
2010-04-08,3471,160
2010-05-08,3252,149
2010-06-07,3307,59
2010-07-07,3408,80
2010-08-06,3163,42
2010-09-05,2482,45
2010-10-05,2425,113
2010-11-04,3479,133
2010-12-04,2912,142
2011-01-03,2490,29
2011-02-02,2849,82
2011-03-04,2909,81
2011-04-03,2917,52
2011-05-03,3563,40
2011-06-02,3287,115
2011-07-02,3510,129
2011-08-01,2902,116
2011-08-31,3548,52
2011-09-30,3522,97
2011-10-30,3143,136
2011-11-29,3786,168
2011-12-29,2704,27
2012-01-28,3071,54
2012-02-27,3008,140
2012-03-28,3888,80
2012-04-27,3908,146
2012-05-27,3415,53
2012-06-26,3325,140
2012-07-26,3651,118
2012-08-25,3666,95
2012-09-24,3510,36
2012-10-24,3552,84
2012-11-23,2923,53
2012-12-23,3242,37
2013-01-22,3335,107
2013-02-21,3792,104
2013-03-23,3878,191
2013-04-22,4354,96
2013-05-22,3739,125
2013-06-21,3672,44
2013-07-21,4026,74
2013-08-20,3536,125
2013-09-19,4355,200
2013-10-19,3409,169
2013-11-18,4000,154
2013-12-18,3151,152
2014-01-17,3129,72
2014-02-16,3303,51
2014-03-18,3154,95
2014-04-17,4201,205
2014-05-17,3656,80
2014-06-16,4608,112
2014-07-16,3805,155
2014-08-15,4527,80
2014-09-14,3311,56
2014-10-14,4797,180
2014-11-13,3773,149
2014-12-13,4281,104
2015-01-12,4825,113
2015-02-11,4191,101
2015-03-13,3895,128
2015-04-12,4111,101
2015-05-12,3634,49
2015-06-11,4565,60
2015-07-11,4242,164
2015-08-10,5012,193
2015-09-09,3952,52
2015-10-09,4098,84
2015-11-08,4862,184
2015-12-08,4090,49
2016-01-07,3501,53
2016-02-06,4941,136
2016-03-07,5004,61
2016-04-06,5103,235
2016-05-06,4102,189
2016-06-05,3982,111
2016-07-05,3590,94
2016-08-04,4341,62
2016-09-03,4775,48
2016-10-03,4187,196
2016-11-02,3988,66
2016-12-02,3815,82
2017-01-01,3740,93
2017-01-31,4147,52
2017-03-02,3771,83
2017-04-01,4725,215
2017-05-01,4226,76
2017-05-31,4416,116
2017-06-30,4282,165
2017-07-30,4331,140
2017-08-29,5077,181
2017-09-28,4594,175
2017-10-28,4799,217
2017-11-27,5220,78
2017-12-27,4335,198
2018-01-26,4980,149
2018-02-25,5025,94
2018-03-27,4159,118
2018-04-26,5386,245
2018-05-26,3994,189
2018-06-25,5236,175
2018-07-25,4400,83
2018-08-24,5238,153
2018-09-23,4312,183
2018-10-23,4016,178
2018-11-22,4828,111
2018-12-22,4560,77
2019-01-21,5992,110
2019-02-20,5467,151
2019-03-22,4277,115
2019-04-21,5716,241
2019-05-21,5464,85
2019-06-20,4224,79
2019-07-20,4715,141
2019-08-19,4260,50
2019-09-18,5843,109
2019-10-18,5681,238
2019-11-17,5046,54
2019-12-17,4305,90
2020-01-16,5470,193
2020-02-15,5064,222
2020-03-16,5273,97
2020-04-15,6041,154
2020-05-15,6046,114
2020-06-14,4324,188
2020-07-14,5706,202
2020-08-13,5823,256
2020-09-12,4717,140
2020-10-12,5446,140
2020-11-11,6318,208
2020-12-11,4983,198
2021-01-10,5730,234
2021-02-09,4885,101
2021-03-11,4558,53
2021-04-10,5659,114
2021-05-10,5109,164
2021-06-09,5752,81
2021-07-09,5999,190
2021-08-08,5435,123
2021-09-07,5669,228
2021-10-07,5619,89
2021-11-06,6844,205
2021-12-06,4660,69
2022-01-05,4946,175
2022-02-04,5747,130
2022-03-06,6552,70
2022-04-05,5776,242
2022-05-05,4707,234
2022-06-04,6971,152
2022-07-04,4917,183
