date,cases,deaths
2000-01-01,347,4
2000-01-31,357,4
2000-03-01,513,23
2000-03-31,469,7
2000-04-30,442,13
2000-05-30,514,13
2000-06-29,480,13
2000-07-29,608,14
2000-08-28,479,5
2000-09-27,512,15
2000-10-27,546,22
2000-11-26,664,28
2000-12-26,653,26
2001-01-25,646,27
2001-02-24,550,21
2001-03-26,761,9
2001-04-25,774,20
2001-05-25,676,9
2001-06-24,831,8
2001-07-24,668,13
2001-08-23,842,14
2001-09-22,688,26
2001-10-22,815,9
2001-11-21,808,34
2001-12-21,900,21
2002-01-20,798,18
2002-02-19,967,33
2002-03-21,1099,35
2002-04-20,1000,24
2002-05-20,925,32
2002-06-19,900,39
2002-07-19,1096,26
2002-08-18,1009,37
2002-09-17,919,37
2002-10-17,1231,33
2002-11-16,950,12
2002-12-16,944,18
2003-01-15,1127,50
2003-02-14,950,21
2003-03-16,1125,46
2003-04-15,1096,38
2003-05-15,1057,34
2003-06-14,1356,19
2003-07-14,1232,17
2003-08-13,1119,27
2003-09-12,1406,16
2003-10-12,1341,49
2003-11-11,1324,15
2003-12-11,1525,25
2004-01-10,1209,32
2004-02-09,1651,32
2004-03-10,1480,62
2004-04-09,1300,40
2004-05-09,1234,13
2004-06-08,1699,63
2004-07-08,1324,32
2004-08-07,1660,26
2004-09-06,1405,23
2004-10-06,1343,64
2004-11-05,1723,86
2004-12-05,1788,82
2005-01-04,1842,55
2005-02-03,1610,54
2005-03-05,1354,17
2005-04-04,1912,51
2005-05-04,1791,69
2005-06-03,1915,64
2005-07-03,1650,22
2005-08-02,1609,48
2005-09-01,1675,29
2005-10-01,1748,60
2005-10-31,2011,56
2005-11-30,2130,54
2005-12-30,1884,68
2006-01-29,1732,42
2006-02-28,1810,87
2006-03-30,2093,74
2006-04-29,2148,62
2006-05-29,2273,82
2006-06-28,2345,51
2006-07-28,1782,49
2006-08-27,2343,32
2006-09-26,1927,53
2006-10-26,2444,62
2006-11-25,2218,30
2006-12-25,1976,36
2007-01-24,2541,70
2007-02-23,1976,87
2007-03-25,2484,56
2007-04-24,2311,33
2007-05-24,2498,62
2007-06-23,2315,26
2007-07-23,2560,26
2007-08-22,2126,101
2007-09-21,1994,28
2007-10-21,2448,73
2007-11-20,2635,33
2007-12-20,2586,28
2008-01-19,2228,41
2008-02-18,2114,23
2008-03-19,2841,110
2008-04-18,2155,86
2008-05-18,2662,118
2008-06-17,2148,34
2008-07-17,2251,26
2008-08-16,2163,94
2008-09-15,2656,109
2008-10-15,2245,58
2008-11-14,2655,27
2008-12-14,2169,26
2009-01-13,3035,89
2009-02-12,2557,67
2009-03-14,2126,67
2009-04-13,2725,82
2009-05-13,2235,63
2009-06-12,2540,57
2009-07-12,2330,37
2009-08-11,2788,82
2009-09-10,2557,110
2009-10-10,2233,90
2009-11-09,2851,59
2009-12-09,3208,130
2010-01-08,2870,87
2010-02-07,2715,89
2010-03-09,3162,127
2010-04-08,2700,47
2010-05-08,3018,55
2010-06-07,2832,140
2010-07-07,2959,103
2010-08-06,2969,72
2010-09-05,3068,96
2010-10-05,3202,142
2010-11-04,3348,144
2010-12-04,3623,179
2011-01-03,2979,49
2011-02-02,2506,122
2011-03-04,2930,74
2011-04-03,3519,65
2011-05-03,3336,36
2011-06-02,3650,134
2011-07-02,3754,129
2011-08-01,3462,152
2011-08-31,2884,128
2011-09-30,3140,41
2011-10-30,3420,115
2011-11-29,3790,53
2011-12-29,3033,34
2012-01-28,3761,72
2012-02-27,3158,39
2012-03-28,3874,91
2012-04-27,3461,101
2012-05-27,3161,153
2012-06-26,2935,53
2012-07-26,2778,44
2012-08-25,3173,128
2012-09-24,3214,128
2012-10-24,3034,62
2012-11-23,4235,58
2012-12-23,3777,186
2013-01-22,4049,49
2013-02-21,3268,87
2013-03-23,3693,174
2013-04-22,3763,81
2013-05-22,3153,146
2013-06-21,3770,131
2013-07-21,3947,90
2013-08-20,3787,136
2013-09-19,3172,57
2013-10-19,3172,131
2013-11-18,3318,74
2013-12-18,4325,176
2014-01-17,4245,104
2014-02-16,4259,207
2014-03-18,4224,176
2014-04-17,4170,65
2014-05-17,4297,207
2014-06-16,4064,44
2014-07-16,4443,155
2014-08-15,3249,137
2014-09-14,3761,171
2014-10-14,4793,147
2014-11-13,3664,100
2014-12-13,3806,105
2015-01-12,3727,108
2015-02-11,4856,191
2015-03-13,3761,95
2015-04-12,3662,162
2015-05-12,4326,113
2015-06-11,3889,75
2015-07-11,4580,173
2015-08-10,3425,68
2015-09-09,4921,71
2015-10-09,3968,142
2015-11-08,4358,182
2015-12-08,4613,103
2016-01-07,4952,60
2016-02-06,5161,182
2016-03-07,3766,49
2016-04-06,5191,56
2016-05-06,4878,125
2016-06-05,5090,133
2016-07-05,5089,183
2016-08-04,5289,129
2016-09-03,4106,55
2016-10-03,4763,84
2016-11-02,4075,140
2016-12-02,3864,192
2017-01-01,5018,79
2017-01-31,5404,162
2017-03-02,3742,110
2017-04-01,3922,164
2017-05-01,5428,69
2017-05-31,5002,131
2017-06-30,4121,53
2017-07-30,3869,162
2017-08-29,4602,229
2017-09-28,4232,57
2017-10-28,3876,163
2017-11-27,5646,146
2017-12-27,4101,163
2018-01-26,5220,71
2018-02-25,4634,53
2018-03-27,5413,74
2018-04-26,5342,216
2018-05-26,5528,126
2018-06-25,5753,193
2018-07-25,5580,61
2018-08-24,4383,83
2018-09-23,4578,78
2018-10-23,4047,116
2018-11-22,4964,214
2018-12-22,4885,72
2019-01-21,6013,90
2019-02-20,4192,194
2019-03-22,4152,111
2019-04-21,4635,132
2019-05-21,4457,97
2019-06-20,6034,273
2019-07-20,4243,179
2019-08-19,4372,128
2019-09-18,5516,142
2019-10-18,4971,52
2019-11-17,5307,115
2019-12-17,4281,181
2020-01-16,5260,130
2020-02-15,5699,168
2020-03-16,6034,241
2020-04-15,5092,204
2020-05-15,6425,112
2020-06-14,4825,82
2020-07-14,4372,100
2020-08-13,5408,221
2020-09-12,6319,220
2020-10-12,4391,203
2020-11-11,4395,213
2020-12-11,5543,245
2021-01-10,6273,247
2021-02-09,4963,104
2021-03-11,4691,89
2021-04-10,5287,218
2021-05-10,6167,143
2021-06-09,6726,271
2021-07-09,6419,224
2021-08-08,5439,180
2021-09-07,6100,236
2021-10-07,6782,285
2021-11-06,6451,170
2021-12-06,5427,176
2022-01-05,6381,124
2022-02-04,4886,101
2022-03-06,5417,156
2022-04-05,5298,175
2022-05-05,6670,91
2022-06-04,5336,228
2022-07-04,6135,66
2022-08-03,5608,262
2022-09-02,5938,267
2022-10-02,4926,175
2022-11-01,4938,163
2022-12-01,7030,149
2022-12-31,6655,157
2023-01-30,5523,142
2023-03-01,6123,255
2023-03-31,5942,279
2023-04-30,5249,199
2023-05-30,6480,301
2023-06-29,7224,356
2023-07-29,6726,157
2023-08-28,5336,164
2023-09-27,5044,97
2023-10-27,6083,92
2023-11-26,5748,180
2023-12-26,5665,247
2024-01-25,6260,216
2024-02-24,6049,286
2024-03-25,6420,93
2024-04-24,6834,312
2024-05-24,5122,59
2024-06-23,6222,243
2024-07-23,5339,162
