date,cases,deaths
2000-01-01,456,9
2000-01-31,352,16
2000-03-01,363,10
2000-03-31,471,15
2000-04-30,526,17
2000-05-30,442,12
2000-06-29,460,7
2000-07-29,474,9
2000-08-28,512,11
2000-09-27,609,19
2000-10-27,612,12
2000-11-26,616,14
2000-12-26,556,21
2001-01-25,761,25
2001-02-24,719,16
2001-03-26,811,10
2001-04-25,744,17
2001-05-25,694,14
2001-06-24,859,41
2001-07-24,926,34
2001-08-23,673,22
2001-09-22,678,17
2001-10-22,979,12
2001-11-21,977,19
2001-12-21,857,41
2002-01-20,807,10
2002-02-19,865,39
2002-03-21,997,18
2002-04-20,910,29
2002-05-20,871,19
2002-06-19,873,34
2002-07-19,894,34
2002-08-18,949,29
2002-09-17,1115,44
2002-10-17,1058,11
2002-11-16,917,38
2002-12-16,919,25
2003-01-15,986,40
2003-02-14,949,32
2003-03-16,1076,12
2003-04-15,1427,34
2003-05-15,1153,38
2003-06-14,1332,53
2003-07-14,1305,36
2003-08-13,1476,63
2003-09-12,1293,43
2003-10-12,1518,73
2003-11-11,1576,56
2003-12-11,1335,60
2004-01-10,1387,22
2004-02-09,1166,22
2004-03-10,1321,64
2004-04-09,1401,43
2004-05-09,1186,15
2004-06-08,1594,19
2004-07-08,1256,43
2004-08-07,1823,38
2004-09-06,1251,20
2004-10-06,1759,19
2004-11-05,1452,71
2004-12-05,1399,16
2005-01-04,1743,72
2005-02-03,1794,39
2005-03-05,1591,54
2005-04-04,1969,43
2005-05-04,1675,56
2005-06-03,1930,95
2005-07-03,1721,80
2005-08-02,1576,20
2005-09-01,1680,73
2005-10-01,1929,48
2005-10-31,1650,71
2005-11-30,1591,77
2005-12-30,1817,74
2006-01-29,1856,82
2006-02-28,1999,70
2006-03-30,1872,31
2006-04-29,2035,31
2006-05-29,2168,28
2006-06-28,1828,41
2006-07-28,1634,49
2006-08-27,2236,61
2006-09-26,2283,95
2006-10-26,2057,28
2006-11-25,1978,97
2006-12-25,1805,49
2007-01-24,1919,91
2007-02-23,2534,54
2007-03-25,2532,100
2007-04-24,1916,48
2007-05-24,2179,46
2007-06-23,2405,116
2007-07-23,1930,20
2007-08-22,2095,62
2007-09-21,2367,35
2007-10-21,1895,41
2007-11-20,2101,59
2007-12-20,2218,36
2008-01-19,2456,29
2008-02-18,2413,60
2008-03-19,2513,36
2008-04-18,2612,27
2008-05-18,1956,29
2008-06-17,2640,60
2008-07-17,2174,65
2008-08-16,2939,80
2008-09-15,2523,85
2008-10-15,2059,22
2008-11-14,2473,67
2008-12-14,2852,130
2009-01-13,2810,110
2009-02-12,2736,89
2009-03-14,2770,48
2009-04-13,3173,98
2009-05-13,3207,51
2009-06-12,3201,107
2009-07-12,2983,105
2009-08-11,2981,58
2009-09-10,3154,69
2009-10-10,2615,112
2009-11-09,2782,74
2009-12-09,3258,52
2010-01-08,3336,65
2010-02-07,2474,56
2010-03-09,2955,62
2010-04-08,2760,55
2010-05-08,3023,122
2010-06-07,2400,94
2010-07-07,2508,55
2010-08-06,3120,36
2010-09-05,2945,55
2010-10-05,3116,76
2010-11-04,2583,116
2010-12-04,3608,125
2011-01-03,2500,26
2011-02-02,3642,68
2011-03-04,3163,132
2011-04-03,3254,75
2011-05-03,3312,131
2011-06-02,3668,123
2011-07-02,2883,47
2011-08-01,2592,119
2011-08-31,2985,58
2011-09-30,2856,106
2011-10-30,3710,119
2011-11-29,2699,51
2011-12-29,3694,74
2012-01-28,3660,159
2012-02-27,2718,126
2012-03-28,3636,150
2012-04-27,3757,163
2012-05-27,3834,130
2012-06-26,2782,129
2012-07-26,3408,103
2012-08-25,3856,72
2012-09-24,3907,140
2012-10-24,2997,45
2012-11-23,3816,39
2012-12-23,3279,43
2013-01-22,3659,87
2013-02-21,4041,187
2013-03-23,3155,34
2013-04-22,4148,64
2013-05-22,4135,111
2013-06-21,3617,154
2013-07-21,3117,42
2013-08-20,3922,68
2013-09-19,3488,121
2013-10-19,3782,91
2013-11-18,3753,138
2013-12-18,3588,70
2014-01-17,4019,47
2014-02-16,3895,97
2014-03-18,4222,172
2014-04-17,3884,115
2014-05-17,3621,141
2014-06-16,3629,180
2014-07-16,3260,36
2014-08-15,4370,112
2014-09-14,3873,46
2014-10-14,4712,93
2014-11-13,4192,43
2014-12-13,3280,146
2015-01-12,3798,188
2015-02-11,4549,65
2015-03-13,4615,56
2015-04-12,3897,84
2015-05-12,3525,147
2015-06-11,3690,47
2015-07-11,4117,199
2015-08-10,4114,199
2015-09-09,4410,87
2015-10-09,3913,146
2015-11-08,4892,94
2015-12-08,4471,83
2016-01-07,4150,97
2016-02-06,5162,166
2016-03-07,4503,177
2016-04-06,4132,117
2016-05-06,5088,125
2016-06-05,5191,93
2016-07-05,4972,111
2016-08-04,4864,229
2016-09-03,5150,70
2016-10-03,4442,218
2016-11-02,4565,65
2016-12-02,4790,136
2017-01-01,5205,139
2017-01-31,4282,154
2017-03-02,4723,154
2017-04-01,4303,111
2017-05-01,3819,57
2017-05-31,4833,143
2017-06-30,4302,183
2017-07-30,5044,173
2017-08-29,4619,62
2017-09-28,4642,91
2017-10-28,4650,110
2017-11-27,4444,178
2017-12-27,4334,99
2018-01-26,4173,154
2018-02-25,4178,190
2018-03-27,4173,122
2018-04-26,4880,83
2018-05-26,4192,186
2018-06-25,5711,230
2018-07-25,5812,139
2018-08-24,5483,260
2018-09-23,5264,62
2018-10-23,4437,72
2018-11-22,5935,84
2018-12-22,4842,67
2019-01-21,5112,198
2019-02-20,5128,102
2019-03-22,6084,89
2019-04-21,5689,269
2019-05-21,5013,97
2019-06-20,4989,62
