date,cases,deaths
2000-01-01,324,15
2000-01-31,473,22
2000-03-01,364,17
2000-03-31,375,13
2000-04-30,498,11
2000-05-30,492,18
2000-06-29,572,26
2000-07-29,643,26
2000-08-28,541,9
2000-09-27,575,20
2000-10-27,701,33
2000-11-26,715,12
2000-12-26,659,10
2001-01-25,551,8
2001-02-24,729,18
2001-03-26,839,26
2001-04-25,598,27
2001-05-25,718,14
2001-06-24,800,29
2001-07-24,887,36
2001-08-23,799,34
2001-09-22,970,28
2001-10-22,852,38
2001-11-21,1026,30
2001-12-21,911,14
2002-01-20,871,15
2002-02-19,916,33
2002-03-21,928,46
2002-04-20,1148,47
2002-05-20,899,11
2002-06-19,944,47
2002-07-19,1220,37
2002-08-18,1098,40
2002-09-17,873,9
2002-10-17,969,17
2002-11-16,1238,35
2002-12-16,1011,28
2003-01-15,1171,16
2003-02-14,1187,39
2003-03-16,1046,51
2003-04-15,1011,14
2003-05-15,1225,19
2003-06-14,1169,37
2003-07-14,1375,28
2003-08-13,1522,62
2003-09-12,1471,37
2003-10-12,1161,36
2003-11-11,1198,54
2003-12-11,1126,45
2004-01-10,1194,54
2004-02-09,1516,47
2004-03-10,1415,47
2004-04-09,1323,39
2004-05-09,1277,27
2004-06-08,1195,13
2004-07-08,1433,63
2004-08-07,1432,21
2004-09-06,1749,23
2004-10-06,1450,41
2004-11-05,1397,38
2004-12-05,1732,22
2005-01-04,1853,57
2005-02-03,1464,57
2005-03-05,1402,62
2005-04-04,1864,93
2005-05-04,1820,74
2005-06-03,1980,72
2005-07-03,2023,70
2005-08-02,1775,41
2005-09-01,1933,59
2005-10-01,1876,67
2005-10-31,1585,75
2005-11-30,2194,63
2005-12-30,1779,77
2006-01-29,1735,22
2006-02-28,1908,33
2006-03-30,1540,24
2006-04-29,2177,67
2006-05-29,1747,62
2006-06-28,2066,43
2006-07-28,1852,65
2006-08-27,2181,58
2006-09-26,1659,81
2006-10-26,1729,22
2006-11-25,2269,83
2006-12-25,2165,24
2007-01-24,1741,48
2007-02-23,1750,45
2007-03-25,2403,94
2007-04-24,2262,90
2007-05-24,2564,74
2007-06-23,2361,30
2007-07-23,2022,35
2007-08-22,2161,29
2007-09-21,1910,72
2007-10-21,2584,76
2007-11-20,2201,89
2007-12-20,2134,29
2008-01-19,2695,118
2008-02-18,2488,114
2008-03-19,2823,76
2008-04-18,2043,57
2008-05-18,2879,74
2008-06-17,2523,51
2008-07-17,2778,34
2008-08-16,2725,43
2008-09-15,2117,69
2008-10-15,2327,64
2008-11-14,2096,67
2008-12-14,2805,82
2009-01-13,2456,37
2009-02-12,2654,82
2009-03-14,2472,116
2009-04-13,2146,45
2009-05-13,2990,120
2009-06-12,2482,74
2009-07-12,3084,84
2009-08-11,2888,110
2009-09-10,2277,99
2009-10-10,2426,88
2009-11-09,2973,77
2009-12-09,2860,113
2010-01-08,2842,113
2010-02-07,3262,102
2010-03-09,2899,36
2010-04-08,2975,140
2010-05-08,2616,118
2010-06-07,3348,82
2010-07-07,2379,97
2010-08-06,2614,73
2010-09-05,2785,93
2010-10-05,3481,129
2010-11-04,2639,97
2010-12-04,3002,55
2011-01-03,2524,87
2011-02-02,3240,107
2011-03-04,3649,123
2011-04-03,2684,46
2011-05-03,3426,166
2011-06-02,3652,97
2011-07-02,3395,101
2011-08-01,3159,119
2011-08-31,3371,104
2011-09-30,3893,40
2011-10-30,3199,61
2011-11-29,3793,138
2011-12-29,3295,61
2012-01-28,3883,48
2012-02-27,3193,117
2012-03-28,3175,58
2012-04-27,3284,85
2012-05-27,2737,93
2012-06-26,3813,130
2012-07-26,2885,127
2012-08-25,3959,54
2012-09-24,3101,74
2012-10-24,3139,73
2012-11-23,3043,57
2012-12-23,4105,150
2013-01-22,3938,80
2013-02-21,3116,118
2013-03-23,4050,104
2013-04-22,3901,55
2013-05-22,3228,141
2013-06-21,3025,114
2013-07-21,4285,174
2013-08-20,3836,179
2013-09-19,4477,147
2013-10-19,3908,88
2013-11-18,3608,87
2013-12-18,3056,119
2014-01-17,4212,66
2014-02-16,3396,146
2014-03-18,3283,137
2014-04-17,4638,113
2014-05-17,3536,131
2014-06-16,3515,126
2014-07-16,4444,109
2014-08-15,4272,174
2014-09-14,4626,197
2014-10-14,3955,62
2014-11-13,3749,105
2014-12-13,4360,72
2015-01-12,4088,200
2015-02-11,4003,164
2015-03-13,4737,162
2015-04-12,3412,127
2015-05-12,4186,188
2015-06-11,4310,52
2015-07-11,4921,119
2015-08-10,3506,143
2015-09-09,4063,86
2015-10-09,4639,127
2015-11-08,4600,48
2015-12-08,4424,113
2016-01-07,3461,116
