date,cases,deaths
2000-01-01,458,16
2000-01-31,385,8
2000-03-01,454,9
2000-03-31,436,6
2000-04-30,534,26
2000-05-30,514,6
2000-06-29,422,18
2000-07-29,493,14
2000-08-28,566,11
2000-09-27,514,22
2000-10-27,488,21
2000-11-26,503,5
2000-12-26,684,8
2001-01-25,612,27
2001-02-24,790,29
2001-03-26,752,19
2001-04-25,644,19
2001-05-25,634,8
2001-06-24,665,8
2001-07-24,678,29
2001-08-23,832,26
2001-09-22,743,20
2001-10-22,713,26
2001-11-21,791,36
2001-12-21,864,41
2002-01-20,1045,42
2002-02-19,896,23
2002-03-21,1117,40
2002-04-20,928,19
2002-05-20,1049,47
2002-06-19,949,41
2002-07-19,1107,30
2002-08-18,1241,36
2002-09-17,880,18
2002-10-17,952,20
2002-11-16,1155,43
2002-12-16,1043,27
2003-01-15,1289,32
2003-02-14,1308,29
2003-03-16,1031,32
2003-04-15,1385,54
2003-05-15,1239,32
2003-06-14,1288,16
2003-07-14,1493,45
2003-08-13,1246,34
2003-09-12,1281,55
2003-10-12,1519,62
2003-11-11,1600,66
2003-12-11,1560,16
2004-01-10,1279,29
2004-02-09,1144,55
2004-03-10,1376,25
2004-04-09,1674,77
2004-05-09,1395,47
2004-06-08,1411,26
2004-07-08,1788,76
2004-08-07,1733,29
2004-09-06,1830,67
2004-10-06,1365,27
2004-11-05,1872,31
2004-12-05,1767,20
2005-01-04,1336,16
2005-02-03,1354,22
2005-03-05,1857,87
2005-04-04,2001,27
2005-05-04,1609,39
2005-06-03,1909,87
2005-07-03,2083,93
2005-08-02,2054,69
2005-09-01,2016,77
2005-10-01,1847,76
2005-10-31,1634,19
2005-11-30,2087,52
2005-12-30,2132,92
2006-01-29,2206,107
2006-02-28,1520,19
2006-03-30,1795,70
2006-04-29,1594,31
2006-05-29,2020,21
2006-06-28,1754,76
2006-07-28,2203,90
2006-08-27,2093,94
2006-09-26,1959,19
2006-10-26,2060,23
2006-11-25,1933,94
2006-12-25,1806,52
2007-01-24,2237,88
2007-02-23,1883,23
2007-03-25,2190,91
2007-04-24,2020,78
2007-05-24,1768,56
2007-06-23,2345,93
2007-07-23,2190,49
2007-08-22,2567,124
2007-09-21,2154,77
2007-10-21,2035,39
2007-11-20,1926,82
2007-12-20,2316,112
2008-01-19,2095,60
2008-02-18,2623,130
2008-03-19,2418,116
2008-04-18,2550,74
2008-05-18,2598,49
2008-06-17,2603,48
2008-07-17,2492,50
2008-08-16,2672,33
2008-09-15,2308,43
2008-10-15,2340,114
2008-11-14,2503,34
2008-12-14,3056,113
2009-01-13,2376,34
2009-02-12,2587,57
2009-03-14,2188,100
2009-04-13,3018,148
2009-05-13,2403,30
2009-06-12,3216,51
2009-07-12,2998,69
2009-08-11,2978,76
2009-09-10,2462,118
2009-10-10,2385,32
2009-11-09,2429,57
2009-12-09,2607,62
2010-01-08,2421,38
2010-02-07,2369,53
2010-03-09,3231,84
2010-04-08,2539,83
2010-05-08,3259,113
2010-06-07,2431,39
2010-07-07,3249,126
2010-08-06,2473,96
2010-09-05,2435,26
2010-10-05,3305,74
2010-11-04,2706,118
2010-12-04,2582,47
2011-01-03,3233,121
2011-02-02,2838,138
2011-03-04,2777,93
2011-04-03,2607,32
2011-05-03,2973,138
2011-06-02,3813,38
2011-07-02,3259,34
2011-08-01,3052,144
2011-08-31,3538,141
2011-09-30,3449,148
2011-10-30,2916,44
2011-11-29,3587,135
2011-12-29,3222,138
2012-01-28,3339,66
2012-02-27,3849,142
2012-03-28,2717,45
2012-04-27,3412,97
2012-05-27,2762,82
2012-06-26,3442,165
2012-07-26,2891,108
2012-08-25,2858,66
2012-09-24,3094,41
2012-10-24,3958,64
2012-11-23,3044,83
2012-12-23,3136,35
2013-01-22,4184,157
2013-02-21,3287,83
2013-03-23,4290,201
2013-04-22,3892,87
2013-05-22,4039,160
2013-06-21,4072,173
2013-07-21,3270,48
2013-08-20,3383,132
2013-09-19,3692,68
2013-10-19,3108,36
2013-11-18,4221,44
2013-12-18,3545,110
2014-01-17,3181,131
2014-02-16,3833,146
2014-03-18,3826,46
2014-04-17,3756,50
2014-05-17,3532,48
2014-06-16,3542,97
2014-07-16,3441,37
2014-08-15,3403,100
2014-09-14,3860,48
2014-10-14,4641,125
2014-11-13,3709,139
2014-12-13,3528,157
2015-01-12,4129,111
2015-02-11,4200,45
2015-03-13,4847,192
2015-04-12,4377,213
2015-05-12,4777,167
2015-06-11,3528,170
2015-07-11,4112,87
2015-08-10,3599,68
2015-09-09,3458,100
2015-10-09,3690,143
2015-11-08,3479,41
2015-12-08,3703,77
2016-01-07,4660,74
2016-02-06,4742,101
2016-03-07,3914,148
2016-04-06,4399,185
2016-05-06,4794,236
2016-06-05,3738,152
2016-07-05,3955,150
2016-08-04,3665,41
2016-09-03,5264,143
2016-10-03,4030,88
2016-11-02,5338,213
2016-12-02,4358,182
2017-01-01,4608,87
2017-01-31,4497,192
2017-03-02,4627,213
2017-04-01,5178,93
2017-05-01,4104,72
2017-05-31,4376,96
2017-06-30,4565,111
2017-07-30,4116,85
2017-08-29,4444,97
2017-09-28,5522,258
2017-10-28,3977,158
2017-11-27,4372,213
2017-12-27,4374,137
2018-01-26,4421,68
2018-02-25,4024,93
2018-03-27,5479,168
2018-04-26,5196,128
2018-05-26,5204,193
2018-06-25,5063,207
2018-07-25,5344,131
2018-08-24,4602,209
2018-09-23,5522,175
2018-10-23,4886,114
2018-11-22,5833,129
2018-12-22,4429,60
2019-01-21,5373,191
2019-02-20,4256,93
2019-03-22,5666,62
2019-04-21,4284,47
2019-05-21,5928,283
2019-06-20,6098,62
2019-07-20,6168,117
2019-08-19,4412,97
2019-09-18,5400,254
2019-10-18,5204,239
2019-11-17,4993,148
2019-12-17,4976,76
2020-01-16,4882,202
2020-02-15,5453,194
2020-03-16,4665,82
2020-04-15,4762,130
2020-05-15,4968,56
2020-06-14,4932,75
2020-07-14,5100,164
2020-08-13,5280,144
2020-09-12,6137,175
2020-10-12,6389,150
2020-11-11,6435,148
2020-12-11,6416,244
2021-01-10,4616,207
2021-02-09,5612,125
2021-03-11,4907,176
2021-04-10,5214,126
2021-05-10,5726,205
2021-06-09,5386,169
2021-07-09,4521,179
2021-08-08,5364,144
2021-09-07,5431,119
2021-10-07,4872,213
2021-11-06,5583,182
2021-12-06,4894,50
2022-01-05,5628,179
2022-02-04,5456,216
2022-03-06,6543,230
2022-04-05,5018,109
2022-05-05,5203,146
2022-06-04,6733,239
2022-07-04,6370,172
2022-08-03,5060,217
2022-09-02,6329,104
2022-10-02,6750,190
2022-11-01,6457,257
2022-12-01,6401,235
2022-12-31,4957,215
2023-01-30,6858,216
2023-03-01,6189,187
2023-03-31,6492,319
2023-04-30,6136,189
2023-05-30,5574,184
2023-06-29,5835,146
2023-07-29,5504,237
2023-08-28,5437,58
2023-09-27,6957,76
2023-10-27,5442,150
2023-11-26,5626,180
2023-12-26,5742,222
2024-01-25,6840,271
2024-02-24,6430,81
2024-03-25,5304,226
2024-04-24,5151,115
2024-05-24,7603,84
2024-06-23,6172,272
2024-07-23,7203,143
