date,cases,deaths
2000-01-01,380,18
2000-01-31,351,16
2000-03-01,492,6
2000-03-31,400,7
2000-04-30,527,18
2000-05-30,573,11
2000-06-29,591,25
2000-07-29,488,7
2000-08-28,592,13
2000-09-27,562,18
2000-10-27,529,18
2000-11-26,721,33
2000-12-26,546,17
2001-01-25,601,15
2001-02-24,815,25
2001-03-26,672,30
2001-04-25,762,33
2001-05-25,876,9
2001-06-24,870,29
2001-07-24,911,23
2001-08-23,658,10
2001-09-22,722,17
2001-10-22,724,22
2001-11-21,1011,41
2001-12-21,716,21
2002-01-20,1049,24
2002-02-19,841,23
2002-03-21,948,16
2002-04-20,1079,11
2002-05-20,899,11
2002-06-19,1098,34
2002-07-19,975,41
2002-08-18,942,31
2002-09-17,860,39
2002-10-17,1040,17
2002-11-16,1040,32
2002-12-16,1116,37
2003-01-15,1281,48
2003-02-14,1145,13
2003-03-16,1369,65
2003-04-15,1128,19
2003-05-15,1090,48
2003-06-14,1054,22
2003-07-14,1087,19
2003-08-13,1198,12
2003-09-12,1198,54
2003-10-12,1548,50
2003-11-11,1440,59
2003-12-11,1597,78
2004-01-10,1362,54
2004-02-09,1325,16
2004-03-10,1574,32
2004-04-09,1236,55
2004-05-09,1437,39
2004-06-08,1628,60
2004-07-08,1529,31
2004-08-07,1641,72
2004-09-06,1728,83
2004-10-06,1709,81
2004-11-05,1557,73
2004-12-05,1784,31
2005-01-04,1897,80
2005-02-03,1964,69
2005-03-05,1433,45
2005-04-04,1628,65
2005-05-04,1516,61
2005-06-03,1749,83
2005-07-03,1701,79
2005-08-02,1482,71
2005-09-01,1692,20
2005-10-01,1546,45
2005-10-31,1457,21
2005-11-30,1584,75
2005-12-30,1838,22
2006-01-29,2211,50
2006-02-28,1953,56
2006-03-30,1903,63
2006-04-29,1610,18
2006-05-29,1808,48
2006-06-28,1975,42
2006-07-28,1840,26
2006-08-27,1749,41
2006-09-26,1753,75
2006-10-26,2398,99
2006-11-25,1683,24
2006-12-25,2436,31
2007-01-24,1943,20
2007-02-23,2464,106
2007-03-25,2095,52
2007-04-24,2575,117
2007-05-24,1905,71
2007-06-23,2595,73
2007-07-23,2428,95
2007-08-22,2320,27
2007-09-21,1950,52
2007-10-21,2070,39
2007-11-20,2546,113
2007-12-20,2706,29
2008-01-19,2131,32
2008-02-18,2402,92
2008-03-19,1991,44
2008-04-18,2576,29
2008-05-18,2302,67
2008-06-17,2816,59
2008-07-17,1984,93
2008-08-16,2376,91
2008-09-15,2167,51
2008-10-15,2355,34
2008-11-14,2754,45
2008-12-14,2783,39
2009-01-13,2998,66
2009-02-12,2338,102
2009-03-14,2836,38
2009-04-13,2788,116
2009-05-13,3079,81
2009-06-12,2177,73
2009-07-12,3200,79
2009-08-11,2285,61
2009-09-10,2749,137
2009-10-10,2235,46
2009-11-09,2938,102
2009-12-09,3072,73
2010-01-08,2576,31
2010-02-07,2703,121
2010-03-09,3000,33
2010-04-08,3474,152
2010-05-08,3447,48
2010-06-07,3455,76
2010-07-07,2518,43
2010-08-06,2420,89
2010-09-05,2432,56
2010-10-05,3410,85
2010-11-04,2981,116
2010-12-04,3054,118
2011-01-03,3351,109
2011-02-02,2962,36
