date,cases,deaths
2000-01-01,3621362,51519
2001-01-01,3832036,59004
2002-01-01,3836410,52908
2003-01-01,4157922,68167
2004-01-01,4349656,68907
2005-01-01,4645484,62801
2006-01-01,4643507,67691
2007-01-01,5095106,78883
2008-01-01,5327267,76729
2009-01-01,5554067,89742
2010-01-01,5820581,92561
2011-01-01,6148903,85289
2012-01-01,6450467,91620
2013-01-01,6657784,101461
2014-01-01,7236763,98235
2015-01-01,7437975,113934
2016-01-01,7852390,115546
2017-01-01,7984565,126509
2018-01-01,8515278,131256
2019-01-01,9221661,138270
2020-01-01,9503163,129314
2021-01-01,9820709,149742
2022-01-01,10553024,171597
2023-01-01,10588456,159517
2024-01-01,11652018,188305
2025-01-01,12069130,170309
