date,cases,deaths
2000-01-01,260705,4156
2001-01-01,274031,4386
2002-01-01,280375,4496
2003-01-01,303502,4720
2004-01-01,314618,4758
2005-01-01,329743,5129
2006-01-01,342132,5413
2007-01-01,367976,5909
2008-01-01,381853,5520
2009-01-01,403240,5582
2010-01-01,415040,6418
2011-01-01,441127,6636
2012-01-01,476517,6453
2013-01-01,484152,7621
2014-01-01,508246,7255
2015-01-01,521595,7663
2016-01-01,552175,8836
2017-01-01,574630,8051
2018-01-01,610894,9732
2019-01-01,640076,9866
2020-01-01,695177,9581
2021-01-01,703700,9567
2022-01-01,753500,10919
2023-01-01,777932,11125
2024-01-01,825464,13279
2025-01-01,898234,12506
