date,cases,deaths
2000-01-01,320643,4765
2001-01-01,324865,5112
2002-01-01,354661,4792
2003-01-01,373054,5803
2004-01-01,387794,5868
2005-01-01,400617,6053
2006-01-01,419988,6426
2007-01-01,453543,6477
2008-01-01,462050,6905
2009-01-01,499621,7261
2010-01-01,511616,7092
2011-01-01,548552,8774
2012-01-01,561630,9263
2013-01-01,585888,8286
2014-01-01,634690,10360
2015-01-01,646959,10355
2016-01-01,679788,10062
2017-01-01,719599,9715
2018-01-01,754883,12072
2019-01-01,791073,11180
2020-01-01,860798,13498
2021-01-01,888105,14208
2022-01-01,939247,14224
2023-01-01,1006424,15357
2024-01-01,1006451,16269
2025-01-01,1107837,16563
