date,cases,deaths
2000-01-01,7805558,121548
2001-01-01,8191054,121833
2002-01-01,8734003,137419
2003-01-01,9467351,130350
2004-01-01,9659411,157566
2005-01-01,10258800,162266
2006-01-01,10657074,145673
2007-01-01,11348018,180531
2008-01-01,11883787,162263
2009-01-01,12260788,187903
2010-01-01,12794376,187508
2011-01-01,14011345,200191
2012-01-01,14620555,211082
2013-01-01,15203296,219081
2014-01-01,15497353,224572
2015-01-01,16113575,231100
2016-01-01,17230787,273762
2017-01-01,18456378,263712
2018-01-01,18677718,280484
2019-01-01,20564525,325911
2020-01-01,20765542,291774
2021-01-01,21507062,336156
2022-01-01,23178026,369270
2023-01-01,24019174,394870
2024-01-01,25647359,360829
2025-01-01,26624715,374294
