date,cases,deaths
2000-01-01,635586,10444
2001-01-01,667839,10341
2002-01-01,688417,11243
2003-01-01,739249,11293
2004-01-01,789930,11233
2005-01-01,811597,12768
2006-01-01,861936,14136
2007-01-01,894219,12076
2008-01-01,959423,13606
2009-01-01,994866,15475
2010-01-01,1055456,17335
2011-01-01,1099543,15798
2012-01-01,1135707,18118
2013-01-01,1177644,17546
2014-01-01,1278564,20187
2015-01-01,1317743,18497
2016-01-01,1414444,21815
2017-01-01,1425351,20279
2018-01-01,1540187,22489
2019-01-01,1636062,25160
2020-01-01,1722244,25723
2021-01-01,1762724,25812
2022-01-01,1823754,27167
2023-01-01,1953593,28583
2024-01-01,2035913,27626
2025-01-01,2206189,30298
