date,cases,deaths
2000-01-01,938661,15258
2001-01-01,1029438,15607
2002-01-01,1043029,15918
2003-01-01,1133548,15862
2004-01-01,1163032,17252
2005-01-01,1229759,19031
2006-01-01,1243116,20059
2007-01-01,1327560,20213
2008-01-01,1368376,19557
2009-01-01,1490909,23582
2010-01-01,1593675,23418
2011-01-01,1614617,25086
2012-01-01,1676245,27253
2013-01-01,1824651,24799
2014-01-01,1887323,30104
2015-01-01,1961128,31503
2016-01-01,2092157,32254
2017-01-01,2143296,30396
2018-01-01,2322684,33548
2019-01-01,2339958,32858
2020-01-01,2475453,39726
2021-01-01,2691009,43054
2022-01-01,2842049,41541
2023-01-01,2975867,43434
2024-01-01,3001472,46442
2025-01-01,3161736,49494
