date,cases,deaths
2000-01-01,2794175,43880
2001-01-01,2898056,46993
2002-01-01,3116497,49092
2003-01-01,3218938,43976
2004-01-01,3370498,55527
2005-01-01,3480374,51348
2006-01-01,3678836,52481
2007-01-01,3839020,57783
2008-01-01,4229794,58899
2009-01-01,4333433,70198
2010-01-01,4483838,72716
2011-01-01,4713514,65309
2012-01-01,4966127,73535
2013-01-01,5388161,87779
2014-01-01,5416182,82645
2015-01-01,5936957,86061
2016-01-01,6238593,96781
2017-01-01,6525171,106794
2018-01-01,6633741,105299
2019-01-01,7062078,95907
2020-01-01,7597342,105682
2021-01-01,7606418,106909
2022-01-01,8382425,127510
2023-01-01,8726386,141757
2024-01-01,9029612,122411
2025-01-01,9553279,153683
