date,cases,deaths
2000-01-01,3774589,58418
2001-01-01,3876703,55028
2002-01-01,4167426,65309
2003-01-01,4271951,67431
2004-01-01,4428953,60060
2005-01-01,4673287,70296
2006-01-01,5002578,76588
2007-01-01,5071484,70837
2008-01-01,5344332,76637
2009-01-01,5884331,89758
2010-01-01,5946099,93825
2011-01-01,6193898,88088
2012-01-01,6834456,104566
2013-01-01,7148958,97586
2014-01-01,7417391,107236
2015-01-01,7805111,127063
2016-01-01,8270251,114838
2017-01-01,8721536,131779
2018-01-01,8733150,130637
2019-01-01,9365107,148632
2020-01-01,9658928,147125
2021-01-01,10433393,168924
2022-01-01,10924863,172540
2023-01-01,11506702,180866
2024-01-01,12235113,182621
2025-01-01,12344344,192098
