date,cases,deaths
2000-01-01,1033243,16767
2001-01-01,1072754,17035
2002-01-01,1108129,17532
2003-01-01,1182548,16484
2004-01-01,1203830,17960
2005-01-01,1289587,17813
2006-01-01,1363752,20296
2007-01-01,1453187,20278
2008-01-01,1516315,23629
2009-01-01,1534619,24947
2010-01-01,1675348,25124
2011-01-01,1676690,23578
2012-01-01,1759493,25637
2013-01-01,1954592,27410
2014-01-01,1999331,32204
2015-01-01,2063804,33321
2016-01-01,2237138,36429
2017-01-01,2288205,32945
2018-01-01,2368172,34638
2019-01-01,2616400,42425
2020-01-01,2669137,39024
2021-01-01,2860448,43097
2022-01-01,2868986,43134
2023-01-01,3093285,49492
2024-01-01,3294646,46272
2025-01-01,3500469,48740
