date,cases,deaths
2000-01-01,537523,8644
2001-01-01,551511,8661
2002-01-01,577982,8520
2003-01-01,624987,8971
2004-01-01,652956,9571
2005-01-01,680724,9859
2006-01-01,692214,9646
2007-01-01,743327,11598
2008-01-01,800901,11926
2009-01-01,817459,13248
2010-01-01,849217,13188
2011-01-01,900774,14485
2012-01-01,961484,15663
2013-01-01,992720,13780
2014-01-01,1033034,15073
2015-01-01,1081624,15508
2016-01-01,1191649,18374
2017-01-01,1226044,19659
2018-01-01,1244421,17800
2019-01-01,1333947,18838
2020-01-01,1414698,23249
2021-01-01,1519611,21030
2022-01-01,1563873,23216
2023-01-01,1632520,25558
2024-01-01,1687416,23148
2025-01-01,1765251,28505
