date,cases,deaths
2000-01-01,105690,36450
2001-01-01,110021,35452
2002-01-01,117598,42184
2003-01-01,117080,44360
2004-01-01,119970,42179
2005-01-01,125053,42533
2006-01-01,126214,45392
2007-01-01,131168,50034
2008-01-01,131585,43033
2009-01-01,139383,44980
2010-01-01,142667,51777
2011-01-01,139234,50617
2012-01-01,148446,53718
2013-01-01,147496,47832
2014-01-01,155173,52435
2015-01-01,161210,61523
2016-01-01,162373,62256
2017-01-01,162488,54400
2018-01-01,169580,64430
2019-01-01,171129,64631
2020-01-01,179558,59255
2021-01-01,178210,58516
2022-01-01,183535,69468
2023-01-01,192588,67444
2024-01-01,191789,67869
2025-01-01,206918,65342
