date,cases,deaths
2000-01-01,11077,3537
2001-01-01,11821,3753
2002-01-01,11719,3868
2003-01-01,12462,4709
2004-01-01,12367,4333
2005-01-01,12422,3963
2006-01-01,13375,5119
2007-01-01,13616,5059
2008-01-01,13448,4242
2009-01-01,14358,5125
2010-01-01,14355,5057
2011-01-01,14542,5145
2012-01-01,14930,5171
2013-01-01,15422,5911
2014-01-01,15820,5280
2015-01-01,16716,5830
2016-01-01,16348,5947
2017-01-01,16931,6073
2018-01-01,17303,5677
2019-01-01,17492,5839
2020-01-01,18351,6735
2021-01-01,19180,6430
2022-01-01,18988,6760
2023-01-01,20234,6663
2024-01-01,19771,6436
2025-01-01,21248,6938
