date,cases,deaths
2000-01-01,336,8
2000-01-31,294,13
2000-03-01,384,15
2000-03-31,370,10
2000-04-30,364,10
2000-05-30,323,15
2000-06-29,456,7
2000-07-29,349,12
2000-08-28,352,16
2000-09-27,382,12
2000-10-27,527,16
2000-11-26,495,17
2000-12-26,508,14
2001-01-25,480,8
2001-02-24,605,23
2001-03-26,532,6
2001-04-25,605,16
2001-05-25,548,24
2001-06-24,629,25
2001-07-24,612,23
2001-08-23,682,19
2001-09-22,598,18
2001-10-22,740,23
2001-11-21,624,8
2001-12-21,650,17
2002-01-20,600,27
2002-02-19,586,15
2002-03-21,813,24
2002-04-20,666,21
2002-05-20,743,34
2002-06-19,670,18
2002-07-19,899,16
2002-08-18,727,29
2002-09-17,802,31
2002-10-17,818,38
2002-11-16,879,27
2002-12-16,744,16
2003-01-15,1023,12
2003-02-14,841,22
2003-03-16,866,24
2003-04-15,989,48
2003-05-15,1071,19
2003-06-14,1031,17
2003-07-14,905,17
2003-08-13,849,31
2003-09-12,943,25
2003-10-12,828,15
2003-11-11,1108,47
2003-12-11,1140,55
2004-01-10,1083,47
2004-02-09,1070,23
2004-03-10,955,47
2004-04-09,907,32
2004-05-09,959,21
2004-06-08,1298,28
2004-07-08,1032,49
2004-08-07,1317,13
2004-09-06,1156,32
2004-10-06,1367,32
2004-11-05,1367,67
2004-12-05,1318,55
2005-01-04,1134,12
2005-02-03,1370,48
2005-03-05,1259,22
2005-04-04,1170,45
2005-05-04,1384,60
2005-06-03,1406,42
2005-07-03,1198,32
2005-08-02,1118,20
2005-09-01,1470,34
2005-10-01,1363,49
2005-10-31,1494,34
2005-11-30,1146,35
2005-12-30,1539,63
2006-01-29,1488,51
2006-02-28,1314,33
2006-03-30,1316,40
2006-04-29,1543,64
2006-05-29,1749,40
2006-06-28,1400,29
2006-07-28,1640,25
2006-08-27,1500,19
2006-09-26,1545,41
2006-10-26,1487,70
2006-11-25,1818,25
2006-12-25,1572,16
2007-01-24,1836,45
2007-02-23,1470,23
2007-03-25,1464,30
2007-04-24,1947,23
2007-05-24,1439,56
2007-06-23,1410,40
2007-07-23,1696,47
2007-08-22,1914,94
2007-09-21,1399,60
2007-10-21,1625,22
2007-11-20,1922,39
2007-12-20,1458,42
2008-01-19,1525,51
2008-02-18,1733,26
2008-03-19,1844,90
2008-04-18,1640,26
2008-05-18,2190,72
2008-06-17,1790,18
2008-07-17,1886,86
2008-08-16,1771,55
2008-09-15,1797,71
2008-10-15,2013,57
2008-11-14,1720,38
2008-12-14,2092,27
2009-01-13,1852,20
2009-02-12,1717,52
2009-03-14,1912,83
2009-04-13,2103,63
2009-05-13,2049,35
2009-06-12,2211,64
2009-07-12,2013,97
2009-08-11,1800,76
2009-09-10,1873,26
2009-10-10,2174,68
2009-11-09,1894,30
2009-12-09,1753,83
2010-01-08,2414,46
2010-02-07,1854,69
2010-03-09,2191,35
2010-04-08,2134,96
2010-05-08,2195,62
2010-06-07,2335,58
2010-07-07,2271,41
2010-08-06,2195,70
2010-09-05,2397,113
2010-10-05,2119,49
2010-11-04,2475,31
2010-12-04,2287,24
2011-01-03,2316,34
2011-02-02,2287,109
2011-03-04,2621,83
2011-04-03,2209,33
2011-05-03,2320,108
2011-06-02,2601,86
2011-07-02,2432,113
2011-08-01,2648,52
2011-08-31,2049,86
2011-09-30,2259,33
2011-10-30,2151,100
2011-11-29,2588,81
2011-12-29,2221,69
2012-01-28,2305,39
2012-02-27,2803,114
2012-03-28,2483,32
2012-04-27,2614,72
2012-05-27,2780,50
2012-06-26,2972,77
2012-07-26,2738,83
2012-08-25,2992,51
2012-09-24,2723,86
2012-10-24,2118,52
2012-11-23,2659,80
2012-12-23,2800,68
2013-01-22,2474,122
2013-02-21,2529,29
