date,cases,deaths
2000-01-01,242,8
2000-01-31,349,16
2000-03-01,337,11
2000-03-31,404,11
2000-04-30,330,7
2000-05-30,445,6
2000-06-29,400,11
2000-07-29,420,15
2000-08-28,453,7
2000-09-27,459,20
2000-10-27,469,11
2000-11-26,377,5
2000-12-26,408,14
2001-01-25,487,18
2001-02-24,537,11
2001-03-26,495,24
2001-04-25,436,12
2001-05-25,513,7
2001-06-24,617,23
2001-07-24,489,11
2001-08-23,689,33
2001-09-22,552,22
2001-10-22,701,24
2001-11-21,716,35
2001-12-21,664,21
2002-01-20,728,16
2002-02-19,778,9
2002-03-21,825,37
2002-04-20,842,19
2002-05-20,756,25
2002-06-19,829,36
2002-07-19,823,20
2002-08-18,800,16
2002-09-17,780,22
2002-10-17,795,21
2002-11-16,820,19
2002-12-16,688,11
2003-01-15,688,16
2003-02-14,897,40
2003-03-16,885,9
2003-04-15,793,15
2003-05-15,915,12
2003-06-14,863,21
2003-07-14,1031,22
2003-08-13,977,47
2003-09-12,978,37
2003-10-12,837,39
2003-11-11,1150,54
2003-12-11,1115,49
2004-01-10,1015,14
2004-02-09,869,33
2004-03-10,1066,12
2004-04-09,965,47
2004-05-09,1148,40
2004-06-08,1106,35
2004-07-08,1033,25
2004-08-07,928,25
2004-09-06,948,38
2004-10-06,1105,38
2004-11-05,1091,45
2004-12-05,1034,47
2005-01-04,1249,23
2005-02-03,1124,34
2005-03-05,1144,18
2005-04-04,1107,51
2005-05-04,1091,26
2005-06-03,1232,18
2005-07-03,1362,20
2005-08-02,1080,32
2005-09-01,1339,33
2005-10-01,1246,15
2005-10-31,1207,53
2005-11-30,1499,63
2005-12-30,1394,41
2006-01-29,1687,47
2006-02-28,1485,22
2006-03-30,1352,60
2006-04-29,1571,68
2006-05-29,1290,50
2006-06-28,1503,16
2006-07-28,1516,25
2006-08-27,1595,61
2006-09-26,1329,32
2006-10-26,1580,25
2006-11-25,1735,52
2006-12-25,1321,16
2007-01-24,1825,63
2007-02-23,1759,63
2007-03-25,1839,67
2007-04-24,1336,46
2007-05-24,1966,45
2007-06-23,1488,39
2007-07-23,1642,73
2007-08-22,1619,31
2007-09-21,1384,25
2007-10-21,1866,70
2007-11-20,1557,37
2007-12-20,1719,36
2008-01-19,1530,55
2008-02-18,1432,15
2008-03-19,1733,85
2008-04-18,1563,25
2008-05-18,1969,32
2008-06-17,1620,61
2008-07-17,1505,39
2008-08-16,1669,59
2008-09-15,1804,32
2008-10-15,2144,41
2008-11-14,1930,79
2008-12-14,1798,60
2009-01-13,2104,101
2009-02-12,1734,41
2009-03-14,2147,102
2009-04-13,2204,41
2009-05-13,1709,71
2009-06-12,2065,88
2009-07-12,1762,84
2009-08-11,2343,77
2009-09-10,1847,91
2009-10-10,2265,71
2009-11-09,2226,58
2009-12-09,2438,28
2010-01-08,2302,95
2010-02-07,1983,48
2010-03-09,2089,48
2010-04-08,2042,41
2010-05-08,2060,29
2010-06-07,2274,79
2010-07-07,1916,50
2010-08-06,2223,79
2010-09-05,2558,70
2010-10-05,1895,37
2010-11-04,1936,91
2010-12-04,2646,92
2011-01-03,2332,72
2011-02-02,2190,50
2011-03-04,2058,24
2011-04-03,1946,56
2011-05-03,2369,44
2011-06-02,2798,111
2011-07-02,2000,98
2011-08-01,2549,37
2011-08-31,2346,116
2011-09-30,2262,26
2011-10-30,2418,74
2011-11-29,2166,38
2011-12-29,2073,38
2012-01-28,2718,109
2012-02-27,2440,34
2012-03-28,2865,82
2012-04-27,2448,121
2012-05-27,2791,90
2012-06-26,2392,94
2012-07-26,2355,98
2012-08-25,2587,97
2012-09-24,2318,104
2012-10-24,2244,22
2012-11-23,3185,46
2012-12-23,2213,83
2013-01-22,3156,152
2013-02-21,3188,87
2013-03-23,2879,119
2013-04-22,2886,139
2013-05-22,2465,109
2013-06-21,2993,124
2013-07-21,2617,129
2013-08-20,2584,71
2013-09-19,3114,113
