date,cases,deaths
2000-01-01,30671,10708
2001-01-01,32813,10720
2002-01-01,32166,10575
2003-01-01,32623,11266
2004-01-01,35200,12091
2005-01-01,34560,10923
2006-01-01,36445,11731
2007-01-01,37651,13087
2008-01-01,38275,12844
2009-01-01,38481,14748
2010-01-01,40211,15036
2011-01-01,40972,15495
2012-01-01,41724,15815
2013-01-01,43171,14979
2014-01-01,44929,16822
2015-01-01,46476,17111
2016-01-01,47548,18229
2017-01-01,48868,17470
2018-01-01,48975,16817
2019-01-01,49479,16097
2020-01-01,51238,19218
2021-01-01,53796,17270
2022-01-01,53333,18340
2023-01-01,55459,20175
2024-01-01,54979,21012
2025-01-01,56570,18540
