date,cases,deaths
2000-01-01,330,9
2000-01-31,322,5
2000-03-01,312,12
2000-03-31,307,8
2000-04-30,298,12
2000-05-30,416,8
2000-06-29,329,7
2000-07-29,439,6
2000-08-28,346,8
2000-09-27,390,7
2000-10-27,474,18
2000-11-26,459,6
2000-12-26,487,16
2001-01-25,551,22
2001-02-24,429,19
2001-03-26,449,20
2001-04-25,593,15
2001-05-25,527,25
2001-06-24,460,19
2001-07-24,517,10
2001-08-23,536,10
2001-09-22,592,15
2001-10-22,682,22
2001-11-21,692,15
2001-12-21,659,25
2002-01-20,598,23
2002-02-19,702,16
2002-03-21,718,28
2002-04-20,811,29
2002-05-20,781,11
2002-06-19,842,15
2002-07-19,809,17
2002-08-18,791,24
2002-09-17,707,8
2002-10-17,649,24
2002-11-16,701,31
2002-12-16,695,25
2003-01-15,723,8
2003-02-14,944,15
2003-03-16,915,18
2003-04-15,996,10
2003-05-15,890,34
2003-06-14,860,13
2003-07-14,812,18
2003-08-13,1094,12
2003-09-12,921,30
2003-10-12,1091,41
2003-11-11,1092,47
2003-12-11,821,26
2004-01-10,1209,24
2004-02-09,926,12
2004-03-10,875,21
2004-04-09,1210,14
2004-05-09,877,25
2004-06-08,1075,30
2004-07-08,903,24
2004-08-07,1155,20
2004-09-06,1002,38
2004-10-06,1326,57
2004-11-05,1127,17
2004-12-05,1270,30
2005-01-04,1040,22
2005-02-03,1047,29
2005-03-05,1023,22
2005-04-04,1222,41
2005-05-04,1036,30
2005-06-03,1101,44
2005-07-03,1096,50
2005-08-02,1169,23
2005-09-01,1467,24
2005-10-01,1116,47
2005-10-31,1510,33
2005-11-30,1221,61
2005-12-30,1203,47
2006-01-29,1418,70
2006-02-28,1484,28
2006-03-30,1678,41
2006-04-29,1438,57
2006-05-29,1481,40
2006-06-28,1207,52
2006-07-28,1741,56
2006-08-27,1448,33
2006-09-26,1590,21
2006-10-26,1340,51
2006-11-25,1504,29
2006-12-25,1879,32
2007-01-24,1558,69
2007-02-23,1925,52
2007-03-25,1866,28
2007-04-24,1793,71
2007-05-24,1531,26
2007-06-23,1814,80
2007-07-23,1602,77
2007-08-22,1458,51
2007-09-21,1857,38
2007-10-21,1771,37
2007-11-20,1563,20
2007-12-20,2020,93
2008-01-19,1803,60
2008-02-18,1682,36
2008-03-19,2126,50
2008-04-18,1972,27
2008-05-18,1600,73
2008-06-17,1922,49
2008-07-17,1578,19
2008-08-16,1887,78
2008-09-15,2126,70
2008-10-15,2087,35
2008-11-14,2201,109
2008-12-14,1589,60
2009-01-13,1873,47
2009-02-12,1901,43
2009-03-14,1965,38
2009-04-13,1711,51
2009-05-13,2010,33
2009-06-12,1633,75
2009-07-12,1644,43
2009-08-11,2170,103
2009-09-10,2182,94
2009-10-10,2214,54
2009-11-09,1833,62
2009-12-09,2054,86
2010-01-08,2410,53
2010-02-07,1976,75
2010-03-09,1843,65
2010-04-08,2168,28
2010-05-08,2393,38
2010-06-07,2294,32
2010-07-07,1816,53
2010-08-06,2036,41
2010-09-05,1897,37
2010-10-05,2218,88
2010-11-04,2379,90
2010-12-04,2573,125
2011-01-03,2067,22
2011-02-02,2641,130
2011-03-04,2193,80
2011-04-03,2171,22
2011-05-03,2430,109
2011-06-02,2589,92
2011-07-02,2804,115
2011-08-01,2614,130
2011-08-31,2888,58
2011-09-30,2362,79
2011-10-30,2164,106
2011-11-29,2876,139
2011-12-29,2610,97
2012-01-28,2007,70
2012-02-27,2258,43
2012-03-28,2060,65
2012-04-27,2664,111
2012-05-27,2794,31
2012-06-26,2090,89
2012-07-26,2108,71
2012-08-25,2725,52
2012-09-24,2467,50
2012-10-24,2303,90
2012-11-23,2693,33
2012-12-23,2800,69
2013-01-22,2983,33
2013-02-21,2531,125
2013-03-23,2831,122
2013-04-22,2519,44
2013-05-22,3093,128
2013-06-21,2288,30
2013-07-21,2902,105
2013-08-20,2548,117
2013-09-19,2882,86
2013-10-19,2920,92
2013-11-18,2373,80
2013-12-18,3323,78
2014-01-17,2632,32
2014-02-16,2361,38
2014-03-18,2331,73
2014-04-17,2961,30
2014-05-17,2794,136
2014-06-16,3203,92
2014-07-16,2507,87
2014-08-15,3095,123
2014-09-14,2404,30
2014-10-14,3129,62
2014-11-13,3220,41
2014-12-13,2760,53
2015-01-12,2711,120
2015-02-11,2722,127
2015-03-13,2952,107
2015-04-12,3076,99
2015-05-12,2588,82
2015-06-11,2564,95
2015-07-11,2958,97
2015-08-10,2767,123
2015-09-09,2719,47
2015-10-09,3421,59
2015-11-08,3744,71
2015-12-08,3561,133
2016-01-07,3774,55
2016-02-06,3372,143
2016-03-07,3887,45
2016-04-06,3439,67
2016-05-06,3203,101
2016-06-05,3596,156
2016-07-05,3407,134
2016-08-04,2866,91
2016-09-03,3899,189
2016-10-03,3039,133
2016-11-02,3374,114
2016-12-02,3105,147
2017-01-01,3611,83
2017-01-31,3301,68
2017-03-02,2778,115
2017-04-01,3010,63
2017-05-01,3160,104
2017-05-31,3785,38
2017-06-30,3839,137
2017-07-30,3819,102
2017-08-29,4104,119
2017-09-28,4088,200
2017-10-28,3254,154
2017-11-27,3339,122
2017-12-27,3312,117
2018-01-26,3558,155
2018-02-25,2908,102
2018-03-27,4273,98
2018-04-26,4131,79
2018-05-26,4216,171
2018-06-25,3726,72
2018-07-25,3939,150
2018-08-24,3272,102
2018-09-23,3552,50
2018-10-23,3495,137
2018-11-22,3939,172
2018-12-22,4201,157
2019-01-21,4379,129
2019-02-20,3545,152
2019-03-22,3287,80
2019-04-21,3407,126
2019-05-21,3759,48
2019-06-20,4607,105
2019-07-20,3607,164
2019-08-19,4308,67
2019-09-18,4639,143
2019-10-18,3226,66
2019-11-17,4388,130
2019-12-17,4298,63
2020-01-16,4348,195
2020-02-15,3939,105
2020-03-16,4154,140
2020-04-15,4716,135
2020-05-15,4706,211
2020-06-14,4494,133
2020-07-14,3531,46
2020-08-13,3637,50
2020-09-12,3554,124
2020-10-12,3749,139
2020-11-11,4450,116
2020-12-11,3993,187
2021-01-10,3962,130
2021-02-09,3578,134
2021-03-11,3842,156
2021-04-10,4585,142
2021-05-10,4765,65
2021-06-09,4567,62
2021-07-09,3386,139
2021-08-08,3907,93
2021-09-07,4246,85
2021-10-07,3668,172
2021-11-06,4136,205
2021-12-06,3699,70
2022-01-05,4243,174
2022-02-04,4691,115
2022-03-06,3555,55
2022-04-05,4244,61
2022-05-05,5235,53
2022-06-04,3616,48
2022-07-04,4155,74
2022-08-03,4005,92
2022-09-02,4878,94
2022-10-02,3821,101
2022-11-01,4387,143
2022-12-01,3859,123
2022-12-31,4496,222
2023-01-30,5139,154
2023-03-01,4992,206
2023-03-31,4927,159
2023-04-30,5266,149
2023-05-30,3676,169
2023-06-29,5494,199
2023-07-29,4959,96
2023-08-28,5525,162
2023-09-27,5302,112
2023-10-27,5420,56
2023-11-26,5395,267
2023-12-26,4227,128
2024-01-25,4831,78
2024-02-24,3920,147
