date,cases,deaths
2000-01-01,322,4
2000-01-31,313,13
2000-03-01,271,3
2000-03-31,294,7
2000-04-30,306,12
2000-05-30,334,3
2000-06-29,396,19
2000-07-29,466,10
2000-08-28,439,16
2000-09-27,509,10
2000-10-27,519,8
2000-11-26,484,17
2000-12-26,432,16
2001-01-25,575,11
2001-02-24,578,15
2001-03-26,498,6
2001-04-25,599,18
2001-05-25,662,28
2001-06-24,614,23
2001-07-24,518,10
2001-08-23,507,15
2001-09-22,507,8
2001-10-22,654,20
2001-11-21,763,9
2001-12-21,743,13
2002-01-20,594,10
2002-02-19,610,12
2002-03-21,672,20
2002-04-20,673,21
2002-05-20,761,31
2002-06-19,882,28
2002-07-19,692,23
2002-08-18,711,30
2002-09-17,813,12
2002-10-17,900,30
2002-11-16,810,39
2002-12-16,871,20
2003-01-15,1008,29
2003-02-14,822,14
2003-03-16,819,13
2003-04-15,798,18
2003-05-15,1008,12
2003-06-14,1075,36
2003-07-14,955,13
2003-08-13,873,30
2003-09-12,784,16
2003-10-12,1095,48
2003-11-11,1027,27
2003-12-11,978,35
2004-01-10,828,23
2004-02-09,1134,41
2004-03-10,1166,39
2004-04-09,1194,37
2004-05-09,1047,34
2004-06-08,1182,27
2004-07-08,1331,21
2004-08-07,1211,45
2004-09-06,943,12
2004-10-06,1341,23
2004-11-05,1044,33
2004-12-05,1350,17
2005-01-04,1394,67
2005-02-03,1034,47
2005-03-05,1473,52
2005-04-04,1039,30
2005-05-04,1460,63
2005-06-03,1281,61
2005-07-03,1097,45
2005-08-02,1234,17
2005-09-01,1397,46
2005-10-01,1532,58
2005-10-31,1157,50
2005-11-30,1437,38
2005-12-30,1560,75
2006-01-29,1608,28
2006-02-28,1458,69
2006-03-30,1408,48
2006-04-29,1622,73
2006-05-29,1745,29
2006-06-28,1723,44
2006-07-28,1536,17
2006-08-27,1409,55
2006-09-26,1710,51
2006-10-26,1841,74
2006-11-25,1538,22
2006-12-25,1446,51
2007-01-24,1619,68
2007-02-23,1379,48
2007-03-25,1422,68
2007-04-24,1758,58
2007-05-24,1740,58
2007-06-23,1717,80
2007-07-23,1456,69
2007-08-22,1812,35
2007-09-21,1447,27
2007-10-21,1958,77
2007-11-20,1633,64
2007-12-20,2008,79
2008-01-19,1503,65
2008-02-18,1957,42
2008-03-19,2032,99
2008-04-18,1936,86
2008-05-18,1967,61
2008-06-17,2101,100
2008-07-17,2069,71
2008-08-16,2219,73
2008-09-15,1759,19
2008-10-15,1552,23
2008-11-14,2181,64
2008-12-14,2111,85
2009-01-13,1768,61
2009-02-12,1927,87
2009-03-14,2121,68
2009-04-13,2270,110
2009-05-13,2284,83
2009-06-12,1723,78
2009-07-12,1653,67
2009-08-11,2008,69
2009-09-10,2173,61
2009-10-10,1765,75
2009-11-09,2284,79
2009-12-09,2460,112
2010-01-08,2545,28
2010-02-07,2349,60
2010-03-09,2104,105
2010-04-08,2107,31
2010-05-08,2544,28
2010-06-07,1997,61
2010-07-07,2013,23
2010-08-06,2432,76
2010-09-05,1924,47
2010-10-05,1871,82
2010-11-04,2173,65
2010-12-04,2034,38
2011-01-03,1925,45
2011-02-02,2489,76
2011-03-04,2364,104
2011-04-03,2778,118
2011-05-03,2094,33
2011-06-02,2404,91
2011-07-02,2076,66
2011-08-01,2783,87
2011-08-31,2597,120
2011-09-30,2091,52
2011-10-30,2579,111
2011-11-29,2230,51
2011-12-29,2431,89
2012-01-28,2778,110
2012-02-27,2354,53
2012-03-28,2369,52
2012-04-27,2670,132
2012-05-27,2130,57
2012-06-26,2106,53
2012-07-26,2845,70
2012-08-25,2352,52
2012-09-24,2383,47
2012-10-24,2353,25
2012-11-23,2636,55
2012-12-23,2765,83
2013-01-22,2315,112
2013-02-21,2526,109
2013-03-23,2269,81
2013-04-22,2384,80
2013-05-22,2729,135
2013-06-21,2422,38
2013-07-21,3228,113
2013-08-20,2674,82
2013-09-19,2937,103
2013-10-19,3221,108
2013-11-18,3104,65
2013-12-18,3166,35
2014-01-17,2627,96
2014-02-16,3099,63
2014-03-18,2526,90
2014-04-17,3257,114
2014-05-17,2516,77
2014-06-16,2697,62
2014-07-16,3118,114
2014-08-15,2983,92
2014-09-14,3264,42
2014-10-14,2694,118
2014-11-13,3493,49
2014-12-13,2508,83
2015-01-12,2943,109
2015-02-11,3060,126
2015-03-13,2562,57
2015-04-12,3664,136
2015-05-12,2770,36
2015-06-11,2719,34
2015-07-11,3604,92
2015-08-10,3228,131
2015-09-09,3515,88
2015-10-09,3147,127
2015-11-08,3073,36
2015-12-08,2599,28
2016-01-07,3493,144
2016-02-06,3158,80
2016-03-07,2764,126
2016-04-06,3748,98
2016-05-06,3237,87
2016-06-05,3438,72
2016-07-05,3767,98
2016-08-04,3971,147
2016-09-03,3098,124
2016-10-03,3916,90
2016-11-02,3423,132
2016-12-02,2899,90
2017-01-01,2925,98
2017-01-31,3475,157
2017-03-02,3368,74
2017-04-01,3502,79
2017-05-01,3224,65
2017-05-31,3893,146
2017-06-30,3129,59
2017-07-30,3752,84
2017-08-29,3453,86
2017-09-28,3825,67
2017-10-28,2947,115
2017-11-27,3866,152
2017-12-27,4035,87
2018-01-26,4256,93
2018-02-25,3078,109
2018-03-27,3185,53
2018-04-26,4138,77
2018-05-26,3352,56
2018-06-25,4109,149
2018-07-25,3654,167
2018-08-24,4394,165
2018-09-23,3732,157
2018-10-23,3541,84
2018-11-22,3000,132
2018-12-22,4388,212
2019-01-21,4470,52
2019-02-20,4471,213
2019-03-22,3432,124
2019-04-21,4262,183
2019-05-21,3414,63
2019-06-20,4571,66
2019-07-20,4283,135
2019-08-19,3786,161
2019-09-18,4556,64
2019-10-18,4104,185
2019-11-17,3164,74
2019-12-17,3562,138
2020-01-16,4523,121
2020-02-15,4419,124
2020-03-16,3698,178
2020-04-15,4776,169
2020-05-15,3653,116
2020-06-14,4745,122
2020-07-14,4218,61
2020-08-13,4597,178
2020-09-12,4587,112
