date,cases,deaths
2000-01-01,114236,41754
2001-01-01,115573,37643
2002-01-01,125453,43683
2003-01-01,122268,45766
2004-01-01,129956,42379
2005-01-01,128441,48322
2006-01-01,137687,48362
2007-01-01,138978,44227
2008-01-01,140521,50381
2009-01-01,142461,52657
2010-01-01,145817,52140
2011-01-01,147868,49804
2012-01-01,159335,52927
2013-01-01,162745,59094
2014-01-01,162040,55628
2015-01-01,171640,55440
2016-01-01,168290,58077
2017-01-01,172784,55009
2018-01-01,183154,60678
2019-01-01,180363,62774
2020-01-01,186762,67327
2021-01-01,189559,68821
2022-01-01,198752,63854
2023-01-01,199043,74384
2024-01-01,215048,68465
2025-01-01,209116,79507
