date,cases,deaths
2000-01-01,302,14
2000-01-31,255,6
2000-03-01,290,13
2000-03-31,376,13
2000-04-30,401,4
2000-05-30,387,9
2000-06-29,321,7
2000-07-29,333,14
2000-08-28,341,15
2000-09-27,381,15
2000-10-27,509,17
2000-11-26,547,6
2000-12-26,569,9
2001-01-25,421,19
2001-02-24,574,10
2001-03-26,516,17
2001-04-25,576,17
2001-05-25,488,20
2001-06-24,537,14
2001-07-24,694,9
2001-08-23,503,21
2001-09-22,511,16
2001-10-22,560,18
2001-11-21,567,27
2001-12-21,613,11
2002-01-20,796,22
2002-02-19,653,30
2002-03-21,673,19
2002-04-20,842,9
2002-05-20,680,26
2002-06-19,671,26
2002-07-19,620,12
2002-08-18,926,39
2002-09-17,711,16
2002-10-17,949,37
2002-11-16,900,17
2002-12-16,977,27
2003-01-15,775,29
2003-02-14,843,25
2003-03-16,743,23
2003-04-15,768,17
2003-05-15,971,29
2003-06-14,1067,50
2003-07-14,901,39
2003-08-13,840,32
2003-09-12,919,43
2003-10-12,1164,16
2003-11-11,907,41
2003-12-11,895,30
2004-01-10,1051,31
2004-02-09,1256,50
2004-03-10,1020,40
2004-04-09,1202,53
2004-05-09,1248,29
2004-06-08,1006,28
2004-07-08,1248,61
2004-08-07,1140,14
2004-09-06,998,13
2004-10-06,1092,21
2004-11-05,1200,37
2004-12-05,1398,24
2005-01-04,1288,35
2005-02-03,1259,36
2005-03-05,1269,44
2005-04-04,1414,20
2005-05-04,1288,17
2005-06-03,1268,48
2005-07-03,1050,26
2005-08-02,1350,57
2005-09-01,1183,56
2005-10-01,1415,40
2005-10-31,1210,21
2005-11-30,1419,69
2005-12-30,1211,40
2006-01-29,1179,36
2006-02-28,1316,27
2006-03-30,1246,23
2006-04-29,1604,63
2006-05-29,1548,71
2006-06-28,1684,35
2006-07-28,1596,44
2006-08-27,1629,54
2006-09-26,1411,29
2006-10-26,1249,33
2006-11-25,1537,70
2006-12-25,1434,46
2007-01-24,1458,69
2007-02-23,1372,23
2007-03-25,1679,78
2007-04-24,1774,49
2007-05-24,1527,58
2007-06-23,1745,48
2007-07-23,1844,29
2007-08-22,1389,14
2007-09-21,1856,60
2007-10-21,1840,64
2007-11-20,1750,22
2007-12-20,1800,25
2008-01-19,1787,21
2008-02-18,1921,64
2008-03-19,1494,54
2008-04-18,1723,38
2008-05-18,1529,52
2008-06-17,2131,45
2008-07-17,2065,90
2008-08-16,1931,89
2008-09-15,1833,80
2008-10-15,1553,70
2008-11-14,2218,102
2008-12-14,1994,44
2009-01-13,1606,36
2009-02-12,1766,67
2009-03-14,1824,76
2009-04-13,2233,23
2009-05-13,1700,69
2009-06-12,2404,108
2009-07-12,2190,62
2009-08-11,1839,83
2009-09-10,2295,51
2009-10-10,1862,58
2009-11-09,1960,58
2009-12-09,1852,71
2010-01-08,2111,84
2010-02-07,1879,44
2010-03-09,2533,69
2010-04-08,2534,55
2010-05-08,2556,53
2010-06-07,1775,64
2010-07-07,2187,41
2010-08-06,2657,121
2010-09-05,1985,58
2010-10-05,2629,54
2010-11-04,2218,39
2010-12-04,2454,95
2011-01-03,2169,30
2011-02-02,2405,37
2011-03-04,2781,107
2011-04-03,1919,25
2011-05-03,2006,63
2011-06-02,2038,38
2011-07-02,2152,49
2011-08-01,2803,28
2011-08-31,2185,30
2011-09-30,2043,29
2011-10-30,2040,23
2011-11-29,2834,37
2011-12-29,2847,83
2012-01-28,2188,44
2012-02-27,2700,118
2012-03-28,2644,100
2012-04-27,2832,43
2012-05-27,2653,118
2012-06-26,2940,98
2012-07-26,2826,83
2012-08-25,2948,93
2012-09-24,2799,118
2012-10-24,2697,119
2012-11-23,2617,43
2012-12-23,2402,41
2013-01-22,2645,107
2013-02-21,2898,104
2013-03-23,2751,100
2013-04-22,2503,60
2013-05-22,2991,65
2013-06-21,2273,45
2013-07-21,2544,116
2013-08-20,2506,80
2013-09-19,3280,107
2013-10-19,2362,33
2013-11-18,3191,34
2013-12-18,2676,46
2014-01-17,2450,28
2014-02-16,2492,59
2014-03-18,3017,47
2014-04-17,2330,112
2014-05-17,2662,31
2014-06-16,2597,49
2014-07-16,3512,137
2014-08-15,2509,70
2014-09-14,2952,61
2014-10-14,2502,67
2014-11-13,3203,155
2014-12-13,3026,31
2015-01-12,2960,51
2015-02-11,2703,62
2015-03-13,2510,104
2015-04-12,2696,101
2015-05-12,3238,139
2015-06-11,3171,115
2015-07-11,2892,124
2015-08-10,3500,101
2015-09-09,3097,87
2015-10-09,2683,52
2015-11-08,3023,76
2015-12-08,2655,116
2016-01-07,3033,105
2016-02-06,3670,40
2016-03-07,3001,132
2016-04-06,2784,62
2016-05-06,3917,102
2016-06-05,2649,85
2016-07-05,3807,106
2016-08-04,2928,103
2016-09-03,3853,55
2016-10-03,2842,52
2016-11-02,3586,63
2016-12-02,2843,84
2017-01-01,4049,52
2017-01-31,3460,78
2017-03-02,3529,165
2017-04-01,3513,42
2017-05-01,3249,109
2017-05-31,3380,138
2017-06-30,3692,96
2017-07-30,2852,111
2017-08-29,3586,51
2017-09-28,3773,57
2017-10-28,3687,89
2017-11-27,2899,121
2017-12-27,3611,142
2018-01-26,2916,78
2018-02-25,4044,191
2018-03-27,2997,105
2018-04-26,2952,112
2018-05-26,3984,63
2018-06-25,3097,82
2018-07-25,3766,82
2018-08-24,3601,156
2018-09-23,4430,53
2018-10-23,4368,209
2018-11-22,3926,73
2018-12-22,4371,210
2019-01-21,4072,189
2019-02-20,4085,168
2019-03-22,4041,89
2019-04-21,3651,161
2019-05-21,4244,114
2019-06-20,3192,61
2019-07-20,3818,117
2019-08-19,3894,162
2019-09-18,4321,72
2019-10-18,4518,178
2019-11-17,3755,92
2019-12-17,3358,133
2020-01-16,3405,106
2020-02-15,4084,154
2020-03-16,4310,188
2020-04-15,3866,178
2020-05-15,3435,45
2020-06-14,4422,144
2020-07-14,3440,113
2020-08-13,4153,118
2020-09-12,4150,116
2020-10-12,4024,164
2020-11-11,4293,112
2020-12-11,4295,152
2021-01-10,4846,68
2021-02-09,3630,113
2021-03-11,3580,93
2021-04-10,4538,127
2021-05-10,4451,132
2021-06-09,3431,143
2021-07-09,3590,91
2021-08-08,3849,43
2021-09-07,3975,65
2021-10-07,4416,165
2021-11-06,3604,63
2021-12-06,4794,76
2022-01-05,4817,168
2022-02-04,5062,101
2022-03-06,3972,167
2022-04-05,3931,126
2022-05-05,4258,83
2022-06-04,5245,172
2022-07-04,4588,182
2022-08-03,3758,102
2022-09-02,5005,198
2022-10-02,4901,123
2022-11-01,3735,41
2022-12-01,3653,144
2022-12-31,4546,127
2023-01-30,4536,213
2023-03-01,4356,135
2023-03-31,4112,156
2023-04-30,5228,140
2023-05-30,5062,199
2023-06-29,5213,234
2023-07-29,5089,124
2023-08-28,5085,154
2023-09-27,3899,90
2023-10-27,5114,230
2023-11-26,4925,99
2023-12-26,5100,117
2024-01-25,4441,83
2024-02-24,4967,208
2024-03-25,4288,63
2024-04-24,4088,107
2024-05-24,5196,122
2024-06-23,3871,46
2024-07-23,5163,154
