date,cases,deaths
2000-01-01,21400,7804
2001-01-01,21182,7587
2002-01-01,21491,7600
2003-01-01,22855,8628
2004-01-01,23021,8207
2005-01-01,23650,9003
2006-01-01,23735,8325
2007-01-01,24693,8489
2008-01-01,25002,9565
2009-01-01,26129,8578
2010-01-01,26783,8646
2011-01-01,27787,9878
2012-01-01,28363,9325
2013-01-01,28439,10345
2014-01-01,29281,9298
2015-01-01,30866,10249
2016-01-01,31661,11472
2017-01-01,32042,10440
2018-01-01,33568,12246
2019-01-01,33760,12014
2020-01-01,34174,12489
2021-01-01,35948,12612
2022-01-01,35966,13268
2023-01-01,36927,12534
2024-01-01,38987,14203
2025-01-01,39626,12669
