date,cases,deaths
2020-01-22,96,0
2020-01-23,192,2
2020-01-24,145,0
2020-01-25,183,0
2020-01-26,139,0
2020-01-27,259,2
2020-01-28,279,2
2020-01-29,107,0
2020-01-30,52,0
2020-01-31,46,0
2020-02-01,262,2
2020-02-02,282,2
2020-02-03,267,2
2020-02-04,14,0
2020-02-05,276,2
2020-02-06,122,0
2020-02-07,136,0
2020-02-08,40,0
2020-02-09,230,2
2020-02-10,276,2
2020-02-11,244,2
2020-02-12,81,0
2020-02-13,58,0
2020-02-14,2,0
2020-02-15,133,0
2020-02-16,5,0
2020-02-17,279,2
2020-02-18,145,0
2020-02-19,93,0
2020-02-20,230,2
2020-02-21,69,0
2020-02-22,177,0
2020-02-23,183,2
2020-02-24,230,2
2020-02-25,218,2
2020-02-26,98,0
2020-02-27,221,0
2020-02-28,49,0
2020-02-29,168,0
2020-03-01,139,0
2020-03-02,98,0
2020-03-03,285,2
2020-03-04,116,0
2020-03-05,69,0
2020-03-06,37,0
2020-03-07,186,2
2020-03-08,253,2
2020-03-09,40,0
2020-03-10,212,2
2020-03-11,131,0
2020-03-12,131,0
2020-03-13,285,2
2020-03-14,218,2
2020-03-15,192,2
2020-03-16,262,2
2020-03-17,256,2
2020-03-18,26,0
2020-03-19,110,0
2020-03-20,148,0
2020-03-21,5,0
2020-03-22,218,2
2020-03-23,285,2
2020-03-24,2,0
2020-03-25,58,0
2020-03-26,195,2
2020-03-27,180,0
2020-03-28,151,0
2020-03-29,14,0
2020-03-30,32,0
2020-03-31,84,0
2020-04-01,340,2
2020-04-02,317,2
2020-04-03,320,2
2020-04-04,340,2
2020-04-05,366,4
2020-04-06,340,2
2020-04-07,474,4
2020-04-08,477,4
2020-04-09,430,4
2020-04-10,480,4
2020-04-11,425,4
2020-04-12,646,6
2020-04-13,666,6
2020-04-14,579,4
2020-04-15,628,6
2020-04-16,725,6
2020-04-17,835,8
2020-04-18,914,8
2020-04-19,733,6
2020-04-20,1068,12
2020-04-21,882,8
2020-04-22,850,6
2020-04-23,1144,10
2020-04-24,1228,10
2020-04-25,1458,16
2020-04-26,1452,12
2020-04-27,1123,10
2020-04-28,1310,14
2020-04-29,1732,18
2020-04-30,1790,16
2020-05-01,1802,21
2020-05-02,1499,16
2020-05-03,1694,16
2020-05-04,2163,18
2020-05-05,2681,27
2020-05-06,2224,21
2020-05-07,2061,21
2020-05-08,2704,23
2020-05-09,2509,25
2020-05-10,3380,31
2020-05-11,3429,40
2020-05-12,3432,33
2020-05-13,4186,48
2020-05-14,3194,40
2020-05-15,3470,35
2020-05-16,4454,37
2020-05-17,4993,46
2020-05-18,4440,37
2020-05-19,5514,52
2020-05-20,5322,63
2020-05-21,5377,50
2020-05-22,5666,67
2020-05-23,6661,59
2020-05-24,6254,54
2020-05-25,7477,94
2020-05-26,8429,75
2020-05-27,7884,73
2020-05-28,8726,107
2020-05-29,10534,94
2020-05-30,11835,128
2020-05-31,8982,109
2020-06-01,9905,88
2020-06-02,11588,107
2020-06-03,12371,118
2020-06-04,14919,174
2020-06-05,15647,174
2020-06-06,13690,122
2020-06-07,18221,236
2020-06-08,16707,172
2020-06-09,15428,191
2020-06-10,18611,221
2020-06-11,19019,189
2020-06-12,24862,261
2020-06-13,24865,278
2020-06-14,25730,269
2020-06-15,26435,231
2020-06-16,26801,305
2020-06-17,28723,286
2020-06-18,35534,432
2020-06-19,39260,493
2020-06-20,30642,349
2020-06-21,39799,427
2020-06-22,41625,432
2020-06-23,41799,529
2020-06-24,41010,499
2020-06-25,48753,429
2020-06-26,58678,638
2020-06-27,56713,731
2020-06-28,55746,588
2020-06-29,64586,693
2020-06-30,56023,676
2020-07-01,75904,773
2020-07-02,69629,617
2020-07-03,72148,777
2020-07-04,97034,1226
2020-07-05,94748,893
2020-07-06,98571,1218
2020-07-07,107909,1043
2020-07-08,120636,1114
2020-07-09,115558,1066
2020-07-10,133703,1186
2020-07-11,145027,1502
2020-07-12,155090,1848
2020-07-13,123370,1230
2020-07-14,130078,1597
2020-07-15,173952,1772
2020-07-16,158394,1995
2020-07-17,175733,1774
2020-07-18,203817,1970
2020-07-19,203817,2541
2020-07-20,203817,2004
2020-07-21,203817,2069
2020-07-22,203817,2592
2020-07-23,203817,1939
2020-07-24,203817,1789
2020-07-25,203817,2632
2020-07-26,203817,2113
2020-07-27,203817,2284
2020-07-28,203817,2175
2020-07-29,203817,2322
2020-07-30,203817,2322
2020-07-31,203817,1806
2020-08-01,203817,2307
2020-08-02,203817,1780
2020-08-03,203817,2200
2020-08-04,203817,1983
2020-08-05,203817,2385
2020-08-06,203817,1892
2020-08-07,203817,1995
2020-08-08,203817,2059
2020-08-09,203817,2453
2020-08-10,203817,1821
2020-08-11,203817,2503
2020-08-12,203817,2052
2020-08-13,203817,2067
2020-08-14,203817,1863
2020-08-15,203817,2255
2020-08-16,203817,2033
2020-08-17,203817,2543
2020-08-18,203817,1945
2020-08-19,203817,2624
2020-08-20,203817,2651
2020-08-21,203817,2006
2020-08-22,203817,1799
2020-08-23,203817,2010
2020-08-24,203817,2527
2020-08-25,203817,1787
2020-08-26,203817,1905
2020-08-27,203817,2476
2020-08-28,203817,2463
2020-08-29,203817,2175
2020-08-30,203817,2109
2020-08-31,203817,2550
2020-09-01,236404,2541
2020-09-02,272459,3064
2020-09-03,254241,2217
2020-09-04,229116,2368
2020-09-05,256273,2596
2020-09-06,251221,2653
2020-09-07,240897,2539
2020-09-08,271522,3169
2020-09-09,243651,2493
2020-09-10,234826,3018
2020-09-11,258166,2908
2020-09-12,272005,2482
2020-09-13,227794,2044
2020-09-14,259476,2777
2020-09-15,255280,3089
2020-09-16,271196,3346
2020-09-17,229069,2242
2020-09-18,262242,2984
2020-09-19,236538,2575
2020-09-20,242079,2649
2020-09-21,239546,3085
2020-09-22,247730,3098
2020-09-23,268511,3060
2020-09-24,244385,3011
2020-09-25,224090,2333
2020-09-26,252377,3216
2020-09-27,255633,2661
2020-09-28,219374,2044
2020-09-29,242058,2196
2020-09-30,248554,2459
2020-10-01,165132,1983
2020-10-02,147356,1528
2020-10-03,182151,2147
2020-10-04,139760,1306
2020-10-05,167141,2094
2020-10-06,204745,2244
2020-10-07,187581,2297
2020-10-08,155349,1856
2020-10-09,148731,1717
2020-10-10,139626,1576
2020-10-11,161163,1713
2020-10-12,198019,2577
2020-10-13,198290,2067
2020-10-14,197658,2162
2020-10-15,166533,1597
2020-10-16,166305,2124
2020-10-17,162305,1424
2020-10-18,142060,1601
2020-10-19,138362,1395
2020-10-20,201898,1833
2020-10-21,167062,1903
2020-10-22,182858,1700
2020-10-23,204652,2358
2020-10-24,157361,2046
2020-10-25,197338,2084
2020-10-26,170845,2111
2020-10-27,199568,2044
2020-10-28,145435,1277
2020-10-29,140625,1808
2020-10-30,145682,1646
2020-10-31,163071,1614
2020-11-01,135197,1540
2020-11-02,124048,1384
2020-11-03,116810,1036
2020-11-04,150169,1945
2020-11-05,137116,1726
