date,cases,deaths
2020-01-22,14,0
2020-01-23,14,0
2020-01-24,20,0
2020-01-25,13,0
2020-01-26,20,0
2020-01-27,19,0
2020-01-28,2,0
2020-01-29,19,0
2020-01-30,1,0
2020-01-31,3,0
2020-02-01,14,0
2020-02-02,18,0
2020-02-03,6,0
2020-02-04,25,0
2020-02-05,2,0
2020-02-06,12,0
2020-02-07,12,0
2020-02-08,25,0
2020-02-09,1,0
2020-02-10,7,0
2020-02-11,4,0
2020-02-12,24,0
2020-02-13,11,0
2020-02-14,15,0
2020-02-15,18,0
2020-02-16,0,0
2020-02-17,4,0
2020-02-18,12,0
2020-02-19,2,0
2020-02-20,11,0
2020-02-21,26,0
2020-02-22,3,0
2020-02-23,27,0
2020-02-24,29,0
2020-02-25,17,0
2020-02-26,21,0
2020-02-27,7,0
2020-02-28,1,0
2020-02-29,2,0
2020-03-01,24,0
2020-03-02,7,0
2020-03-03,3,0
2020-03-04,6,0
2020-03-05,11,0
2020-03-06,29,0
2020-03-07,8,0
2020-03-08,19,0
2020-03-09,21,0
2020-03-10,9,0
2020-03-11,15,0
2020-03-12,8,0
2020-03-13,22,0
2020-03-14,11,0
2020-03-15,3,0
2020-03-16,25,0
2020-03-17,29,0
2020-03-18,9,0
2020-03-19,2,0
2020-03-20,11,0
2020-03-21,23,0
2020-03-22,3,0
2020-03-23,11,0
2020-03-24,7,0
2020-03-25,15,0
2020-03-26,29,0
2020-03-27,23,0
2020-03-28,22,0
2020-03-29,6,0
2020-03-30,1,0
2020-03-31,6,0
2020-04-01,28,0
2020-04-02,28,0
2020-04-03,36,0
2020-04-04,30,0
2020-04-05,44,0
2020-04-06,49,0
2020-04-07,50,0
2020-04-08,54,0
2020-04-09,45,0
2020-04-10,57,0
2020-04-11,56,0
2020-04-12,70,0
2020-04-13,51,0
2020-04-14,63,0
2020-04-15,65,0
2020-04-16,77,0
2020-04-17,79,0
2020-04-18,86,0
2020-04-19,95,0
2020-04-20,104,0
2020-04-21,101,0
2020-04-22,122,0
2020-04-23,108,0
2020-04-24,120,0
2020-04-25,135,0
2020-04-26,115,0
2020-04-27,173,0
2020-04-28,141,0
2020-04-29,137,0
2020-04-30,149,0
2020-05-01,195,0
2020-05-02,216,0
2020-05-03,228,0
2020-05-04,265,0
2020-05-05,255,0
2020-05-06,267,0
2020-05-07,246,0
2020-05-08,246,0
2020-05-09,246,0
2020-05-10,261,0
2020-05-11,312,0
2020-05-12,334,0
2020-05-13,353,0
2020-05-14,472,1
2020-05-15,503,1
2020-05-16,518,0
2020-05-17,486,1
2020-05-18,501,0
2020-05-19,498,1
2020-05-20,541,1
2020-05-21,494,1
2020-05-22,693,1
2020-05-23,739,1
2020-05-24,822,1
2020-05-25,859,1
2020-05-26,828,1
2020-05-27,834,2
2020-05-28,940,2
2020-05-29,923,1
2020-05-30,1094,2
2020-05-31,1093,2
2020-06-01,1223,2
2020-06-02,1458,3
2020-06-03,1090,2
2020-06-04,1168,2
2020-06-05,1548,3
2020-06-06,1930,3
2020-06-07,1973,4
2020-06-08,2001,4
2020-06-09,1713,2
2020-06-10,1902,3
2020-06-11,1873,3
2020-06-12,2708,6
2020-06-13,2816,5
2020-06-14,2716,5
2020-06-15,3211,7
2020-06-16,3455,6
2020-06-17,2626,4
2020-06-18,3461,6
2020-06-19,3555,7
2020-06-20,3919,6
2020-06-21,3600,8
2020-06-22,3816,7
2020-06-23,4958,9
2020-06-24,3957,9
2020-06-25,4516,10
2020-06-26,5085,10
2020-06-27,5223,10
2020-06-28,6390,12
2020-06-29,7519,14
2020-06-30,6887,13
2020-07-01,7719,16
2020-07-02,8154,14
2020-07-03,9330,22
2020-07-04,10048,25
2020-07-05,9325,16
2020-07-06,8671,19
2020-07-07,8821,19
2020-07-08,13162,22
2020-07-09,9882,19
2020-07-10,11256,20
2020-07-11,12977,26
2020-07-12,14856,27
2020-07-13,13907,31
2020-07-14,17135,42
2020-07-15,15821,35
2020-07-16,17369,36
2020-07-17,19741,49
2020-07-18,19885,42
2020-07-19,21482,54
2020-07-20,21482,50
2020-07-21,21482,45
2020-07-22,21208,52
2020-07-23,21482,53
2020-07-24,21482,45
2020-07-25,21482,49
2020-07-26,21482,37
2020-07-27,21482,39
2020-07-28,21482,37
2020-07-29,21482,45
2020-07-30,21482,50
2020-07-31,21482,45
2020-08-01,21482,48
2020-08-02,21482,53
2020-08-03,21482,51
2020-08-04,21482,37
2020-08-05,21482,37
2020-08-06,21482,46
2020-08-07,21482,40
2020-08-08,21482,37
2020-08-09,21482,50
2020-08-10,21482,39
2020-08-11,21482,47
2020-08-12,21482,51
2020-08-13,21482,50
2020-08-14,21482,50
2020-08-15,21482,37
2020-08-16,21482,43
2020-08-17,21482,39
2020-08-18,21482,51
2020-08-19,21482,41
