date,cases,deaths
2020-01-22,158,0
2020-01-23,200,0
2020-01-24,228,0
2020-01-25,61,0
2020-01-26,253,0
2020-01-27,156,0
2020-01-28,169,0
2020-01-29,123,0
2020-01-30,43,0
2020-01-31,166,0
2020-02-01,184,0
2020-02-02,171,0
2020-02-03,58,0
2020-02-04,107,0
2020-02-05,7,0
2020-02-06,143,0
2020-02-07,23,0
2020-02-08,169,0
2020-02-09,230,0
2020-02-10,238,0
2020-02-11,105,0
2020-02-12,223,0
2020-02-13,135,0
2020-02-14,246,0
2020-02-15,20,0
2020-02-16,105,0
2020-02-17,128,0
2020-02-18,194,0
2020-02-19,207,0
2020-02-20,192,0
2020-02-21,133,0
2020-02-22,35,0
2020-02-23,238,0
2020-02-24,164,0
2020-02-25,71,0
2020-02-26,238,0
2020-02-27,192,0
2020-02-28,212,0
2020-02-29,148,0
2020-03-01,225,0
2020-03-02,130,0
2020-03-03,182,0
2020-03-04,220,0
2020-03-05,115,0
2020-03-06,41,0
2020-03-07,61,0
2020-03-08,92,0
2020-03-09,176,0
2020-03-10,12,0
2020-03-11,205,0
2020-03-12,233,0
2020-03-13,25,0
2020-03-14,197,0
2020-03-15,148,0
2020-03-16,120,0
2020-03-17,130,0
2020-03-18,28,0
2020-03-19,212,0
2020-03-20,174,0
2020-03-21,7,0
2020-03-22,169,0
2020-03-23,97,0
2020-03-24,194,0
2020-03-25,192,0
2020-03-26,161,0
2020-03-27,120,0
2020-03-28,64,0
2020-03-29,179,0
2020-03-30,230,0
2020-03-31,197,0
2020-04-01,292,0
2020-04-02,287,0
2020-04-03,279,0
2020-04-04,348,0
2020-04-05,353,0
2020-04-06,284,0
2020-04-07,353,0
2020-04-08,405,0
2020-04-09,476,0
2020-04-10,371,0
2020-04-11,505,0
2020-04-12,515,0
2020-04-13,628,0
2020-04-14,476,0
2020-04-15,492,0
2020-04-16,530,0
2020-04-17,702,0
2020-04-18,653,0
2020-04-19,812,0
2020-04-20,938,0
2020-04-21,756,0
2020-04-22,869,1
2020-04-23,835,0
2020-04-24,1200,1
2020-04-25,1143,1
2020-04-26,1259,1
2020-04-27,1333,1
2020-04-28,1400,1
2020-04-29,1164,1
2020-04-30,1515,1
2020-05-01,1377,1
2020-05-02,1371,1
2020-05-03,1810,2
2020-05-04,2059,2
2020-05-05,2107,2
2020-05-06,2141,2
2020-05-07,1846,1
2020-05-08,2046,2
2020-05-09,2210,2
2020-05-10,2887,4
2020-05-11,3013,3
2020-05-12,3548,4
2020-05-13,3518,3
2020-05-14,3931,4
2020-05-15,3102,3
2020-05-16,3259,3
2020-05-17,4325,4
2020-05-18,4197,4
2020-05-19,5259,7
2020-05-20,4646,4
2020-05-21,5220,5
2020-05-22,5105,7
2020-05-23,6879,6
2020-05-24,6536,8
2020-05-25,5746,8
2020-05-26,7523,8
2020-05-27,8767,9
2020-05-28,7415,8
2020-05-29,6964,7
2020-05-30,9572,14
2020-05-31,9175,11
2020-06-01,10646,15
2020-06-02,8695,9
2020-06-03,12829,17
2020-06-04,11249,16
2020-06-05,10593,12
2020-06-06,13693,15
2020-06-07,16742,22
2020-06-08,15960,16
2020-06-09,15739,16
2020-06-10,15026,17
2020-06-11,16814,16
2020-06-12,17139,24
2020-06-13,18873,21
2020-06-14,23822,25
2020-06-15,24429,29
2020-06-16,25863,38
2020-06-17,23258,24
2020-06-18,31999,35
2020-06-19,23914,28
2020-06-20,31917,39
2020-06-21,30343,44
2020-06-22,35489,45
2020-06-23,31243,43
2020-06-24,46105,56
2020-06-25,41590,54
2020-06-26,50795,74
2020-06-27,49167,50
2020-06-28,49516,62
2020-06-29,55757,73
2020-06-30,55052,66
2020-07-01,60450,84
2020-07-02,52670,78
2020-07-03,74066,75
2020-07-04,84824,94
2020-07-05,83093,90
2020-07-06,87703,120
2020-07-07,88301,120
2020-07-08,79023,114
2020-07-09,91693,132
2020-07-10,116218,144
2020-07-11,100738,131
2020-07-12,99458,119
2020-07-13,145618,167
2020-07-14,150795,201
2020-07-15,165094,233
2020-07-16,147785,161
2020-07-17,133201,175
2020-07-18,152911,160
2020-07-19,167925,190
2020-07-20,174269,243
2020-07-21,177110,244
2020-07-22,179500,239
2020-07-23,179500,205
2020-07-24,179500,217
2020-07-25,179500,253
2020-07-26,179500,245
2020-07-27,179500,254
2020-07-28,179500,197
2020-07-29,179500,202
2020-07-30,179500,184
2020-07-31,179500,246
2020-08-01,179500,232
2020-08-02,179500,238
2020-08-03,179500,226
2020-08-04,179500,195
2020-08-05,179500,229
2020-08-06,179500,260
2020-08-07,179500,210
2020-08-08,179500,250
2020-08-09,179500,182
2020-08-10,179500,226
2020-08-11,179500,228
2020-08-12,179500,257
2020-08-13,179500,268
2020-08-14,179500,220
2020-08-15,179500,183
2020-08-16,179500,205
2020-08-17,179500,227
2020-08-18,179500,256
2020-08-19,179500,255
2020-08-20,179500,210
2020-08-21,179500,182
2020-08-22,179500,209
2020-08-23,179500,255
2020-08-24,179500,212
2020-08-25,179500,235
2020-08-26,179500,222
2020-08-27,179500,187
2020-08-28,179500,269
2020-08-29,179500,251
2020-08-30,179500,270
2020-08-31,179500,265
2020-09-01,231242,344
2020-09-02,210758,288
2020-09-03,202927,264
2020-09-04,242145,305
2020-09-05,215736,254
2020-09-06,228370,295
2020-09-07,208376,314
2020-09-08,237142,248
2020-09-09,216502,226
2020-09-10,235093,315
2020-09-11,243217,295
2020-09-12,231534,278
2020-09-13,216090,218
2020-09-14,203014,302
2020-09-15,207709,268
2020-09-16,215187,277
2020-09-17,201558,215
2020-09-18,220503,255
2020-09-19,230883,259
2020-09-20,196611,276
2020-09-21,238525,333
2020-09-22,194903,240
2020-09-23,237368,346
2020-09-24,214061,221
2020-09-25,204435,240
2020-09-26,231162,254
2020-09-27,224434,263
2020-09-28,207127,254
2020-09-29,216072,296
2020-09-30,197527,224
2020-10-01,130622,144
2020-10-02,125001,132
2020-10-03,146931,187
2020-10-04,128842,155
2020-10-05,157462,177
2020-10-06,148697,150
2020-10-07,165150,218
2020-10-08,133745,140
2020-10-09,168714,202
2020-10-10,166950,234
2020-10-11,156544,194
2020-10-12,125303,155
2020-10-13,176753,219
2020-10-14,129235,140
2020-10-15,182361,241
2020-10-16,174253,223
2020-10-17,158103,201
2020-10-18,148064,214
2020-10-19,153016,189
2020-10-20,138048,193
2020-10-21,159814,169
2020-10-22,173474,210
2020-10-23,127740,149
2020-10-24,164055,177
2020-10-25,127065,189
2020-10-26,133107,182
2020-10-27,167727,235
2020-10-28,123534,140
2020-10-29,140292,178
2020-10-30,160227,187
2020-10-31,176871,193
2020-11-01,102504,137
2020-11-02,134791,173
2020-11-03,127388,187
2020-11-04,129853,148
2020-11-05,119403,128
2020-11-06,106312,118
2020-11-07,124462,166
2020-11-08,118395,126
2020-11-09,131089,177
2020-11-10,96622,145
2020-11-11,109872,119
2020-11-12,97781,108
2020-11-13,107787,141
2020-11-14,122311,140
2020-11-15,100527,109
2020-11-16,97222,106
2020-11-17,130863,155
2020-11-18,125586,172
2020-11-19,108646,130
2020-11-20,101468,113
2020-11-21,112087,165
2020-11-22,118582,137
2020-11-23,127514,138
2020-11-24,94732,110
2020-11-25,129222,174
2020-11-26,102238,141
2020-11-27,114177,134
2020-11-28,111428,117
2020-11-29,126657,137
2020-11-30,112085,161
2020-12-01,89360,109
2020-12-02,95386,134
2020-12-03,90265,112
2020-12-04,77200,100
2020-12-05,87998,103
2020-12-06,79885,90
2020-12-07,97094,103
2020-12-08,83726,96
2020-12-09,96724,130
2020-12-10,80854,109
2020-12-11,96522,136
2020-12-12,88093,89
2020-12-13,96637,142
2020-12-14,68863,73
2020-12-15,73495,82
2020-12-16,85672,110
2020-12-17,86762,89
2020-12-18,79323,93
2020-12-19,99997,121
2020-12-20,87452,106
2020-12-21,66909,94
2020-12-22,69276,72
2020-12-23,87947,103
2020-12-24,97481,118
2020-12-25,76026,81
2020-12-26,66943,75
2020-12-27,74913,89
2020-12-28,86698,91
2020-12-29,69366,91
2020-12-30,99881,115
2020-12-31,74310,98
2021-01-01,24514,36
2021-01-02,45175,46
2021-01-03,29179,35
2021-01-04,37384,54
2021-01-05,21922,28
2021-01-06,45844,67
2021-01-07,33261,49
2021-01-08,31609,43
2021-01-09,34628,44
2021-01-10,44213,54
2021-01-11,33897,50
2021-01-12,43351,46
2021-01-13,22611,32
2021-01-14,32068,39
2021-01-15,38577,56
2021-01-16,39454,44
2021-01-17,43108,58
2021-01-18,25071,31
2021-01-19,39007,45
2021-01-20,43062,51
2021-01-21,43162,48
2021-01-22,38207,55
2021-01-23,42564,50
2021-01-24,33784,36
2021-01-25,44000,65
2021-01-26,35997,49
2021-01-27,34787,46
2021-01-28,24447,26
2021-01-29,43959,52
2021-01-30,35607,51
2021-01-31,39336,50
2021-02-01,42421,58
2021-02-02,27419,31
2021-02-03,38797,45
2021-02-04,24032,26
2021-02-05,23863,27
2021-02-06,26514,33
2021-02-07,44798,63
2021-02-08,29853,40
2021-02-09,21340,26
2021-02-10,41164,44
2021-02-11,44377,50
2021-02-12,38100,42
2021-02-13,35838,52
2021-02-14,25781,33
2021-02-15,25965,38
2021-02-16,20555,21
2021-02-17,44218,63
