date,cases,deaths
2020-01-22,8,0
2020-01-23,34,0
2020-01-24,22,0
2020-01-25,57,0
2020-01-26,29,0
2020-01-27,76,0
2020-01-28,87,0
2020-01-29,76,0
2020-01-30,87,0
2020-01-31,28,0
2020-02-01,35,0
2020-02-02,103,0
2020-02-03,39,0
2020-02-04,66,0
2020-02-05,42,0
2020-02-06,98,0
2020-02-07,103,0
2020-02-08,63,0
2020-02-09,75,0
2020-02-10,53,0
2020-02-11,66,0
2020-02-12,41,0
2020-02-13,35,0
2020-02-14,77,0
2020-02-15,85,0
2020-02-16,65,0
2020-02-17,12,0
2020-02-18,25,0
2020-02-19,19,0
2020-02-20,47,0
2020-02-21,72,0
2020-02-22,73,0
2020-02-23,65,0
2020-02-24,58,0
2020-02-25,8,0
2020-02-26,44,0
2020-02-27,63,0
2020-02-28,76,0
2020-02-29,32,0
2020-03-01,28,0
2020-03-02,23,0
2020-03-03,101,0
2020-03-04,93,0
2020-03-05,19,0
2020-03-06,98,0
2020-03-07,94,0
2020-03-08,9,0
2020-03-09,33,0
2020-03-10,34,0
2020-03-11,83,0
2020-03-12,43,0
2020-03-13,98,0
2020-03-14,14,0
2020-03-15,60,0
2020-03-16,76,0
2020-03-17,71,0
2020-03-18,68,0
2020-03-19,75,0
2020-03-20,68,0
2020-03-21,15,0
2020-03-22,16,0
2020-03-23,77,0
2020-03-24,17,0
2020-03-25,29,0
2020-03-26,103,0
2020-03-27,39,0
2020-03-28,8,0
2020-03-29,51,0
2020-03-30,65,0
2020-03-31,82,0
2020-04-01,90,0
2020-04-02,96,0
2020-04-03,112,0
2020-04-04,140,0
2020-04-05,140,0
2020-04-06,123,0
2020-04-07,176,0
2020-04-08,186,0
2020-04-09,160,0
2020-04-10,161,0
2020-04-11,161,0
2020-04-12,228,0
2020-04-13,197,0
2020-04-14,222,0
2020-04-15,234,0
2020-04-16,251,0
2020-04-17,286,1
2020-04-18,326,0
2020-04-19,258,0
2020-04-20,371,1
2020-04-21,293,1
2020-04-22,373,1
2020-04-23,450,1
2020-04-24,490,2
2020-04-25,402,1
2020-04-26,528,2
2020-04-27,574,1
2020-04-28,577,2
2020-04-29,519,2
2020-04-30,625,2
2020-05-01,577,2
2020-05-02,583,2
2020-05-03,650,3
2020-05-04,609,2
2020-05-05,646,2
2020-05-06,879,3
2020-05-07,1059,4
2020-05-08,813,3
2020-05-09,1001,5
2020-05-10,1252,5
2020-05-11,1153,4
2020-05-12,1418,5
2020-05-13,1247,4
2020-05-14,1468,6
2020-05-15,1393,4
2020-05-16,1644,5
2020-05-17,1901,7
2020-05-18,1926,7
2020-05-19,1834,6
2020-05-20,2081,10
2020-05-21,1924,8
2020-05-22,2297,9
2020-05-23,2172,7
2020-05-24,2596,8
2020-05-25,2576,8
2020-05-26,3193,14
2020-05-27,2598,10
2020-05-28,3296,12
2020-05-29,3700,12
2020-05-30,4109,20
2020-05-31,4349,15
2020-06-01,3520,13
2020-06-02,4100,19
2020-06-03,5000,19
2020-06-04,4812,17
2020-06-05,5067,19
2020-06-06,5124,20
2020-06-07,5740,28
2020-06-08,6667,26
2020-06-09,5689,24
2020-06-10,6230,22
2020-06-11,7977,39
2020-06-12,6679,29
2020-06-13,8788,35
2020-06-14,10458,38
2020-06-15,9205,36
2020-06-16,9843,34
2020-06-17,11204,51
2020-06-18,11980,56
2020-06-19,10312,50
2020-06-20,11758,42
2020-06-21,13203,56
2020-06-22,15283,61
2020-06-23,16825,65
2020-06-24,13606,64
2020-06-25,15048,52
2020-06-26,15638,66
2020-06-27,16872,78
2020-06-28,17548,70
2020-06-29,24851,98
2020-06-30,23690,115
2020-07-01,29227,124
2020-07-02,30473,105
2020-07-03,26524,105
2020-07-04,26451,103
2020-07-05,27558,104
