date,cases,deaths
2020-01-22,91,0
2020-01-23,14,0
2020-01-24,14,0
2020-01-25,36,0
2020-01-26,45,0
2020-01-27,93,0
2020-01-28,89,0
2020-01-29,25,0
2020-01-30,30,0
2020-01-31,86,0
2020-02-01,63,0
2020-02-02,33,0
2020-02-03,90,0
2020-02-04,25,0
2020-02-05,3,0
2020-02-06,31,0
2020-02-07,54,0
2020-02-08,6,0
2020-02-09,51,0
2020-02-10,8,0
2020-02-11,90,0
2020-02-12,87,0
2020-02-13,55,0
2020-02-14,69,0
2020-02-15,17,0
2020-02-16,11,0
2020-02-17,56,0
2020-02-18,94,0
2020-02-19,34,0
2020-02-20,48,0
2020-02-21,51,0
2020-02-22,10,0
2020-02-23,33,0
2020-02-24,20,0
2020-02-25,48,0
2020-02-26,23,0
2020-02-27,50,0
2020-02-28,75,0
2020-02-29,1,0
2020-03-01,61,0
2020-03-02,30,0
2020-03-03,90,0
2020-03-04,72,0
2020-03-05,57,0
2020-03-06,24,0
2020-03-07,89,0
2020-03-08,56,0
2020-03-09,62,0
2020-03-10,37,0
2020-03-11,56,0
2020-03-12,10,0
2020-03-13,61,0
2020-03-14,28,0
2020-03-15,98,0
2020-03-16,86,0
2020-03-17,93,0
2020-03-18,94,0
2020-03-19,33,0
2020-03-20,88,0
2020-03-21,38,0
2020-03-22,81,0
2020-03-23,28,0
2020-03-24,3,0
2020-03-25,6,0
2020-03-26,95,0
2020-03-27,67,0
2020-03-28,86,0
2020-03-29,38,0
2020-03-30,6,0
2020-03-31,1,0
2020-04-01,84,0
2020-04-02,126,0
2020-04-03,99,0
2020-04-04,115,0
2020-04-05,135,0
2020-04-06,116,0
2020-04-07,119,0
2020-04-08,176,0
2020-04-09,139,0
2020-04-10,197,0
2020-04-11,155,0
2020-04-12,171,0
2020-04-13,193,0
2020-04-14,244,0
2020-04-15,206,0
2020-04-16,269,1
2020-04-17,208,0
2020-04-18,239,0
2020-04-19,328,1
2020-04-20,347,1
2020-04-21,295,1
2020-04-22,413,1
2020-04-23,446,2
2020-04-24,426,2
2020-04-25,470,2
2020-04-26,511,2
2020-04-27,412,1
2020-04-28,590,2
2020-04-29,517,2
2020-04-30,495,2
2020-05-01,646,2
2020-05-02,515,2
2020-05-03,810,3
2020-05-04,821,4
2020-05-05,716,3
2020-05-06,940,4
2020-05-07,963,4
2020-05-08,746,3
2020-05-09,1018,3
2020-05-10,953,4
2020-05-11,1301,5
2020-05-12,1233,6
2020-05-13,1401,6
2020-05-14,1289,4
2020-05-15,1538,6
2020-05-16,1735,7
2020-05-17,1568,6
2020-05-18,1757,6
2020-05-19,2001,7
2020-05-20,2225,8
2020-05-21,2232,8
2020-05-22,2255,10
2020-05-23,2563,11
2020-05-24,2529,12
2020-05-25,2680,10
2020-05-26,2391,12
2020-05-27,2365,9
2020-05-28,3133,17
2020-05-29,3812,18
2020-05-30,3478,18
2020-05-31,3577,16
2020-06-01,4480,20
2020-06-02,3922,16
2020-06-03,5067,19
2020-06-04,4165,19
2020-06-05,4110,18
2020-06-06,5931,29
2020-06-07,5934,22
2020-06-08,6432,28
2020-06-09,6084,31
2020-06-10,6989,36
2020-06-11,8176,34
2020-06-12,8151,34
2020-06-13,7418,34
2020-06-14,8129,33
2020-06-15,7808,33
2020-06-16,7768,29
2020-06-17,11424,52
2020-06-18,9798,46
2020-06-19,11626,58
2020-06-20,14511,66
2020-06-21,15263,71
2020-06-22,11772,50
2020-06-23,16812,78
2020-06-24,16218,67
2020-06-25,14163,62
2020-06-26,14429,64
2020-06-27,15601,76
2020-06-28,17192,83
2020-06-29,24799,115
2020-06-30,21974,95
2020-07-01,20780,103
2020-07-02,23558,113
2020-07-03,23246,92
2020-07-04,27676,134
2020-07-05,27409,106
2020-07-06,28237,115
2020-07-07,38011,182
2020-07-08,39785,163
2020-07-09,44370,226
2020-07-10,33939,168
2020-07-11,45927,240
2020-07-12,48551,213
2020-07-13,50485,273
2020-07-14,54434,239
2020-07-15,63228,300
2020-07-16,53758,197
2020-07-17,63563,347
2020-07-18,67090,349
2020-07-19,61398,259
2020-07-20,69855,307
2020-07-21,69855,295
2020-07-22,66783,274
2020-07-23,69855,267
2020-07-24,69855,334
2020-07-25,69855,261
2020-07-26,69855,357
2020-07-27,69855,318
2020-07-28,69855,358
2020-07-29,69855,369
2020-07-30,69855,288
2020-07-31,69855,335
2020-08-01,69855,276
2020-08-02,69855,266
2020-08-03,69855,299
2020-08-04,69855,376
2020-08-05,69855,319
2020-08-06,69855,377
2020-08-07,69855,373
2020-08-08,69855,343
2020-08-09,69855,265
2020-08-10,69855,305
2020-08-11,69855,315
2020-08-12,69855,272
2020-08-13,69855,269
2020-08-14,69855,334
2020-08-15,69855,303
2020-08-16,69855,277
2020-08-17,69855,304
2020-08-18,69855,364
2020-08-19,69855,383
2020-08-20,69855,320
2020-08-21,69855,365
2020-08-22,69855,264
2020-08-23,69855,364
2020-08-24,69855,343
2020-08-25,69855,342
2020-08-26,69855,339
2020-08-27,69855,375
2020-08-28,69855,356
2020-08-29,69855,336
2020-08-30,69855,364
2020-08-31,69855,284
2020-09-01,87371,404
2020-09-02,87153,399
2020-09-03,91737,427
2020-09-04,87049,441
2020-09-05,91232,457
2020-09-06,92756,491
2020-09-07,91459,460
2020-09-08,88166,470
2020-09-09,82547,423
2020-09-10,91258,408
2020-09-11,76672,387
2020-09-12,85498,417
2020-09-13,86544,387
2020-09-14,83083,454
2020-09-15,76971,410
2020-09-16,78470,338
2020-09-17,91953,339
2020-09-18,89481,351
2020-09-19,75182,346
2020-09-20,85289,392
2020-09-21,89552,464
2020-09-22,84459,431
2020-09-23,88991,384
2020-09-24,87288,378
2020-09-25,76928,401
2020-09-26,90584,418
2020-09-27,77207,360
2020-09-28,83592,417
2020-09-29,94143,358
2020-09-30,88377,480
2020-10-01,69372,319
2020-10-02,58051,287
2020-10-03,48272,227
2020-10-04,53858,274
2020-10-05,63715,300
2020-10-06,67280,334
2020-10-07,70870,351
2020-10-08,50914,226
2020-10-09,49555,234
2020-10-10,50170,229
2020-10-11,69180,362
2020-10-12,59429,295
2020-10-13,52217,265
2020-10-14,63208,322
2020-10-15,60783,244
2020-10-16,69312,270
2020-10-17,59813,315
2020-10-18,62623,285
2020-10-19,54641,277
2020-10-20,60342,297
2020-10-21,60246,288
2020-10-22,67088,290
2020-10-23,70612,350
2020-10-24,54012,246
2020-10-25,63693,261
2020-10-26,61209,251
2020-10-27,48714,190
2020-10-28,60924,310
2020-10-29,65190,245
2020-10-30,68599,349
2020-10-31,65359,315
2020-11-01,50769,275
2020-11-02,40815,172
2020-11-03,37631,192
2020-11-04,49260,269
2020-11-05,41104,165
2020-11-06,52499,284
2020-11-07,51872,247
2020-11-08,50549,238
2020-11-09,49758,258
2020-11-10,40477,167
2020-11-11,47555,203
2020-11-12,37760,175
2020-11-13,39851,204
2020-11-14,39366,162
2020-11-15,43403,217
2020-11-16,51730,243
2020-11-17,52430,240
2020-11-18,47189,211
2020-11-19,47527,257
2020-11-20,36416,196
2020-11-21,45214,222
2020-11-22,51246,231
2020-11-23,44245,229
2020-11-24,45168,193
2020-11-25,46772,220
2020-11-26,35281,180
2020-11-27,44796,217
2020-11-28,42685,185
2020-11-29,35100,132
2020-11-30,45802,212
2020-12-01,32340,143
2020-12-02,32560,152
2020-12-03,31853,128
2020-12-04,29397,113
2020-12-05,26530,110
2020-12-06,35235,178
2020-12-07,29421,145
2020-12-08,26645,122
2020-12-09,38945,166
2020-12-10,32596,162
2020-12-11,28038,136
2020-12-12,31188,132
2020-12-13,33418,131
2020-12-14,37893,146
2020-12-15,37850,159
2020-12-16,27531,103
2020-12-17,33474,175
2020-12-18,28807,131
2020-12-19,28770,127
2020-12-20,33225,143
2020-12-21,30526,113
2020-12-22,33556,140
2020-12-23,27426,129
2020-12-24,32369,147
2020-12-25,31732,162
2020-12-26,33933,171
2020-12-27,32982,150
2020-12-28,27622,120
2020-12-29,33782,127
2020-12-30,38230,147
2020-12-31,31497,157
2021-01-01,16662,69
