date,cases,deaths
2020-01-22,7,0
2020-01-23,52,0
2020-01-24,60,0
2020-01-25,61,0
2020-01-26,57,0
2020-01-27,20,0
2020-01-28,70,0
2020-01-29,69,0
2020-01-30,14,0
2020-01-31,9,0
2020-02-01,14,0
2020-02-02,20,0
2020-02-03,13,0
2020-02-04,57,0
2020-02-05,60,0
2020-02-06,60,0
2020-02-07,71,0
2020-02-08,22,0
2020-02-09,19,0
2020-02-10,50,0
2020-02-11,54,0
2020-02-12,34,0
2020-02-13,32,0
2020-02-14,49,0
2020-02-15,75,0
2020-02-16,68,0
2020-02-17,37,0
2020-02-18,82,0
2020-02-19,52,0
2020-02-20,49,0
2020-02-21,34,0
2020-02-22,71,0
2020-02-23,60,0
2020-02-24,67,0
2020-02-25,32,0
2020-02-26,86,0
2020-02-27,39,0
2020-02-28,37,0
2020-02-29,6,0
2020-03-01,65,0
2020-03-02,0,0
2020-03-03,3,0
2020-03-04,84,0
2020-03-05,1,0
2020-03-06,27,0
2020-03-07,22,0
2020-03-08,24,0
2020-03-09,18,0
2020-03-10,36,0
2020-03-11,49,0
2020-03-12,40,0
2020-03-13,66,0
2020-03-14,83,0
2020-03-15,74,0
2020-03-16,48,0
2020-03-17,77,0
2020-03-18,1,0
2020-03-19,3,0
2020-03-20,9,0
2020-03-21,6,0
2020-03-22,85,0
2020-03-23,48,0
2020-03-24,77,0
2020-03-25,62,0
2020-03-26,50,0
2020-03-27,74,0
2020-03-28,32,0
2020-03-29,24,0
2020-03-30,66,0
2020-03-31,15,0
2020-04-01,74,0
2020-04-02,77,0
2020-04-03,96,0
2020-04-04,84,0
2020-04-05,100,0
2020-04-06,116,0
2020-04-07,121,0
2020-04-08,149,0
2020-04-09,123,0
2020-04-10,165,0
2020-04-11,137,0
2020-04-12,176,0
2020-04-13,202,0
2020-04-14,187,0
2020-04-15,187,0
2020-04-16,183,0
2020-04-17,211,0
2020-04-18,288,0
2020-04-19,209,0
2020-04-20,238,0
2020-04-21,322,0
2020-04-22,338,0
2020-04-23,295,0
2020-04-24,384,0
2020-04-25,295,0
2020-04-26,414,0
2020-04-27,384,0
2020-04-28,357,0
2020-04-29,487,0
2020-04-30,556,1
2020-05-01,581,1
2020-05-02,480,1
2020-05-03,476,1
2020-05-04,537,1
2020-05-05,699,1
2020-05-06,746,1
2020-05-07,859,1
2020-05-08,765,1
2020-05-09,704,1
2020-05-10,843,1
2020-05-11,1021,2
2020-05-12,1058,2
2020-05-13,1068,2
2020-05-14,1364,3
2020-05-15,1393,3
2020-05-16,1303,2
2020-05-17,1381,2
2020-05-18,1383,3
2020-05-19,1668,3
2020-05-20,1455,3
2020-05-21,2037,4
2020-05-22,1630,3
2020-05-23,2236,5
2020-05-24,2118,4
2020-05-25,2326,5
2020-05-26,2432,5
2020-05-27,2520,4
2020-05-28,2957,6
2020-05-29,2993,7
2020-05-30,2635,5
2020-05-31,2928,6
2020-06-01,3443,6
2020-06-02,3906,6
2020-06-03,3696,6
2020-06-04,3398,7
2020-06-05,4660,8
2020-06-06,4843,9
2020-06-07,5394,10
2020-06-08,6061,10
2020-06-09,4586,10
2020-06-10,5059,11
2020-06-11,5632,10
2020-06-12,7676,16
2020-06-13,7099,16
2020-06-14,8313,20
2020-06-15,8931,22
2020-06-16,9010,22
2020-06-17,8280,21
2020-06-18,10036,20
2020-06-19,8338,15
2020-06-20,10786,22
2020-06-21,12358,22
2020-06-22,11017,28
2020-06-23,14804,34
2020-06-24,13581,26
2020-06-25,13362,29
2020-06-26,13981,29
2020-06-27,14960,35
2020-06-28,19691,46
2020-06-29,18605,38
2020-06-30,22339,50
2020-07-01,17147,42
2020-07-02,24534,64
2020-07-03,23932,47
2020-07-04,25511,64
2020-07-05,23074,52
2020-07-06,29736,58
2020-07-07,31725,66
2020-07-08,25734,64
2020-07-09,38921,73
2020-07-10,29117,73
2020-07-11,40017,83
2020-07-12,46586,107
2020-07-13,36487,87
2020-07-14,44274,103
2020-07-15,47675,104
2020-07-16,40796,73
2020-07-17,53290,131
2020-07-18,58972,128
2020-07-19,60984,130
2020-07-20,56731,116
2020-07-21,60984,115
2020-07-22,60984,115
2020-07-23,60984,152
2020-07-24,60984,128
2020-07-25,60984,110
2020-07-26,60984,126
2020-07-27,60984,125
2020-07-28,60984,157
2020-07-29,60984,110
2020-07-30,60984,115
2020-07-31,60984,132
2020-08-01,60984,108
2020-08-02,60984,121
2020-08-03,60984,116
2020-08-04,60984,143
2020-08-05,60984,160
2020-08-06,60984,138
2020-08-07,60984,161
2020-08-08,60984,115
2020-08-09,60984,117
2020-08-10,60984,109
2020-08-11,60984,130
2020-08-12,60984,109
2020-08-13,60984,116
2020-08-14,60984,136
2020-08-15,60984,152
2020-08-16,60984,150
2020-08-17,60984,145
2020-08-18,60984,155
2020-08-19,60984,123
2020-08-20,60984,132
2020-08-21,60984,150
2020-08-22,60984,138
2020-08-23,60984,116
2020-08-24,60984,119
2020-08-25,60984,160
2020-08-26,60984,153
2020-08-27,60984,124
2020-08-28,60984,145
2020-08-29,60984,130
2020-08-30,60984,126
2020-08-31,60984,158
2020-09-01,76573,183
2020-09-02,71784,173
2020-09-03,69975,169
2020-09-04,67240,126
2020-09-05,72317,176
2020-09-06,65989,152
2020-09-07,81660,150
2020-09-08,71628,147
2020-09-09,67447,167
2020-09-10,77326,169
2020-09-11,72825,157
2020-09-12,70300,143
2020-09-13,76629,196
2020-09-14,81355,176
2020-09-15,71202,141
2020-09-16,76234,194
2020-09-17,69768,132
2020-09-18,75984,179
2020-09-19,66591,136
2020-09-20,70265,144
2020-09-21,67743,149
2020-09-22,72443,170
2020-09-23,78637,189
2020-09-24,74380,196
2020-09-25,67048,130
2020-09-26,78621,164
2020-09-27,70656,141
2020-09-28,74503,173
2020-09-29,71882,143
2020-09-30,66763,132
2020-10-01,60974,158
2020-10-02,57073,142
2020-10-03,46087,94
2020-10-04,47568,113
2020-10-05,43855,107
2020-10-06,43947,114
2020-10-07,55124,141
2020-10-08,58074,146
2020-10-09,43992,111
2020-10-10,61883,135
2020-10-11,58019,108
2020-10-12,49558,128
2020-10-13,59677,141
2020-10-14,46246,110
2020-10-15,41887,108
2020-10-16,48482,124
2020-10-17,55855,147
2020-10-18,50620,98
2020-10-19,59392,148
2020-10-20,60724,119
2020-10-21,49426,92
2020-10-22,44969,110
2020-10-23,46956,109
2020-10-24,49055,107
2020-10-25,42594,107
2020-10-26,50776,131
2020-10-27,51314,135
2020-10-28,50178,116
2020-10-29,41769,87
2020-10-30,46035,102
2020-10-31,55492,143
2020-11-01,45423,110
2020-11-02,45585,91
2020-11-03,41087,88
2020-11-04,43392,107
2020-11-05,40092,72
2020-11-06,38149,89
2020-11-07,39213,103
2020-11-08,45655,121
2020-11-09,45084,111
2020-11-10,42447,107
2020-11-11,41040,101
2020-11-12,39043,69
2020-11-13,40074,80
2020-11-14,37383,70
2020-11-15,42355,109
2020-11-16,35447,78
2020-11-17,34636,67
2020-11-18,35285,89
2020-11-19,44658,90
2020-11-20,32964,73
2020-11-21,30886,62
2020-11-22,38505,90
2020-11-23,40095,80
2020-11-24,45368,116
2020-11-25,34315,82
2020-11-26,36238,74
2020-11-27,44222,102
2020-11-28,41049,93
2020-11-29,35025,73
2020-11-30,42158,103
2020-12-01,24764,44
2020-12-02,27268,62
2020-12-03,22964,59
2020-12-04,33477,72
2020-12-05,24568,62
2020-12-06,24475,58
2020-12-07,23431,60
2020-12-08,26309,47
2020-12-09,29249,68
2020-12-10,31671,65
2020-12-11,31941,60
2020-12-12,33619,79
2020-12-13,29675,74
2020-12-14,27309,49
2020-12-15,25726,67
2020-12-16,28282,56
2020-12-17,25720,57
2020-12-18,29777,76
2020-12-19,24926,44
2020-12-20,32370,66
2020-12-21,32459,75
2020-12-22,25684,65
2020-12-23,25407,49
2020-12-24,26750,68
2020-12-25,29257,63
2020-12-26,31236,72
2020-12-27,22755,52
2020-12-28,32974,60
2020-12-29,32819,64
2020-12-30,31697,62
2020-12-31,25444,65
2021-01-01,15490,33
2021-01-02,8344,17
2021-01-03,10327,20
2021-01-04,7494,14
2021-01-05,14855,31
2021-01-06,10616,19
2021-01-07,14191,28
2021-01-08,9519,21
2021-01-09,13942,32
2021-01-10,13244,24
2021-01-11,13948,26
2021-01-12,10271,24
2021-01-13,15040,35
2021-01-14,12422,26
2021-01-15,9067,20
2021-01-16,10661,23
2021-01-17,13710,27
2021-01-18,12399,24
2021-01-19,9445,19
2021-01-20,9882,22
2021-01-21,15086,30
2021-01-22,10308,20
2021-01-23,11814,26
2021-01-24,9854,18
2021-01-25,7128,14
2021-01-26,10516,23
2021-01-27,14032,36
2021-01-28,10421,19
2021-01-29,14456,26
2021-01-30,9817,17
2021-01-31,8902,23
2021-02-01,8080,15
2021-02-02,9145,20
2021-02-03,13187,28
2021-02-04,12213,31
2021-02-05,11513,28
2021-02-06,14777,36
2021-02-07,13613,35
2021-02-08,14993,30
2021-02-09,8984,20
2021-02-10,15635,30
2021-02-11,9396,16
2021-02-12,14317,34
2021-02-13,12747,29
2021-02-14,15646,35
2021-02-15,10817,24
2021-02-16,15260,37
2021-02-17,15424,27
2021-02-18,8983,22
2021-02-19,12424,27
2021-02-20,7736,15
2021-02-21,15285,28
2021-02-22,14001,35
2021-02-23,8869,17
2021-02-24,14936,28
2021-02-25,12484,30
2021-02-26,7339,18
2021-02-27,13052,23
2021-02-28,11140,23
2021-03-01,14245,33
2021-03-02,12216,30
2021-03-03,10768,22
2021-03-04,9681,21
2021-03-05,9202,16
2021-03-06,10064,22
2021-03-07,12374,30
2021-03-08,8000,15
2021-03-09,14272,33
2021-03-10,13472,34
2021-03-11,7463,13
2021-03-12,14793,36
2021-03-13,11483,27
2021-03-14,7430,16
2021-03-15,9842,25
2021-03-16,11580,21
2021-03-17,15222,27
2021-03-18,11997,30
2021-03-19,8899,18
2021-03-20,7556,13
2021-03-21,12005,22
2021-03-22,11526,22
2021-03-23,8240,19
2021-03-24,13017,24
2021-03-25,11526,21
2021-03-26,8740,18
2021-03-27,8254,19
2021-03-28,11945,26
2021-03-29,9494,22
2021-03-30,8306,18
2021-03-31,10765,20
2021-04-01,13461,31
2021-04-02,15678,38
2021-04-03,19880,37
2021-04-04,21962,52
2021-04-05,25885,64
2021-04-06,27741,63
2021-04-07,30183,76
2021-04-08,32536,60
2021-04-09,36014,77
2021-04-10,43611,113
2021-04-11,56036,132
2021-04-12,61874,157
2021-04-13,54582,106
2021-04-14,78733,146
2021-04-15,82571,167
2021-04-16,76218,152
2021-04-17,102488,271
2021-04-18,104622,254
2021-04-19,138879,274
2021-04-20,129955,336
2021-04-21,139631,267
2021-04-22,186711,480
2021-04-23,220247,409
2021-04-24,256080,563
2021-04-25,260114,562
2021-04-26,316427,577
2021-04-27,304136,781
2021-04-28,348482,652
2021-04-29,348482,745
2021-04-30,348482,840
2021-05-01,355262,859
2021-05-02,335964,830
2021-05-03,353712,769
2021-05-04,355317,648
2021-05-05,343497,683
2021-05-06,360348,703
2021-05-07,359303,704
2021-05-08,353918,783
2021-05-09,334560,737
2021-05-10,333053,648
2021-05-11,269114,678
2021-05-12,332407,679
2021-05-13,233362,554
2021-05-14,283620,620
2021-05-15,247511,596
2021-05-16,232975,430
2021-05-17,237538,605
2021-05-18,183064,405
2021-05-19,167644,424
2021-05-20,158498,340
2021-05-21,153752,335
2021-05-22,150122,374
2021-05-23,145928,266
2021-05-24,116290,293
2021-05-25,87513,157
2021-05-26,93863,176
2021-05-27,81772,146
2021-05-28,74316,175
2021-05-29,66087,139
2021-05-30,82864,196
2021-05-31,60487,158
2021-06-01,94377,214
2021-06-02,94682,199
2021-06-03,82979,195
2021-06-04,102121,270
2021-06-05,59798,155
2021-06-06,94723,217
2021-06-07,77392,195
2021-06-08,71142,182
2021-06-09,90947,215
2021-06-10,62322,148
2021-06-11,107748,258
2021-06-12,72832,184
2021-06-13,107608,259
2021-06-14,75751,139
2021-06-15,84116,162
2021-06-16,104243,200
2021-06-17,98219,232
2021-06-18,87186,207
2021-06-19,100543,234
2021-06-20,80210,181
2021-06-21,98656,224
2021-06-22,61196,121
2021-06-23,90927,187
2021-06-24,67329,140
2021-06-25,77669,171
2021-06-26,59557,157
2021-06-27,93247,248
2021-06-28,73054,144
2021-06-29,64391,165
2021-06-30,105102,271
2021-07-01,41148,79
2021-07-02,61144,135
2021-07-03,39284,88
2021-07-04,67296,124
2021-07-05,53870,134
2021-07-06,53018,122
2021-07-07,68817,166
2021-07-08,41878,74
2021-07-09,51409,97
2021-07-10,68078,180
2021-07-11,44766,117
2021-07-12,53118,102
2021-07-13,57484,141
2021-07-14,47838,120
2021-07-15,51756,135
2021-07-16,38784,87
2021-07-17,57458,146
2021-07-18,66312,153
2021-07-19,68330,159
2021-07-20,54203,100
2021-07-21,50899,124
2021-07-22,41053,80
2021-07-23,61584,128
2021-07-24,62391,112
2021-07-25,40966,90
2021-07-26,61961,132
2021-07-27,51050,110
2021-07-28,63029,139
2021-07-29,56062,110
2021-07-30,45276,118
2021-07-31,64493,138
2021-08-01,26057,53
2021-08-02,32332,78
2021-08-03,43937,81
2021-08-04,31799,64
2021-08-05,28887,64
2021-08-06,33211,64
2021-08-07,33713,75
2021-08-08,25153,44
2021-08-09,35322,63
2021-08-10,42371,81
2021-08-11,31811,68
2021-08-12,42467,84
2021-08-13,25490,63
2021-08-14,36173,65
2021-08-15,38226,84
2021-08-16,27361,59
2021-08-17,28185,65
2021-08-18,43096,98
2021-08-19,25558,48
2021-08-20,33198,60
2021-08-21,43808,80
2021-08-22,38056,82
2021-08-23,36250,70
2021-08-24,42247,87
2021-08-25,30324,55
2021-08-26,42754,76
2021-08-27,31217,65
2021-08-28,39373,103
2021-08-29,34674,81
2021-08-30,37156,82
2021-08-31,27311,67
2021-09-01,22594,51
2021-09-02,25502,46
2021-09-03,22558,52
2021-09-04,26146,64
2021-09-05,27291,53
2021-09-06,26317,51
2021-09-07,24544,57
2021-09-08,26107,63
2021-09-09,26658,47
2021-09-10,20498,40
2021-09-11,24680,50
2021-09-12,15650,32
2021-09-13,21171,50
2021-09-14,19882,35
2021-09-15,16998,33
2021-09-16,24839,55
2021-09-17,15738,36
2021-09-18,25244,57
2021-09-19,15923,38
2021-09-20,27227,72
2021-09-21,18734,40
2021-09-22,23538,43
2021-09-23,20765,51
2021-09-24,19187,35
2021-09-25,17594,32
2021-09-26,24337,60
2021-09-27,20570,38
2021-09-28,21777,39
2021-09-29,15792,41
2021-09-30,18338,35
2021-10-01,14727,35
2021-10-02,11755,26
2021-10-03,13885,24
2021-10-04,15639,39
2021-10-05,14298,37
2021-10-06,16232,35
2021-10-07,12986,26
2021-10-08,12495,28
2021-10-09,14256,25
2021-10-10,17781,39
2021-10-11,11760,27
2021-10-12,12500,29
2021-10-13,16300,33
2021-10-14,11893,23
2021-10-15,11451,21
2021-10-16,13569,28
2021-10-17,9884,20
2021-10-18,11572,29
2021-10-19,15333,34
2021-10-20,10992,24
2021-10-21,10774,22
2021-10-22,14555,29
2021-10-23,17777,46
2021-10-24,11688,24
2021-10-25,16962,32
2021-10-26,15181,30
2021-10-27,11531,30
2021-10-28,11097,20
2021-10-29,10112,23
2021-10-30,10585,25
2021-10-31,13002,28
2021-11-01,7329,18
2021-11-02,9614,19
2021-11-03,8692,22
2021-11-04,8394,20
2021-11-05,9993,25
2021-11-06,7961,16
2021-11-07,10077,20
2021-11-08,8430,19
2021-11-09,6313,16
2021-11-10,9666,25
2021-11-11,9285,20
2021-11-12,9330,20
2021-11-13,9145,16
2021-11-14,6283,14
2021-11-15,10446,25
2021-11-16,6295,15
2021-11-17,6491,13
2021-11-18,8600,21
2021-11-19,11344,27
2021-11-20,8089,14
2021-11-21,11415,20
2021-11-22,9989,23
2021-11-23,7939,17
2021-11-24,6148,16
2021-11-25,8877,21
2021-11-26,10373,22
2021-11-27,8327,14
2021-11-28,8714,19
2021-11-29,11004,28
2021-11-30,9936,21
2021-12-01,5098,12
2021-12-02,4356,11
2021-12-03,4356,9
2021-12-04,6687,16
2021-12-05,7111,16
2021-12-06,5548,10
2021-12-07,5739,11
2021-12-08,6266,14
2021-12-09,5381,12
2021-12-10,4797,12
2021-12-11,6586,13
2021-12-12,4356,10
2021-12-13,7007,13
2021-12-14,6802,17
2021-12-15,6191,15
2021-12-16,6101,12
2021-12-17,7064,14
2021-12-18,4875,10
2021-12-19,6540,17
2021-12-20,4356,9
2021-12-21,4959,9
2021-12-22,5144,10
2021-12-23,7069,13
2021-12-24,5718,14
2021-12-25,6212,13
2021-12-26,6361,11
2021-12-27,5542,13
2021-12-28,6461,11
2021-12-29,6273,14
2021-12-30,6999,14
2021-12-31,6924,17
2022-01-01,11223,29
2022-01-02,14652,35
2022-01-03,16911,44
2022-01-04,23937,48
2022-01-05,26534,67
2022-01-06,40093,90
2022-01-07,48297,91
2022-01-08,74231,172
2022-01-09,86617,205
2022-01-10,108769,207
2022-01-11,159208,358
2022-01-12,180432,374
2022-01-13,266164,684
2022-01-14,267821,531
2022-01-15,278786,567
2022-01-16,278332,689
2022-01-17,217954,495
2022-01-18,156738,325
2022-01-19,128937,330
2022-01-20,106697,245
2022-01-21,108586,202
2022-01-22,98049,222
2022-01-23,73992,193
2022-01-24,66703,145
2022-01-25,49853,132
2022-01-26,58631,106
2022-01-27,39537,75
2022-01-28,34910,75
2022-01-29,40182,78
2022-01-30,32641,70
2022-01-31,26129,47
2022-02-01,25698,56
2022-02-02,21822,53
2022-02-03,30338,79
2022-02-04,27182,53
2022-02-05,33576,81
2022-02-06,20169,45
2022-02-07,25030,46
2022-02-08,30034,60
2022-02-09,24446,44
2022-02-10,19449,45
2022-02-11,23136,60
2022-02-12,20850,39
2022-02-13,25200,52
2022-02-14,21760,52
2022-02-15,13441,25
2022-02-16,23401,50
2022-02-17,26820,55
2022-02-18,25030,50
2022-02-19,18370,44
2022-02-20,29891,60
2022-02-21,23741,58
2022-02-22,23993,47
2022-02-23,32861,81
2022-02-24,18495,38
2022-02-25,19184,36
2022-02-26,17124,44
2022-02-27,30879,62
2022-02-28,25302,50
2022-03-01,4837,11
2022-03-02,5064,10
2022-03-03,6708,14
2022-03-04,7263,15
2022-03-05,3907,9
2022-03-06,8085,19
2022-03-07,4008,7
2022-03-08,6414,11
2022-03-09,6348,13
2022-03-10,7051,15
2022-03-11,4444,11
2022-03-12,4305,8
2022-03-13,7264,18
2022-03-14,3909,8
2022-03-15,3035,7
2022-03-16,4808,10
2022-03-17,6207,16
2022-03-18,7567,17
2022-03-19,5357,11
2022-03-20,4435,9
2022-03-21,5360,13
2022-03-22,4133,10
2022-03-23,5052,13
2022-03-24,3156,6
2022-03-25,6541,14
2022-03-26,4247,8
2022-03-27,4613,9
2022-03-28,7307,19
2022-03-29,3782,9
2022-03-30,6904,17
2022-03-31,7050,14
2022-04-01,5293,12
2022-04-02,2789,5
2022-04-03,5230,10
2022-04-04,3516,8
2022-04-05,5007,10
2022-04-06,3111,5
2022-04-07,5755,11
2022-04-08,3511,6
2022-04-09,5757,10
2022-04-10,6311,14
2022-04-11,6534,15
2022-04-12,4431,10
2022-04-13,5997,12
2022-04-14,3463,9
2022-04-15,3086,7
2022-04-16,4024,7
2022-04-17,6635,13
2022-04-18,3848,8
2022-04-19,2686,5
2022-04-20,4121,10
2022-04-21,5376,12
2022-04-22,5276,12
2022-04-23,3547,6
2022-04-24,4548,8
2022-04-25,2472,5
2022-04-26,4158,8
2022-04-27,2565,4
2022-04-28,6699,14
2022-04-29,5609,11
2022-04-30,4326,11
2022-05-01,2480,5
2022-05-02,4727,8
2022-05-03,2472,4
2022-05-04,2538,5
2022-05-05,5490,12
2022-05-06,2684,6
