date,cases,deaths
2000-01-01,0,0
2000-01-31,0,0
2000-03-01,0,0
2000-03-31,0,0
2000-04-30,0,0
2000-05-30,0,0
2000-06-29,0,0
2000-07-29,0,0
2000-08-28,0,0
2000-09-27,0,0
2000-10-27,0,0
2000-11-26,0,0
2000-12-26,0,0
2001-01-25,0,0
2001-02-24,0,0
2001-03-26,0,0
2001-04-25,0,0
2001-05-25,0,0
2001-06-24,0,0
2001-07-24,0,0
2001-08-23,0,0
2001-09-22,0,0
2001-10-22,0,0
2001-11-21,0,0
2001-12-21,0,0
2002-01-20,0,0
2002-02-19,0,0
2002-03-21,0,0
2002-04-20,0,0
2002-05-20,0,0
2002-06-19,0,0
2002-07-19,0,0
2002-08-18,0,0
2002-09-17,0,0
2002-10-17,0,0
2002-11-16,0,0
2002-12-16,0,0
2003-01-15,0,0
2003-02-14,0,0
2003-03-16,0,0
2003-04-15,0,0
2003-05-15,0,0
2003-06-14,0,0
2003-07-14,0,0
2003-08-13,0,0
2003-09-12,0,0
2003-10-12,0,0
2003-11-11,0,0
2003-12-11,0,0
2004-01-10,0,0
2004-02-09,0,0
2004-03-10,0,0
2004-04-09,0,0
2004-05-09,0,0
2004-06-08,0,0
2004-07-08,0,0
2004-08-07,0,0
2004-09-06,0,0
2004-10-06,0,0
2004-11-05,0,0
2004-12-05,0,0
2005-01-04,0,0
2005-02-03,0,0
2005-03-05,0,0
2005-04-04,0,0
2005-05-04,0,0
2005-06-03,0,0
2005-07-03,0,0
2005-08-02,0,0
2005-09-01,0,0
2005-10-01,0,0
2005-10-31,0,0
2005-11-30,0,0
2005-12-30,0,0
2006-01-29,0,0
2006-02-28,0,0
2006-03-30,0,0
2006-04-29,0,0
2006-05-29,0,0
2006-06-28,0,0
2006-07-28,0,0
2006-08-27,0,0
2006-09-26,0,0
2006-10-26,0,0
2006-11-25,0,0
2006-12-25,0,0
2007-01-24,0,0
2007-02-23,0,0
2007-03-25,0,0
2007-04-24,0,0
2007-05-24,0,0
2007-06-23,0,0
2007-07-23,0,0
2007-08-22,0,0
2007-09-21,0,0
2007-10-21,0,0
2007-11-20,0,0
2007-12-20,0,0
2008-01-19,0,0
2008-02-18,0,0
2008-03-19,0,0
2008-04-18,0,0
2008-05-18,0,0
2008-06-17,0,0
2008-07-17,0,0
2008-08-16,0,0
2008-09-15,0,0
2008-10-15,0,0
2008-11-14,0,0
2008-12-14,0,0
2009-01-13,0,0
2009-02-12,0,0
2009-03-14,0,0
2009-04-13,0,0
2009-05-13,0,0
2009-06-12,0,0
2009-07-12,0,0
2009-08-11,0,0
2009-09-10,0,0
2009-10-10,0,0
2009-11-09,0,0
2009-12-09,0,0
2010-01-08,0,0
2010-02-07,0,0
2010-03-09,0,0
2010-04-08,0,0
2010-05-08,0,0
2010-06-07,0,0
2010-07-07,0,0
2010-08-06,0,0
2010-09-05,0,0
2010-10-05,0,0
2010-11-04,0,0
2010-12-04,0,0
2011-01-03,0,0
2011-02-02,0,0
2011-03-04,0,0
2011-04-03,0,0
2011-05-03,0,0
2011-06-02,0,0
2011-07-02,0,0
2011-08-01,0,0
2011-08-31,0,0
2011-09-30,0,0
2011-10-30,0,0
2011-11-29,0,0
2011-12-29,0,0
2012-01-28,0,0
2012-02-27,0,0
2012-03-28,0,0
2012-04-27,0,0
2012-05-27,0,0
2012-06-26,0,0
2012-07-26,0,0
2012-08-25,0,0
2012-09-24,0,0
2012-10-24,0,0
2012-11-23,0,0
2012-12-23,0,0
2013-01-22,0,0
2013-02-21,0,0
2013-03-23,0,0
2013-04-22,0,0
2013-05-22,0,0
2013-06-21,0,0
2013-07-21,0,0
2013-08-20,0,0
2013-09-19,0,0
2013-10-19,0,0
2013-11-18,0,0
2013-12-18,0,0
2014-01-17,0,0
2014-02-16,0,0
2014-03-18,0,0
2014-04-17,0,0
2014-05-17,0,0
2014-06-16,0,0
2014-07-16,0,0
2014-08-15,0,0
2014-09-14,0,0
2014-10-14,0,0
2014-11-13,0,0
2014-12-13,0,0
2015-01-12,0,0
2015-02-11,0,0
2015-03-13,0,0
2015-04-12,0,0
2015-05-12,0,0
2015-06-11,0,0
2015-07-11,0,0
2015-08-10,0,0
2015-09-09,0,0
2015-10-09,0,0
2015-11-08,0,0
2015-12-08,0,0
2016-01-07,0,0
