date,cases,deaths
2020-01-22,41,0
2020-01-23,77,0
2020-01-24,45,0
2020-01-25,68,0
2020-01-26,5,0
2020-01-27,80,0
2020-01-28,63,0
2020-01-29,49,0
2020-01-30,13,0
2020-01-31,50,0
2020-02-01,80,0
2020-02-02,67,0
2020-02-03,29,0
2020-02-04,29,0
2020-02-05,41,0
2020-02-06,80,0
2020-02-07,60,0
2020-02-08,24,0
2020-02-09,16,0
2020-02-10,75,0
2020-02-11,25,0
2020-02-12,15,0
2020-02-13,13,0
2020-02-14,66,0
2020-02-15,58,0
2020-02-16,8,0
2020-02-17,62,0
2020-02-18,20,0
2020-02-19,51,0
2020-02-20,7,0
2020-02-21,52,0
2020-02-22,17,0
2020-02-23,22,0
2020-02-24,59,0
2020-02-25,74,0
2020-02-26,33,0
2020-02-27,77,0
2020-02-28,4,0
2020-02-29,88,0
2020-03-01,88,0
2020-03-02,30,0
2020-03-03,65,0
2020-03-04,34,0
2020-03-05,56,0
2020-03-06,38,0
2020-03-07,41,0
2020-03-08,18,0
2020-03-09,38,0
2020-03-10,62,0
2020-03-11,10,0
2020-03-12,49,0
2020-03-13,51,0
2020-03-14,2,0
2020-03-15,23,0
2020-03-16,65,0
2020-03-17,53,0
2020-03-18,29,0
2020-03-19,83,0
2020-03-20,59,0
2020-03-21,35,0
2020-03-22,49,0
2020-03-23,59,0
2020-03-24,83,0
2020-03-25,18,0
2020-03-26,14,0
2020-03-27,41,0
2020-03-28,20,0
2020-03-29,56,0
2020-03-30,28,0
2020-03-31,34,0
2020-04-01,87,0
2020-04-02,96,0
2020-04-03,86,0
2020-04-04,91,0
2020-04-05,109,0
2020-04-06,134,0
2020-04-07,124,0
2020-04-08,120,0
2020-04-09,129,0
2020-04-10,128,0
2020-04-11,142,0
2020-04-12,188,0
2020-04-13,182,0
2020-04-14,230,0
2020-04-15,169,0
2020-04-16,222,0
2020-04-17,249,0
2020-04-18,274,0
2020-04-19,258,0
2020-04-20,332,0
2020-04-21,314,0
2020-04-22,313,0
2020-04-23,349,0
2020-04-24,411,0
2020-04-25,326,0
2020-04-26,364,0
2020-04-27,488,0
2020-04-28,412,0
2020-04-29,392,0
2020-04-30,525,0
2020-05-01,589,0
2020-05-02,479,0
2020-05-03,598,0
2020-05-04,660,0
2020-05-05,794,0
2020-05-06,866,0
2020-05-07,889,0
2020-05-08,975,1
2020-05-09,977,0
2020-05-10,906,0
2020-05-11,933,0
2020-05-12,879,0
2020-05-13,1071,1
2020-05-14,1401,1
2020-05-15,1347,1
2020-05-16,1284,1
2020-05-17,1471,1
2020-05-18,1761,1
2020-05-19,1784,1
2020-05-20,1679,1
2020-05-21,2029,1
2020-05-22,2089,2
2020-05-23,1805,2
2020-05-24,2289,2
2020-05-25,2486,2
2020-05-26,2400,2
2020-05-27,2310,2
2020-05-28,2653,2
2020-05-29,2792,2
2020-05-30,2478,2
2020-05-31,3158,3
2020-06-01,3283,2
2020-06-02,2957,3
2020-06-03,3680,3
2020-06-04,4164,4
2020-06-05,3902,4
2020-06-06,3984,4
2020-06-07,4911,4
2020-06-08,5358,5
2020-06-09,6679,5
2020-06-10,7048,7
2020-06-11,5771,6
2020-06-12,7194,7
2020-06-13,7646,8
2020-06-14,8845,10
2020-06-15,9079,9
2020-06-16,7500,9
2020-06-17,9065,7
2020-06-18,9574,10
2020-06-19,9302,10
2020-06-20,9334,10
2020-06-21,13355,15
2020-06-22,10838,9
2020-06-23,11433,13
2020-06-24,13509,11
2020-06-25,16387,19
2020-06-26,15280,13
2020-06-27,15590,15
2020-06-28,14928,17
2020-06-29,18385,20
2020-06-30,22089,19
2020-07-01,22601,26
2020-07-02,23356,23
2020-07-03,20991,18
2020-07-04,28068,29
2020-07-05,28073,31
2020-07-06,24029,21
2020-07-07,25370,30
2020-07-08,32078,33
2020-07-09,38952,46
2020-07-10,33977,35
2020-07-11,31067,38
2020-07-12,43298,46
2020-07-13,40952,47
2020-07-14,36696,36
2020-07-15,50464,44
2020-07-16,46996,47
2020-07-17,44149,52
2020-07-18,62487,55
2020-07-19,53806,56
2020-07-20,53244,45
2020-07-21,62487,67
2020-07-22,62487,65
2020-07-23,62487,76
2020-07-24,62487,66
2020-07-25,62487,67
2020-07-26,62487,74
2020-07-27,62487,65
2020-07-28,62487,63
2020-07-29,62487,60
2020-07-30,62487,67
2020-07-31,62487,56
2020-08-01,62487,70
2020-08-02,62487,69
2020-08-03,62487,76
2020-08-04,62487,67
2020-08-05,62487,59
2020-08-06,62487,76
2020-08-07,62487,52
2020-08-08,62487,58
2020-08-09,62487,76
2020-08-10,62487,77
2020-08-11,62487,71
2020-08-12,62487,73
2020-08-13,62487,57
2020-08-14,62487,70
2020-08-15,62487,62
2020-08-16,62487,77
2020-08-17,62487,76
2020-08-18,62487,62
2020-08-19,62487,68
2020-08-20,62487,67
2020-08-21,62487,56
2020-08-22,62487,58
2020-08-23,62487,72
2020-08-24,62487,68
2020-08-25,62487,55
2020-08-26,62487,76
2020-08-27,62487,59
2020-08-28,62487,58
2020-08-29,62487,54
2020-08-30,62487,68
2020-08-31,62487,76
2020-09-01,84234,90
2020-09-02,76075,69
2020-09-03,81580,95
2020-09-04,69075,77
2020-09-05,73895,65
2020-09-06,80498,73
2020-09-07,70319,62
2020-09-08,71109,86
2020-09-09,80966,69
2020-09-10,77105,92
2020-09-11,81637,91
2020-09-12,77571,73
2020-09-13,69644,67
2020-09-14,79492,78
2020-09-15,74938,83
2020-09-16,69014,73
2020-09-17,80224,86
2020-09-18,72143,70
2020-09-19,76283,63
2020-09-20,82290,94
2020-09-21,71731,77
2020-09-22,76129,92
2020-09-23,77354,83
2020-09-24,69893,70
2020-09-25,71899,71
2020-09-26,69620,62
2020-09-27,80682,79
2020-09-28,72729,79
2020-09-29,73158,76
2020-09-30,78873,75
2020-10-01,49890,46
2020-10-02,45387,48
2020-10-03,55290,48
2020-10-04,60289,62
2020-10-05,55765,60
2020-10-06,55703,68
2020-10-07,56554,51
2020-10-08,52979,49
2020-10-09,57221,56
2020-10-10,44677,48
2020-10-11,60886,56
2020-10-12,49009,55
2020-10-13,61877,64
2020-10-14,53808,51
2020-10-15,61710,53
2020-10-16,44766,54
2020-10-17,45596,56
2020-10-18,57336,51
2020-10-19,50103,49
2020-10-20,55547,64
2020-10-21,44154,38
2020-10-22,58552,50
2020-10-23,46799,57
2020-10-24,45446,40
2020-10-25,59195,58
2020-10-26,59491,54
2020-10-27,44218,51
2020-10-28,61178,65
2020-10-29,49046,47
2020-10-30,54622,63
2020-10-31,46085,56
2020-11-01,40976,48
2020-11-02,39181,45
2020-11-03,34073,35
2020-11-04,35019,38
2020-11-05,42957,41
2020-11-06,32219,29
2020-11-07,40040,40
2020-11-08,43394,45
2020-11-09,46189,55
2020-11-10,40160,37
2020-11-11,43348,41
2020-11-12,32394,27
2020-11-13,36468,38
2020-11-14,36547,35
2020-11-15,45646,52
2020-11-16,41634,39
2020-11-17,37972,46
2020-11-18,38042,41
2020-11-19,42835,41
2020-11-20,39750,34
2020-11-21,40472,47
2020-11-22,41416,43
2020-11-23,41923,41
2020-11-24,41450,35
2020-11-25,45746,48
2020-11-26,32693,39
2020-11-27,31582,36
2020-11-28,46602,51
2020-11-29,46490,51
2020-11-30,35858,36
2020-12-01,32775,37
2020-12-02,27780,34
2020-12-03,33136,39
2020-12-04,27237,31
2020-12-05,28915,30
2020-12-06,25518,26
2020-12-07,30509,33
2020-12-08,27789,23
2020-12-09,29634,28
2020-12-10,28879,30
2020-12-11,24758,21
2020-12-12,32123,35
2020-12-13,31832,27
2020-12-14,31389,37
2020-12-15,23528,21
2020-12-16,33006,31
2020-12-17,30826,25
2020-12-18,34549,29
2020-12-19,30278,36
2020-12-20,27022,32
2020-12-21,31474,34
2020-12-22,27120,26
2020-12-23,34729,39
2020-12-24,24188,25
2020-12-25,26209,29
2020-12-26,31970,34
2020-12-27,24388,25
2020-12-28,30404,30
2020-12-29,33594,29
2020-12-30,32286,29
2020-12-31,31172,26
2021-01-01,15986,13
2021-01-02,13127,15
2021-01-03,7334,7
2021-01-04,8391,7
2021-01-05,7910,6
2021-01-06,14270,15
2021-01-07,15503,17
2021-01-08,8419,7
2021-01-09,12369,11
2021-01-10,8807,10
2021-01-11,13990,16
2021-01-12,10522,13
2021-01-13,8618,7
2021-01-14,11523,12
2021-01-15,10614,12
2021-01-16,11511,10
2021-01-17,13024,12
2021-01-18,13722,15
2021-01-19,9408,10
2021-01-20,10851,11
2021-01-21,7879,8
2021-01-22,8342,7
2021-01-23,14165,12
2021-01-24,11631,11
2021-01-25,14303,17
2021-01-26,15153,13
2021-01-27,13119,13
2021-01-28,9809,10
2021-01-29,10546,12
2021-01-30,11365,11
2021-01-31,8920,9
2021-02-01,9921,10
2021-02-02,11939,14
2021-02-03,7983,7
2021-02-04,11210,13
2021-02-05,7969,8
2021-02-06,14738,13
2021-02-07,9666,10
2021-02-08,14766,12
2021-02-09,13334,16
2021-02-10,10821,12
2021-02-11,7979,8
2021-02-12,13068,16
2021-02-13,9317,11
2021-02-14,11852,12
2021-02-15,11929,10
2021-02-16,10813,10
2021-02-17,7162,7
2021-02-18,11340,10
2021-02-19,14822,13
2021-02-20,9645,8
2021-02-21,12144,15
2021-02-22,12950,12
2021-02-23,8202,8
2021-02-24,15419,14
2021-02-25,13169,11
2021-02-26,11344,11
2021-02-27,14647,12
2021-02-28,9030,9
2021-03-01,8166,9
2021-03-02,9559,10
2021-03-03,15664,13
2021-03-04,15698,14
2021-03-05,9654,9
2021-03-06,14896,13
2021-03-07,14978,15
2021-03-08,12617,13
2021-03-09,9865,11
2021-03-10,7868,9
2021-03-11,10974,10
2021-03-12,15604,15
2021-03-13,15124,13
2021-03-14,12725,12
2021-03-15,12926,14
2021-03-16,9263,8
2021-03-17,10364,10
2021-03-18,12981,15
2021-03-19,11765,10
