date,cases,deaths
2000-01-01,21843137,251309
2001-01-01,23160739,272918
2002-01-01,24536688,285033
2003-01-01,25680894,328035
2004-01-01,26235362,301834
2005-01-01,27356515,313281
2006-01-01,28573561,342299
2007-01-01,29757128,325569
2008-01-01,29990063,384601
2009-01-01,31534682,345240
2010-01-01,32739076,385186
2011-01-01,34421767,448253
2012-01-01,36150604,464091
2013-01-01,37280314,459426
2014-01-01,38412678,424842
2015-01-01,41125433,486565
2016-01-01,41382576,501964
2017-01-01,44861161,514844
2018-01-01,44109114,539768
2019-01-01,47705467,515239
2020-01-01,47760372,602466
2021-01-01,51137882,610764
2022-01-01,53200023,620682
2023-01-01,55410227,661014
2024-01-01,55866069,701918
2025-01-01,58905542,750756
