date,cases,deaths
2000-01-01,886177,9623
2001-01-01,944728,10377
2002-01-01,996896,10992
2003-01-01,996799,10990
2004-01-01,1035118,11465
2005-01-01,1093033,12682
2006-01-01,1150081,14467
2007-01-01,1152546,12494
2008-01-01,1229194,13922
2009-01-01,1292987,15529
2010-01-01,1319932,16894
2011-01-01,1352245,16739
2012-01-01,1426091,15479
2013-01-01,1474492,16293
2014-01-01,1554878,18972
2015-01-01,1658263,18749
2016-01-01,1664520,19717
2017-01-01,1784535,22580
2018-01-01,1845432,21274
2019-01-01,1858711,22724
2020-01-01,1973199,25923
2021-01-01,2056277,22295
2022-01-01,2117838,23135
2023-01-01,2195659,24987
2024-01-01,2259361,25095
2025-01-01,2337617,28385
