date,cases,deaths
2000-01-01,2254481,28633
2001-01-01,2361244,26785
2002-01-01,2398184,31601
2003-01-01,2560391,31007
2004-01-01,2615089,32590
2005-01-01,2689666,31487
2006-01-01,2816371,30581
2007-01-01,2925673,33450
2008-01-01,2966426,33127
2009-01-01,3198898,37619
2010-01-01,3289967,42991
2011-01-01,3406070,40623
2012-01-01,3631095,44484
2013-01-01,3719741,48766
2014-01-01,3924672,49097
2015-01-01,3971346,45817
2016-01-01,4248330,54245
2017-01-01,4444663,50521
2018-01-01,4627824,52775
2019-01-01,4809825,52550
2020-01-01,4838297,58046
2021-01-01,5151767,64238
2022-01-01,5186795,64235
2023-01-01,5357388,67000
2024-01-01,5562213,61826
2025-01-01,5979207,65382
