date,cases,deaths
2000-01-01,1623,26
2000-01-31,2088,46
2000-03-01,2249,89
2000-03-31,2179,66
2000-04-30,2640,41
2000-05-30,2786,87
2000-06-29,2746,42
2000-07-29,2722,63
2000-08-28,2550,111
2000-09-27,3375,78
2000-10-27,2879,136
2000-11-26,3260,144
2000-12-26,2804,103
2001-01-25,3786,51
2001-02-24,3471,82
2001-03-26,3867,134
2001-04-25,3742,102
2001-05-25,3642,149
2001-06-24,3194,65
2001-07-24,4425,103
2001-08-23,4739,108
2001-09-22,4268,51
2001-10-22,4597,179
2001-11-21,4125,140
2001-12-21,4062,44
2002-01-20,4489,63
2002-02-19,4072,96
2002-03-21,4060,182
2002-04-20,4996,74
2002-05-20,5636,273
2002-06-19,5127,126
2002-07-19,5647,157
2002-08-18,4926,225
2002-09-17,4621,160
2002-10-17,4503,198
2002-11-16,5312,115
2002-12-16,6326,116
2003-01-15,5962,207
2003-02-14,5718,246
2003-03-16,5325,251
2003-04-15,6974,245
2003-05-15,5453,98
2003-06-14,5527,255
2003-07-14,6690,287
2003-08-13,5659,77
2003-09-12,6471,297
2003-10-12,6320,117
2003-11-11,6336,259
2003-12-11,5742,286
2004-01-10,6292,206
2004-02-09,6764,199
2004-03-10,7403,157
2004-04-09,8393,325
2004-05-09,7526,274
2004-06-08,7304,252
2004-07-08,7825,217
2004-08-07,7322,246
2004-09-06,8246,136
2004-10-06,8047,87
2004-11-05,6714,324
2004-12-05,7121,291
2005-01-04,7879,385
2005-02-03,7184,286
2005-03-05,9953,285
2005-04-04,7965,126
2005-05-04,7036,109
2005-06-03,8769,433
2005-07-03,8800,356
2005-08-02,7741,284
2005-09-01,9409,444
2005-10-01,7825,175
2005-10-31,9504,362
2005-11-30,10337,490
2005-12-30,8460,357
2006-01-29,10224,275
2006-02-28,11266,219
2006-03-30,10400,379
2006-04-29,8388,121
2006-05-29,9605,172
2006-06-28,11161,289
2006-07-28,9984,484
2006-08-27,8584,379
2006-09-26,8457,249
2006-10-26,11259,545
2006-11-25,10169,429
