date,cases,deaths
2000-01-01,2775521,35489
2001-01-01,2755733,34144
2002-01-01,2949141,36537
2003-01-01,3102381,37898
2004-01-01,3138141,38164
2005-01-01,3364261,43907
2006-01-01,3380579,40500
2007-01-01,3649198,47394
2008-01-01,3721885,40260
2009-01-01,3852562,50776
2010-01-01,4105051,50174
2011-01-01,4217503,50280
2012-01-01,4432756,53034
2013-01-01,4406997,57137
2014-01-01,4608998,51784
2015-01-01,4900400,58058
2016-01-01,5199273,60232
2017-01-01,5370390,70668
2018-01-01,5632589,72202
2019-01-01,5731693,68163
2020-01-01,5874869,70395
2021-01-01,6146949,71655
2022-01-01,6429457,76415
2023-01-01,6620979,76562
2024-01-01,6900909,77048
2025-01-01,7176887,87119
