date,cases,deaths
2000-01-01,1857,56
2000-01-31,1989,84
2000-03-01,2604,96
2000-03-31,2232,56
2000-04-30,2768,71
2000-05-30,2428,48
2000-06-29,2235,106
2000-07-29,2875,61
2000-08-28,2700,65
2000-09-27,3268,85
2000-10-27,3030,74
2000-11-26,3228,84
2000-12-26,3179,34
2001-01-25,2658,79
2001-02-24,3804,48
2001-03-26,3854,57
2001-04-25,2979,98
2001-05-25,4098,91
2001-06-24,4299,127
2001-07-24,3234,109
2001-08-23,3725,180
2001-09-22,4364,165
2001-10-22,3750,70
2001-11-21,4887,99
2001-12-21,4977,110
2002-01-20,4508,170
2002-02-19,4809,171
2002-03-21,4481,134
2002-04-20,5233,72
2002-05-20,5533,105
2002-06-19,5988,207
2002-07-19,5917,111
2002-08-18,6086,242
2002-09-17,5951,271
2002-10-17,4438,191
2002-11-16,4436,171
2002-12-16,5949,137
2003-01-15,6381,316
2003-02-14,5475,102
2003-03-16,5278,113
2003-04-15,5548,114
2003-05-15,5504,199
2003-06-14,5705,216
2003-07-14,5228,106
2003-08-13,5312,105
2003-09-12,7230,120
2003-10-12,6221,170
2003-11-11,6091,263
2003-12-11,5913,213
2004-01-10,8206,93
2004-02-09,8398,418
2004-03-10,5926,92
2004-04-09,6775,229
2004-05-09,7512,306
2004-06-08,6714,238
2004-07-08,8553,233
2004-08-07,6757,221
2004-09-06,6362,240
2004-10-06,7039,142
2004-11-05,7890,335
2004-12-05,9039,253
2005-01-04,9435,166
2005-02-03,8022,258
2005-03-05,9820,187
2005-04-04,8647,245
2005-05-04,8098,233
2005-06-03,7626,151
2005-07-03,9664,359
2005-08-02,10440,498
2005-09-01,7996,106
2005-10-01,9996,109
2005-10-31,9607,221
2005-11-30,9452,192
2005-12-30,9121,179
2006-01-29,9072,350
2006-02-28,8043,306
2006-03-30,11362,116
2006-04-29,11332,368
2006-05-29,11695,424
2006-06-28,9730,318
2006-07-28,9181,116
2006-08-27,9058,131
2006-09-26,11694,176
2006-10-26,10634,375
2006-11-25,9846,332
2006-12-25,8419,143
2007-01-24,10301,243
2007-02-23,11057,322
2007-03-25,11017,279
2007-04-24,10165,119
2007-05-24,12589,305
2007-06-23,12274,322
2007-07-23,9607,457
2007-08-22,9151,192
2007-09-21,13319,559
2007-10-21,10449,449
2007-11-20,11225,330
2007-12-20,12254,593
2008-01-19,11611,207
2008-02-18,12266,388
2008-03-19,14206,680
2008-04-18,14297,422
2008-05-18,13678,528
2008-06-17,14549,299
2008-07-17,10461,136
2008-08-16,11570,523
2008-09-15,10893,279
2008-10-15,12514,501
2008-11-14,10349,364
2008-12-14,13157,603
2009-01-13,12478,371
2009-02-12,12078,400
2009-03-14,13062,247
2009-04-13,13824,224
2009-05-13,14106,561
2009-06-12,11876,270
2009-07-12,16131,597
