date,cases,deaths
2000-01-01,2228,100
2000-01-31,2046,38
2000-03-01,2517,60
2000-03-31,1841,81
2000-04-30,2520,29
2000-05-30,2509,103
2000-06-29,2592,76
2000-07-29,3153,107
2000-08-28,2763,45
2000-09-27,2437,72
2000-10-27,3577,40
2000-11-26,3677,76
2000-12-26,2801,54
2001-01-25,3537,65
2001-02-24,3629,103
2001-03-26,3940,122
2001-04-25,4028,177
2001-05-25,3905,120
2001-06-24,3996,173
2001-07-24,3981,195
2001-08-23,4331,54
2001-09-22,3813,44
2001-10-22,4013,192
2001-11-21,4755,143
2001-12-21,4889,155
2002-01-20,4668,81
2002-02-19,3930,125
2002-03-21,4545,227
2002-04-20,5331,229
2002-05-20,5334,227
2002-06-19,4913,136
2002-07-19,4299,207
2002-08-18,4513,189
2002-09-17,5714,272
2002-10-17,4679,86
2002-11-16,5104,62
2002-12-16,6473,243
2003-01-15,6056,245
2003-02-14,5302,66
2003-03-16,4815,116
2003-04-15,6855,196
2003-05-15,6962,279
2003-06-14,5190,151
2003-07-14,6594,258
2003-08-13,5375,159
2003-09-12,6428,248
2003-10-12,5917,249
2003-11-11,6743,274
2003-12-11,6204,235
2004-01-10,6066,200
2004-02-09,7541,376
2004-03-10,7391,199
2004-04-09,5903,268
2004-05-09,8219,379
2004-06-08,8437,173
2004-07-08,6097,117
2004-08-07,7153,276
2004-09-06,7517,107
2004-10-06,7774,188
2004-11-05,8584,415
2004-12-05,6993,252
2005-01-04,9205,406
2005-02-03,7589,214
2005-03-05,9903,240
2005-04-04,9752,424
2005-05-04,9986,286
2005-06-03,7161,88
2005-07-03,8737,107
2005-08-02,8813,209
2005-09-01,7925,99
2005-10-01,7236,155
2005-10-31,10041,411
2005-11-30,10661,144
2005-12-30,7695,86
2006-01-29,8479,86
2006-02-28,9454,281
2006-03-30,9641,464
2006-04-29,11255,473
2006-05-29,10985,261
2006-06-28,10222,133
2006-07-28,11407,320
2006-08-27,9230,115
2006-09-26,9606,316
2006-10-26,9311,322
2006-11-25,9693,298
2006-12-25,11008,266
2007-01-24,8692,385
2007-02-23,10044,178
2007-03-25,12137,230
2007-04-24,8864,109
2007-05-24,11557,315
2007-06-23,9633,427
2007-07-23,12326,133
2007-08-22,11405,475
2007-09-21,11158,145
2007-10-21,10346,510
2007-11-20,12422,530
2007-12-20,10702,174
2008-01-19,10038,225
2008-02-18,9800,216
2008-03-19,13714,475
2008-04-18,12479,327
2008-05-18,12006,578
2008-06-17,14636,619
2008-07-17,10180,361
2008-08-16,12655,552
2008-09-15,11459,548
2008-10-15,10911,517
2008-11-14,14131,399
2008-12-14,13244,482
2009-01-13,10482,251
2009-02-12,12575,419
2009-03-14,13564,657
2009-04-13,12814,157
2009-05-13,13088,555
2009-06-12,11076,413
2009-07-12,12543,572
2009-08-11,12053,304
2009-09-10,16260,642
2009-10-10,13505,173
2009-11-09,15647,754
2009-12-09,14052,141
2010-01-08,16041,798
2010-02-07,16999,209
2010-03-09,12215,193
2010-04-08,17256,570
2010-05-08,11955,189
2010-06-07,15972,477
2010-07-07,12725,419
2010-08-06,14382,344
2010-09-05,16932,461
2010-10-05,15608,174
2010-11-04,13721,189
2010-12-04,13421,212
2011-01-03,14855,430
2011-02-02,13233,541
2011-03-04,17090,499
2011-04-03,18184,319
2011-05-03,14907,149
2011-06-02,12844,391
2011-07-02,18432,860
2011-08-01,15208,575
2011-08-31,17648,770
2011-09-30,13153,561
2011-10-30,15250,165
2011-11-29,16375,802
2011-12-29,18555,518
2012-01-28,19259,956
2012-02-27,16464,732
2012-03-28,17834,434
2012-04-27,14828,312
2012-05-27,14731,280
2012-06-26,14424,184
2012-07-26,16974,673
2012-08-25,19771,942
2012-09-24,14938,481
2012-10-24,20045,608
2012-11-23,20208,381
2012-12-23,16206,329
2013-01-22,14609,587
2013-02-21,20042,806
2013-03-23,14780,642
2013-04-22,17610,288
2013-05-22,18542,311
2013-06-21,18411,492
2013-07-21,17184,629
2013-08-20,19287,381
2013-09-19,18100,815
2013-10-19,16408,306
2013-11-18,21003,332
2013-12-18,17066,523
2014-01-17,21746,473
2014-02-16,17142,571
2014-03-18,16355,382
