date,cases,deaths
2000-01-01,6539804,71102
2001-01-01,7062114,83277
2002-01-01,7158018,83710
2003-01-01,7246766,81150
2004-01-01,7661228,94139
2005-01-01,7991707,95229
2006-01-01,8124078,101731
2007-01-01,8566756,105457
2008-01-01,8967248,98894
2009-01-01,9238894,113730
2010-01-01,9849227,116663
2011-01-01,10224921,125293
2012-01-01,10705915,117396
2013-01-01,10796979,134192
2014-01-01,11374052,138639
2015-01-01,11912356,156647
2016-01-01,12372967,157935
2017-01-01,12579774,157574
2018-01-01,13339463,167109
2019-01-01,13505573,153307
2020-01-01,14252014,176245
2021-01-01,14803917,182007
2022-01-01,15255521,177821
2023-01-01,15984089,174516
2024-01-01,17321226,211017
2025-01-01,17167971,214206
