date,cases,deaths
2000-01-01,6708280,83158
2001-01-01,6713226,72860
2002-01-01,7192231,78344
2003-01-01,7405704,93874
2004-01-01,7650527,85269
2005-01-01,7752191,95273
2006-01-01,8445255,104635
2007-01-01,8566493,100437
2008-01-01,9185959,119159
2009-01-01,9050384,114350
2010-01-01,9598454,126572
2011-01-01,10001551,113425
2012-01-01,10249730,126800
2013-01-01,10884441,120888
2014-01-01,11509493,148997
2015-01-01,11555838,125211
2016-01-01,12419439,162307
2017-01-01,12456519,162824
2018-01-01,13333293,166613
2019-01-01,13910806,173802
2020-01-01,14430840,161444
2021-01-01,14784101,191607
2022-01-01,15280749,184460
2023-01-01,16132630,188166
2024-01-01,16287417,202024
2025-01-01,17346312,208953
