date,cases,deaths
2000-01-01,2047,32
2000-01-31,1731,36
2000-03-01,1887,92
2000-03-31,1983,83
2000-04-30,2405,54
2000-05-30,2344,43
2000-06-29,2111,29
2000-07-29,2690,123
2000-08-28,2712,86
2000-09-27,3101,148
2000-10-27,2540,107
2000-11-26,3503,164
2000-12-26,2827,97
2001-01-25,3278,122
2001-02-24,3208,145
2001-03-26,4033,136
2001-04-25,3538,81
2001-05-25,4214,114
2001-06-24,4320,44
2001-07-24,4361,112
2001-08-23,3255,132
2001-09-22,4483,87
2001-10-22,4498,78
2001-11-21,4002,105
2001-12-21,4103,187
2002-01-20,4586,58
2002-02-19,5370,124
2002-03-21,4008,176
2002-04-20,4879,185
2002-05-20,4244,102
2002-06-19,5696,83
2002-07-19,5840,123
2002-08-18,5290,161
2002-09-17,5812,190
2002-10-17,5522,188
2002-11-16,5734,77
2002-12-16,5212,193
2003-01-15,6544,219
2003-02-14,6774,127
2003-03-16,6699,300
2003-04-15,6568,288
2003-05-15,5683,155
2003-06-14,6179,124
2003-07-14,5734,130
2003-08-13,7624,123
2003-09-12,7296,213
2003-10-12,5912,182
2003-11-11,7845,90
2003-12-11,6198,98
2004-01-10,6385,174
2004-02-09,8230,171
2004-03-10,7003,102
2004-04-09,7058,283
2004-05-09,8340,293
2004-06-08,6220,112
2004-07-08,6461,151
2004-08-07,8173,241
2004-09-06,6774,224
2004-10-06,6872,257
2004-11-05,7087,144
2004-12-05,8358,335
2005-01-04,8627,190
2005-02-03,7613,187
2005-03-05,7150,221
2005-04-04,9789,215
2005-05-04,7916,222
2005-06-03,9438,467
2005-07-03,8477,370
2005-08-02,8767,208
2005-09-01,9773,375
2005-10-01,8070,346
2005-10-31,9610,287
2005-11-30,8291,339
2005-12-30,9331,366
2006-01-29,8724,200
2006-02-28,9238,171
2006-03-30,10585,373
2006-04-29,7814,202
2006-05-29,10212,442
2006-06-28,10089,156
2006-07-28,11673,180
2006-08-27,11167,545
2006-09-26,12081,448
2006-10-26,8547,169
2006-11-25,9692,480
2006-12-25,9776,416
2007-01-24,10570,467
2007-02-23,11446,127
2007-03-25,8963,419
2007-04-24,12068,322
2007-05-24,9235,119
2007-06-23,11744,450
2007-07-23,11012,371
2007-08-22,10979,498
2007-09-21,10413,310
2007-10-21,9275,322
2007-11-20,9461,100
2007-12-20,9729,276
2008-01-19,13028,339
2008-02-18,11757,287
2008-03-19,14277,662
2008-04-18,13521,459
2008-05-18,12458,248
2008-06-17,12933,609
2008-07-17,9958,435
2008-08-16,14024,658
2008-09-15,12062,503
2008-10-15,11551,310
2008-11-14,11335,536
2008-12-14,12164,484
2009-01-13,12059,283
2009-02-12,11997,452
2009-03-14,11929,487
2009-04-13,13219,333
2009-05-13,11886,506
2009-06-12,15921,681
2009-07-12,14095,353
2009-08-11,14628,529
2009-09-10,15733,498
2009-10-10,11213,519
2009-11-09,11311,281
2009-12-09,14986,189
2010-01-08,11505,573
2010-02-07,16988,386
2010-03-09,17249,512
2010-04-08,14000,569
2010-05-08,14256,161
2010-06-07,15226,584
2010-07-07,13286,183
2010-08-06,16099,703
2010-09-05,13555,335
2010-10-05,15102,246
2010-11-04,17295,201
2010-12-04,13993,541
2011-01-03,15767,667
2011-02-02,16977,637
2011-03-04,17587,857
2011-04-03,14057,175
2011-05-03,16795,563
2011-06-02,15047,276
2011-07-02,13648,610
2011-08-01,14030,246
2011-08-31,15495,204
2011-09-30,13509,497
2011-10-30,18644,340
2011-11-29,18054,395
2011-12-29,14009,675
2012-01-28,16963,651
2012-02-27,18353,342
2012-03-28,14138,546
2012-04-27,18667,478
2012-05-27,18541,210
2012-06-26,19039,736
2012-07-26,20513,491
2012-08-25,19615,744
2012-09-24,14840,610
2012-10-24,19306,577
2012-11-23,18239,714
2012-12-23,20798,762
2013-01-22,20036,618
2013-02-21,20218,996
2013-03-23,19611,573
2013-04-22,21678,702
2013-05-22,16612,741
2013-06-21,18429,487
2013-07-21,17639,808
2013-08-20,18257,372
2013-09-19,21102,573
2013-10-19,18321,682
2013-11-18,16176,293
2013-12-18,15255,211
2014-01-17,22154,964
2014-02-16,17886,384
2014-03-18,21821,387
2014-04-17,19055,235
2014-05-17,19964,985
2014-06-16,22798,319
2014-07-16,17478,295
2014-08-15,18202,203
2014-09-14,17546,306
2014-10-14,23019,579
2014-11-13,22368,601
2014-12-13,21010,391
2015-01-12,22986,752
2015-02-11,23852,1055
2015-03-13,18811,608
2015-04-12,21373,909
2015-05-12,18803,879
2015-06-11,18681,435
2015-07-11,24718,897
2015-08-10,22902,316
2015-09-09,20496,332
2015-10-09,18814,796
2015-11-08,19921,622
2015-12-08,23557,745
2016-01-07,21983,799
2016-02-06,25620,768
2016-03-07,25892,700
2016-04-06,18006,808
2016-05-06,20921,663
2016-06-05,18293,686
2016-07-05,18647,729
2016-08-04,24794,345
2016-09-03,21015,921
2016-10-03,25168,521
2016-11-02,23295,603
2016-12-02,19496,872
2017-01-01,25104,382
2017-01-31,23807,827
2017-03-02,20081,672
2017-04-01,26943,794
2017-05-01,21095,377
2017-05-31,26437,1213
2017-06-30,20947,367
2017-07-30,26622,1150
2017-08-29,24253,918
2017-09-28,27604,406
2017-10-28,25372,856
2017-11-27,26739,488
2017-12-27,26555,674
2018-01-26,24616,471
2018-02-25,26812,1212
2018-03-27,26937,559
2018-04-26,20857,537
2018-05-26,21993,1029
2018-06-25,26079,436
2018-07-25,21832,361
2018-08-24,26030,1117
2018-09-23,27018,1098
2018-10-23,29837,767
2018-11-22,26000,1060
2018-12-22,24954,688
2019-01-21,29348,458
2019-02-20,23841,968
2019-03-22,29737,811
2019-04-21,26763,1123
2019-05-21,27209,472
2019-06-20,20728,723
2019-07-20,28812,794
2019-08-19,22724,485
2019-09-18,30213,961
2019-10-18,27030,434
2019-11-17,21167,499
2019-12-17,30888,771
2020-01-16,21679,241
2020-02-15,25022,857
2020-03-16,30076,1482
2020-04-15,27969,831
2020-05-15,26080,1172
2020-06-14,30737,1052
2020-07-14,24537,333
2020-08-13,25066,378
2020-09-12,23233,957
2020-10-12,22994,247
2020-11-11,25347,997
2020-12-11,26338,1178
2021-01-10,27068,1030
2021-02-09,27979,967
2021-03-11,23018,611
2021-04-10,24746,349
2021-05-10,24265,1167
2021-06-09,32514,1565
2021-07-09,25185,1205
2021-08-08,28377,1200
2021-09-07,23723,1153
2021-10-07,34187,1672
2021-11-06,31535,1452
2021-12-06,27570,895
2022-01-05,28613,1106
2022-02-04,27062,310
2022-03-06,27643,351
2022-04-05,31775,1431
2022-05-05,24059,934
2022-06-04,27919,1188
2022-07-04,29338,792
2022-08-03,29565,1231
2022-09-02,23811,501
2022-10-02,34450,1396
2022-11-01,24893,538
2022-12-01,25190,911
2022-12-31,25970,539
2023-01-30,28370,1149
2023-03-01,27127,536
2023-03-31,26133,707
2023-04-30,27181,722
2023-05-30,36094,555
2023-06-29,35251,1289
2023-07-29,27163,1332
2023-08-28,32965,931
2023-09-27,33844,999
2023-10-27,36340,1036
2023-11-26,34350,688
2023-12-26,29861,899
2024-01-25,35293,737
2024-02-24,36454,824
2024-03-25,25207,830
2024-04-24,26642,479
2024-05-24,25989,1172
2024-06-23,30121,406
2024-07-23,26490,956
