date,cases,deaths
2000-01-01,1462207,12223
2001-01-01,1425831,10678
2002-01-01,1403043,10512
2003-01-01,1384784,11126
2004-01-01,1345399,10418
2005-01-01,1393347,10562
2006-01-01,1333002,11528
2007-01-01,1303428,11325
2008-01-01,1318610,11561
2009-01-01,1291088,9894
2010-01-01,1219315,10304
2011-01-01,1223797,10610
2012-01-01,1212062,9326
2013-01-01,1192530,9613
2014-01-01,1152699,9509
2015-01-01,1153288,9881
2016-01-01,1165435,8409
2017-01-01,1115555,8400
2018-01-01,1087528,9467
2019-01-01,1104763,9100
2020-01-01,1106250,8536
2021-01-01,1080859,8988
2022-01-01,1046260,8944
2023-01-01,1046687,7976
2024-01-01,1014452,8537
2025-01-01,1029801,7616
