date,cases,deaths
2000-01-01,450,7
2000-01-31,621,15
2000-03-01,495,19
2000-03-31,632,21
2000-04-30,649,27
2000-05-30,529,15
2000-06-29,560,25
2000-07-29,674,27
2000-08-28,736,14
2000-09-27,589,6
2000-10-27,622,23
2000-11-26,770,35
2000-12-26,745,9
2001-01-25,680,8
2001-02-24,892,33
2001-03-26,761,30
2001-04-25,761,14
2001-05-25,777,16
2001-06-24,776,26
2001-07-24,1154,51
2001-08-23,1085,48
2001-09-22,979,10
2001-10-22,1151,44
2001-11-21,1226,30
2001-12-21,1293,62
2002-01-20,1090,49
2002-02-19,1248,61
2002-03-21,1045,46
2002-04-20,1419,24
2002-05-20,1307,32
2002-06-19,1075,46
2002-07-19,1157,40
2002-08-18,1093,52
2002-09-17,1433,19
2002-10-17,1617,33
2002-11-16,1324,63
2002-12-16,1137,20
2003-01-15,1145,43
2003-02-14,1234,58
2003-03-16,1614,35
2003-04-15,1349,27
2003-05-15,1751,76
2003-06-14,1591,70
2003-07-14,1864,92
2003-08-13,1312,58
2003-09-12,1640,49
2003-10-12,1667,23
2003-11-11,1761,68
2003-12-11,1697,64
2004-01-10,1833,81
2004-02-09,1884,39
2004-03-10,1667,72
2004-04-09,1597,43
2004-05-09,1522,37
2004-06-08,1879,53
2004-07-08,1569,39
2004-08-07,2014,65
2004-09-06,1603,62
2004-10-06,2093,38
2004-11-05,2005,97
2004-12-05,1652,42
2005-01-04,1859,49
2005-02-03,2344,116
2005-03-05,2212,103
2005-04-04,1755,49
2005-05-04,2502,86
2005-06-03,2333,106
2005-07-03,2446,27
2005-08-02,2248,52
2005-09-01,2385,68
2005-10-01,2040,101
2005-10-31,2379,48
2005-11-30,2523,121
2005-12-30,2717,79
2006-01-29,2235,110
2006-02-28,2769,117
2006-03-30,2206,75
2006-04-29,2552,53
2006-05-29,2841,105
2006-06-28,2903,63
2006-07-28,2269,96
2006-08-27,2353,38
2006-09-26,3001,132
2006-10-26,2490,109
2006-11-25,2716,69
2006-12-25,2202,62
2007-01-24,2718,92
2007-02-23,2471,73
2007-03-25,2808,57
2007-04-24,2194,67
2007-05-24,3143,83
2007-06-23,2225,30
2007-07-23,2918,96
2007-08-22,3107,66
2007-09-21,2552,70
2007-10-21,2431,43
2007-11-20,2762,114
2007-12-20,3098,70
2008-01-19,3436,109
2008-02-18,2471,65
2008-03-19,2741,125
2008-04-18,2873,29
2008-05-18,3008,149
2008-06-17,3687,71
2008-07-17,3153,101
2008-08-16,2618,100
2008-09-15,3429,166
2008-10-15,3454,120
2008-11-14,3401,154
2008-12-14,3352,119
2009-01-13,3884,99
2009-02-12,3214,104
2009-03-14,3498,76
2009-04-13,3260,92
2009-05-13,3579,68
2009-06-12,3356,85
2009-07-12,3006,68
2009-08-11,3000,141
2009-09-10,3009,126
2009-10-10,3727,132
2009-11-09,3837,159
2009-12-09,3659,98
2010-01-08,3699,144
2010-02-07,2921,93
2010-03-09,3903,168
2010-04-08,4026,123
2010-05-08,3956,193
2010-06-07,3974,102
2010-07-07,3335,76
2010-08-06,4286,91
2010-09-05,3210,32
2010-10-05,4255,151
2010-11-04,3932,60
2010-12-04,3151,143
2011-01-03,3874,84
2011-02-02,4346,86
2011-03-04,3138,155
2011-04-03,3169,57
2011-05-03,4446,142
2011-06-02,3842,90
2011-07-02,3354,87
2011-08-01,3395,38
2011-08-31,3436,125
2011-09-30,3750,44
2011-10-30,4750,158
2011-11-29,3557,102
2011-12-29,3552,36
2012-01-28,3553,161
2012-02-27,3928,111
2012-03-28,3588,103
2012-04-27,3425,95
2012-05-27,3471,130
2012-06-26,3844,152
2012-07-26,3927,186
2012-08-25,3577,54
2012-09-24,5155,256
2012-10-24,4113,103
2012-11-23,4373,45
2012-12-23,5014,85
2013-01-22,4089,139
2013-02-21,3762,106
2013-03-23,4059,156
2013-04-22,5372,257
2013-05-22,5195,142
2013-06-21,3839,55
2013-07-21,5295,64
2013-08-20,5550,176
2013-09-19,5213,180
2013-10-19,4418,188
2013-11-18,5597,132
2013-12-18,4905,130
2014-01-17,4452,115
2014-02-16,4016,49
2014-03-18,4286,114
2014-04-17,5620,247
2014-05-17,4017,159
2014-06-16,4562,57
2014-07-16,5810,272
2014-08-15,5664,247
2014-09-14,3989,44
2014-10-14,5669,87
2014-11-13,5401,188
2014-12-13,4264,130
2015-01-12,4525,98
2015-02-11,6023,110
2015-03-13,5976,193
2015-04-12,5717,100
2015-05-12,5463,212
2015-06-11,6171,209
2015-07-11,4263,204
2015-08-10,5555,266
2015-09-09,5593,272
2015-10-09,4383,52
2015-11-08,4415,45
2015-12-08,5278,125
2016-01-07,5910,61
2016-02-06,6257,285
2016-03-07,5828,93
2016-04-06,4816,164
2016-05-06,5216,147
2016-06-05,5033,56
2016-07-05,4582,217
2016-08-04,6421,215
2016-09-03,5541,230
2016-10-03,6075,212
2016-11-02,5764,106
2016-12-02,4828,176
2017-01-01,5403,214
2017-01-31,4660,75
2017-03-02,5181,212
2017-04-01,6360,316
2017-05-01,5858,287
2017-05-31,5505,251
2017-06-30,6661,142
2017-07-30,6961,237
2017-08-29,6364,300
2017-09-28,5164,216
2017-10-28,5772,117
2017-11-27,5963,85
2017-12-27,5239,239
2018-01-26,6614,191
2018-02-25,4820,206
2018-03-27,5700,236
2018-04-26,5237,162
2018-05-26,6260,287
2018-06-25,7031,200
2018-07-25,6975,285
2018-08-24,5371,72
2018-09-23,5985,123
2018-10-23,6485,249
2018-11-22,6748,168
2018-12-22,6583,210
2019-01-21,7517,120
2019-02-20,6317,296
2019-03-22,7599,269
2019-04-21,7156,324
2019-05-21,7078,179
2019-06-20,5412,145
2019-07-20,5662,222
2019-08-19,5530,196
2019-09-18,5485,256
2019-10-18,6237,211
2019-11-17,6140,167
2019-12-17,6064,132
2020-01-16,7371,219
2020-02-15,6598,258
2020-03-16,7851,187
2020-04-15,7444,366
2020-05-15,6642,312
2020-06-14,5896,223
2020-07-14,6460,308
2020-08-13,5719,85
