date,cases,deaths
2000-01-01,438,17
2000-01-31,520,13
2000-03-01,611,22
2000-03-31,642,16
2000-04-30,675,20
2000-05-30,628,19
2000-06-29,585,6
2000-07-29,766,11
2000-08-28,584,18
2000-09-27,717,10
2000-10-27,827,32
2000-11-26,628,18
2000-12-26,857,20
2001-01-25,964,29
2001-02-24,687,14
2001-03-26,965,40
2001-04-25,929,22
2001-05-25,827,19
2001-06-24,1053,35
2001-07-24,1001,27
2001-08-23,1030,49
2001-09-22,873,14
2001-10-22,947,34
2001-11-21,924,29
2001-12-21,923,33
2002-01-20,1047,42
2002-02-19,956,15
2002-03-21,1156,13
2002-04-20,962,37
2002-05-20,1076,14
2002-06-19,1427,61
2002-07-19,1430,67
2002-08-18,1320,28
2002-09-17,1071,22
2002-10-17,1305,18
2002-11-16,1412,56
2002-12-16,1389,25
2003-01-15,1180,12
2003-02-14,1569,32
2003-03-16,1355,41
2003-04-15,1682,39
2003-05-15,1420,53
2003-06-14,1753,74
2003-07-14,1391,27
2003-08-13,1291,55
2003-09-12,1779,33
2003-10-12,1752,42
2003-11-11,1717,43
2003-12-11,1561,60
2004-01-10,1992,49
2004-02-09,1433,54
2004-03-10,1825,65
2004-04-09,1578,73
2004-05-09,1693,27
2004-06-08,2065,29
2004-07-08,1572,36
2004-08-07,1824,20
2004-09-06,1559,74
2004-10-06,1675,21
2004-11-05,1818,58
2004-12-05,2370,118
2005-01-04,1843,53
2005-02-03,2112,66
2005-03-05,1707,71
2005-04-04,1736,53
2005-05-04,2148,60
2005-06-03,1858,50
2005-07-03,2217,22
2005-08-02,2296,80
2005-09-01,2647,120
2005-10-01,1842,39
2005-10-31,2318,110
2005-11-30,2517,64
2005-12-30,2695,28
2006-01-29,2467,55
2006-02-28,2301,43
2006-03-30,2337,79
2006-04-29,2100,55
2006-05-29,2129,51
2006-06-28,2036,99
2006-07-28,2207,64
2006-08-27,2170,62
2006-09-26,2778,66
2006-10-26,3059,65
2006-11-25,2298,99
2006-12-25,2476,55
2007-01-24,2375,42
2007-02-23,2879,106
2007-03-25,2587,122
2007-04-24,2713,127
2007-05-24,3162,83
2007-06-23,2943,34
2007-07-23,3276,66
2007-08-22,2941,63
2007-09-21,2949,86
2007-10-21,2556,119
2007-11-20,2777,59
2007-12-20,3126,99
2008-01-19,3521,45
2008-02-18,2494,114
2008-03-19,3176,59
2008-04-18,3318,67
2008-05-18,3160,79
2008-06-17,3056,109
2008-07-17,3082,56
2008-08-16,3389,149
2008-09-15,2804,33
2008-10-15,2708,65
2008-11-14,3293,36
2008-12-14,3617,135
2009-01-13,3287,149
2009-02-12,3391,56
2009-03-14,2796,70
2009-04-13,3504,44
2009-05-13,2767,113
2009-06-12,3215,117
2009-07-12,4049,180
2009-08-11,3719,93
2009-09-10,3526,49
2009-10-10,2971,91
2009-11-09,2894,53
2009-12-09,3425,156
2010-01-08,4007,40
2010-02-07,3459,170
2010-03-09,3914,71
2010-04-08,2922,37
2010-05-08,3465,45
2010-06-07,3382,153
2010-07-07,3565,36
2010-08-06,3674,55
2010-09-05,3648,128
2010-10-05,4047,168
2010-11-04,3893,110
2010-12-04,4469,121
2011-01-03,3494,40
2011-02-02,4320,82
2011-03-04,4054,144
2011-04-03,4632,66
2011-05-03,3337,101
2011-06-02,3848,109
2011-07-02,3829,160
2011-08-01,4647,127
2011-08-31,4823,55
2011-09-30,3386,134
2011-10-30,4184,117
2011-11-29,4257,164
2011-12-29,3519,101
2012-01-28,3896,170
2012-02-27,5004,167
2012-03-28,4318,172
2012-04-27,3886,87
2012-05-27,5034,53
2012-06-26,4469,181
2012-07-26,4035,135
2012-08-25,4442,221
2012-09-24,4289,49
2012-10-24,4794,121
2012-11-23,4636,153
2012-12-23,4948,80
2013-01-22,4787,133
2013-02-21,4016,125
2013-03-23,3765,117
2013-04-22,4722,210
2013-05-22,5160,134
2013-06-21,4901,67
2013-07-21,5377,89
2013-08-20,5315,211
2013-09-19,3924,86
2013-10-19,4576,197
2013-11-18,3874,189
2013-12-18,5600,239
2014-01-17,5056,190
2014-02-16,5736,176
2014-03-18,5354,115
2014-04-17,4006,134
2014-05-17,5610,113
2014-06-16,4098,44
2014-07-16,5455,212
2014-08-15,5098,86
2014-09-14,5609,136
2014-10-14,5867,154
2014-11-13,4107,147
2014-12-13,5626,233
2015-01-12,4739,159
2015-02-11,5989,209
2015-03-13,4387,170
2015-04-12,4497,68
2015-05-12,5275,68
2015-06-11,5738,277
2015-07-11,6244,210
2015-08-10,6240,165
2015-09-09,4681,170
2015-10-09,5380,228
2015-11-08,5589,241
2015-12-08,5167,195
2016-01-07,5178,213
2016-02-06,5076,172
2016-03-07,4488,125
2016-04-06,5593,214
2016-05-06,5069,208
2016-06-05,4672,111
2016-07-05,5124,147
2016-08-04,4944,155
2016-09-03,5777,226
2016-10-03,5843,182
2016-11-02,4683,172
2016-12-02,5900,267
2017-01-01,5425,120
2017-01-31,5333,128
2017-03-02,5875,121
2017-04-01,6442,138
2017-05-01,5284,225
2017-05-31,5282,210
2017-06-30,6176,194
2017-07-30,6535,122
2017-08-29,6652,295
2017-09-28,5182,236
2017-10-28,5735,189
2017-11-27,5210,256
2017-12-27,5799,195
2018-01-26,6615,190
2018-02-25,6135,177
2018-03-27,7253,244
2018-04-26,6447,215
2018-05-26,7239,126
2018-06-25,6343,160
2018-07-25,5101,136
2018-08-24,5815,181
2018-09-23,5363,134
2018-10-23,6427,163
2018-11-22,6439,135
2018-12-22,5456,165
2019-01-21,5257,80
2019-02-20,5809,159
2019-03-22,6637,236
2019-04-21,6963,139
2019-05-21,7139,81
2019-06-20,6929,340
2019-07-20,6803,249
2019-08-19,5929,178
2019-09-18,6763,307
2019-10-18,5743,167
2019-11-17,6879,283
2019-12-17,6998,271
2020-01-16,7808,253
2020-02-15,7184,251
2020-03-16,6489,78
2020-04-15,6711,70
2020-05-15,6046,223
2020-06-14,6536,312
2020-07-14,6456,83
2020-08-13,6173,245
2020-09-12,7695,322
2020-10-12,5752,90
2020-11-11,6511,158
2020-12-11,6846,223
2021-01-10,6490,112
2021-02-09,5837,152
2021-03-11,8048,273
2021-04-10,8353,143
2021-05-10,6292,286
2021-06-09,8373,262
2021-07-09,8097,138
2021-08-08,7605,334
2021-09-07,6465,291
2021-10-07,7918,332
2021-11-06,6236,174
2021-12-06,7278,128
2022-01-05,6084,159
2022-02-04,6321,256
2022-03-06,7663,222
2022-04-05,8622,403
2022-05-05,7514,112
2022-06-04,7969,307
2022-07-04,8612,173
2022-08-03,7451,174
2022-09-02,8528,113
2022-10-02,7318,212
2022-11-01,8044,384
2022-12-01,8313,383
2022-12-31,7387,287
2023-01-30,8464,328
2023-03-01,6752,180
2023-03-31,8771,268
2023-04-30,8017,138
2023-05-30,8059,295
2023-06-29,6247,133
2023-07-29,6662,304
2023-08-28,9060,309
2023-09-27,8600,107
2023-10-27,8094,315
2023-11-26,7289,287
2023-12-26,7251,321
2024-01-25,8512,217
2024-02-24,6881,75
2024-03-25,7346,126
2024-04-24,8767,337
