date,cases,deaths
2000-01-01,1304730,10617
2001-01-01,1238554,9031
2002-01-01,1248258,10666
2003-01-01,1250006,10888
2004-01-01,1226493,9348
2005-01-01,1173001,9007
2006-01-01,1162409,8401
2007-01-01,1134891,9575
2008-01-01,1108612,8433
2009-01-01,1090299,8610
2010-01-01,1117115,9811
2011-01-01,1100435,8517
2012-01-01,1092611,8304
2013-01-01,1055451,8062
2014-01-01,1057495,8445
2015-01-01,1021783,7630
2016-01-01,1000578,7849
2017-01-01,974016,8493
2018-01-01,950883,7767
2019-01-01,967840,7467
2020-01-01,937923,7969
2021-01-01,927264,7020
2022-01-01,907720,7043
2023-01-01,898037,7416
2024-01-01,870112,6450
2025-01-01,856705,6937
