date,cases,deaths
2000-01-01,569,11
2000-01-31,443,20
2000-03-01,565,15
2000-03-31,587,16
2000-04-30,581,24
2000-05-30,541,15
2000-06-29,769,24
2000-07-29,708,11
2000-08-28,688,24
2000-09-27,866,26
2000-10-27,863,18
2000-11-26,721,30
2000-12-26,810,17
2001-01-25,884,34
2001-02-24,942,10
2001-03-26,741,14
2001-04-25,780,28
2001-05-25,1109,54
2001-06-24,1137,30
2001-07-24,1081,27
2001-08-23,1042,23
2001-09-22,916,24
2001-10-22,1189,14
2001-11-21,1009,48
2001-12-21,1273,56
2002-01-20,995,20
2002-02-19,1085,19
2002-03-21,1390,66
2002-04-20,1146,48
2002-05-20,1236,49
2002-06-19,1058,15
2002-07-19,1198,59
2002-08-18,1136,46
2002-09-17,1453,54
2002-10-17,1212,44
2002-11-16,1597,23
2002-12-16,1183,19
2003-01-15,1217,22
2003-02-14,1445,27
2003-03-16,1525,38
2003-04-15,1329,14
2003-05-15,1517,37
2003-06-14,1794,86
2003-07-14,1309,23
2003-08-13,1668,42
2003-09-12,1880,73
2003-10-12,1696,60
2003-11-11,1775,60
2003-12-11,1745,43
2004-01-10,1858,80
2004-02-09,2064,48
2004-03-10,1636,37
2004-04-09,1845,64
2004-05-09,1469,20
2004-06-08,1576,18
2004-07-08,2016,72
2004-08-07,1616,48
2004-09-06,2139,54
2004-10-06,1952,23
2004-11-05,1895,36
2004-12-05,1649,82
2005-01-04,1941,73
2005-02-03,2108,27
2005-03-05,2151,103
2005-04-04,2299,104
2005-05-04,1962,92
2005-06-03,2518,32
2005-07-03,2008,62
2005-08-02,2637,125
2005-09-01,2416,65
2005-10-01,2547,46
2005-10-31,2345,23
2005-11-30,2413,109
2005-12-30,2722,106
2006-01-29,2469,88
2006-02-28,2801,135
2006-03-30,2132,56
2006-04-29,1950,91
2006-05-29,2712,115
2006-06-28,2808,124
2006-07-28,2569,34
2006-08-27,2123,71
2006-09-26,2242,91
2006-10-26,2224,80
2006-11-25,2477,29
2006-12-25,2196,60
2007-01-24,2662,110
2007-02-23,2778,76
2007-03-25,2211,109
2007-04-24,2601,78
2007-05-24,2336,30
2007-06-23,2814,28
2007-07-23,3214,104
2007-08-22,3310,150
2007-09-21,2701,101
2007-10-21,2652,46
2007-11-20,2493,61
2007-12-20,2381,26
2008-01-19,3517,46
2008-02-18,2970,98
2008-03-19,3392,113
2008-04-18,3304,74
2008-05-18,3420,122
2008-06-17,2809,35
2008-07-17,3020,71
2008-08-16,2700,56
2008-09-15,3610,60
2008-10-15,2579,95
2008-11-14,2635,104
2008-12-14,3209,71
2009-01-13,2614,104
2009-02-12,3241,82
2009-03-14,3118,33
2009-04-13,3912,172
2009-05-13,3905,110
2009-06-12,3718,109
2009-07-12,3592,56
2009-08-11,2818,94
2009-09-10,3316,70
2009-10-10,3527,148
2009-11-09,4124,171
2009-12-09,3710,170
2010-01-08,3059,142
2010-02-07,3517,82
2010-03-09,4121,178
2010-04-08,3557,49
2010-05-08,3608,77
2010-06-07,3688,179
2010-07-07,3359,47
2010-08-06,3637,41
2010-09-05,3236,60
2010-10-05,3419,39
2010-11-04,3394,65
2010-12-04,3617,161
2011-01-03,3415,88
2011-02-02,3533,101
2011-03-04,3746,171
2011-04-03,3368,102
2011-05-03,3195,131
2011-06-02,3194,106
2011-07-02,3637,61
2011-08-01,4479,77
2011-08-31,3956,164
2011-09-30,4299,47
2011-10-30,4479,214
2011-11-29,3302,51
2011-12-29,4836,192
2012-01-28,4444,65
2012-02-27,4375,173
2012-03-28,4973,164
2012-04-27,4979,51
2012-05-27,3978,42
2012-06-26,3980,198
2012-07-26,4940,160
2012-08-25,4966,157
2012-09-24,4621,173
2012-10-24,3591,163
2012-11-23,3724,114
2012-12-23,4852,66
2013-01-22,4580,144
2013-02-21,4184,48
2013-03-23,4788,123
2013-04-22,4450,186
2013-05-22,4114,53
2013-06-21,4781,143
2013-07-21,4182,143
2013-08-20,5498,142
2013-09-19,4149,175
2013-10-19,3976,72
2013-11-18,4749,66
2013-12-18,5319,185
2014-01-17,3895,52
2014-02-16,5207,79
2014-03-18,4913,50
2014-04-17,4586,57
2014-05-17,5666,150
2014-06-16,5458,191
2014-07-16,5232,230
2014-08-15,4740,196
2014-09-14,4308,77
2014-10-14,4300,184
2014-11-13,5049,171
2014-12-13,5939,107
2015-01-12,4433,124
2015-02-11,4338,141
2015-03-13,5038,178
2015-04-12,5890,196
2015-05-12,6196,307
2015-06-11,4741,206
2015-07-11,4421,183
2015-08-10,5455,196
2015-09-09,4975,179
2015-10-09,4326,162
2015-11-08,5681,102
2015-12-08,4567,91
2016-01-07,5902,195
2016-02-06,4826,226
2016-03-07,4877,219
2016-04-06,5603,228
2016-05-06,6387,203
2016-06-05,6345,79
2016-07-05,6260,158
2016-08-04,6473,243
2016-09-03,6113,224
2016-10-03,4756,58
2016-11-02,6434,193
