date,cases,deaths
2000-01-01,116502,877
2001-01-01,113219,920
2002-01-01,106859,916
2003-01-01,108738,807
2004-01-01,105186,859
2005-01-01,106659,767
2006-01-01,101767,741
2007-01-01,104520,881
2008-01-01,98178,855
2009-01-01,98186,855
2010-01-01,96267,698
2011-01-01,93524,807
2012-01-01,97064,701
2013-01-01,94714,718
2014-01-01,90028,771
2015-01-01,88848,713
2016-01-01,88006,674
2017-01-01,86083,689
2018-01-01,88122,642
2019-01-01,84354,686
2020-01-01,84546,662
2021-01-01,80239,664
2022-01-01,81056,603
2023-01-01,79088,683
2024-01-01,79222,660
2025-01-01,76296,606
