date,cases,deaths
2000-01-01,424,13
2000-01-31,565,26
2000-03-01,547,21
2000-03-31,510,10
2000-04-30,537,20
2000-05-30,741,26
2000-06-29,635,29
2000-07-29,758,23
2000-08-28,747,22
2000-09-27,687,10
2000-10-27,873,25
2000-11-26,756,20
2000-12-26,747,25
2001-01-25,918,11
2001-02-24,698,24
2001-03-26,804,37
2001-04-25,1046,29
2001-05-25,1030,15
2001-06-24,971,28
2001-07-24,1034,26
2001-08-23,1081,45
2001-09-22,1086,38
2001-10-22,885,34
2001-11-21,1162,34
2001-12-21,1028,39
2002-01-20,1291,50
2002-02-19,972,35
2002-03-21,1187,32
2002-04-20,1100,54
2002-05-20,1292,39
2002-06-19,1354,50
2002-07-19,1026,47
2002-08-18,1185,54
2002-09-17,1199,33
2002-10-17,1213,24
2002-11-16,1412,62
2002-12-16,1223,50
2003-01-15,1376,30
2003-02-14,1231,27
2003-03-16,1606,53
2003-04-15,1451,14
2003-05-15,1229,49
2003-06-14,1365,18
2003-07-14,1729,54
2003-08-13,1402,25
2003-09-12,1602,72
2003-10-12,1639,26
2003-11-11,1800,43
2003-12-11,1891,63
2004-01-10,1825,36
2004-02-09,2052,99
2004-03-10,1506,28
2004-04-09,2050,92
2004-05-09,1951,41
2004-06-08,2090,64
2004-07-08,1822,49
2004-08-07,1749,25
2004-09-06,1762,58
2004-10-06,2264,34
2004-11-05,1585,74
2004-12-05,2076,40
2005-01-04,2285,94
2005-02-03,2224,32
2005-03-05,2291,88
2005-04-04,1848,55
2005-05-04,1880,78
2005-06-03,2532,124
2005-07-03,1837,39
2005-08-02,2085,29
2005-09-01,2441,46
2005-10-01,2567,38
2005-10-31,2053,87
2005-11-30,2352,68
2005-12-30,2519,86
2006-01-29,2378,85
2006-02-28,2420,44
2006-03-30,2204,82
2006-04-29,2084,72
2006-05-29,2584,35
2006-06-28,2653,66
2006-07-28,2477,88
2006-08-27,2303,104
2006-09-26,2682,75
2006-10-26,2257,95
2006-11-25,2873,29
2006-12-25,2985,75
2007-01-24,2812,35
2007-02-23,2180,102
2007-03-25,2324,69
2007-04-24,2766,44
2007-05-24,2730,87
2007-06-23,2695,74
2007-07-23,2428,103
2007-08-22,3012,50
2007-09-21,2892,38
2007-10-21,2676,100
2007-11-20,2390,67
2007-12-20,3507,170
2008-01-19,2526,109
2008-02-18,3355,74
2008-03-19,2796,104
2008-04-18,2433,114
2008-05-18,2737,132
2008-06-17,3077,39
2008-07-17,2592,48
2008-08-16,3222,102
2008-09-15,3586,175
2008-10-15,2624,125
2008-11-14,3489,100
2008-12-14,3427,158
2009-01-13,3167,146
