date,cases,deaths
2000-01-01,550,25
2000-01-31,462,8
2000-03-01,549,21
2000-03-31,541,14
2000-04-30,582,15
2000-05-30,625,19
2000-06-29,700,30
2000-07-29,783,31
2000-08-28,727,16
2000-09-27,615,28
2000-10-27,889,43
2000-11-26,703,10
2000-12-26,697,15
2001-01-25,940,40
2001-02-24,907,21
2001-03-26,822,27
2001-04-25,785,8
2001-05-25,923,20
2001-06-24,981,18
2001-07-24,882,15
2001-08-23,896,39
2001-09-22,822,30
2001-10-22,924,18
2001-11-21,1163,27
2001-12-21,1046,40
2002-01-20,901,12
2002-02-19,1281,45
2002-03-21,1156,36
2002-04-20,1183,58
2002-05-20,1210,47
2002-06-19,1286,46
2002-07-19,1115,48
2002-08-18,1203,60
2002-09-17,1083,13
2002-10-17,1195,45
2002-11-16,1116,50
2002-12-16,1299,16
2003-01-15,1282,13
2003-02-14,1600,20
2003-03-16,1266,15
2003-04-15,1666,78
2003-05-15,1268,34
2003-06-14,1744,72
2003-07-14,1627,52
2003-08-13,1860,21
2003-09-12,1511,60
2003-10-12,1489,38
2003-11-11,1874,93
2003-12-11,1588,46
2004-01-10,1519,30
2004-02-09,1647,58
2004-03-10,1504,24
2004-04-09,2085,102
2004-05-09,1853,86
2004-06-08,2053,74
2004-07-08,1573,78
2004-08-07,2121,105
2004-09-06,1789,75
2004-10-06,2133,44
2004-11-05,1833,34
2004-12-05,2171,51
2005-01-04,1758,38
2005-02-03,1800,59
2005-03-05,1692,78
2005-04-04,2111,89
2005-05-04,2183,22
2005-06-03,2232,68
2005-07-03,2349,80
2005-08-02,2152,49
2005-09-01,2131,105
2005-10-01,1911,64
2005-10-31,2126,65
2005-11-30,2227,83
2005-12-30,2496,123
2006-01-29,2374,89
2006-02-28,2550,121
2006-03-30,2150,86
2006-04-29,2695,65
2006-05-29,2539,123
2006-06-28,2325,101
2006-07-28,2999,98
2006-08-27,2841,42
2006-09-26,2213,61
2006-10-26,2856,71
2006-11-25,2635,90
2006-12-25,2734,90
2007-01-24,2297,54
2007-02-23,3167,142
2007-03-25,2868,62
2007-04-24,2904,39
2007-05-24,2380,50
2007-06-23,2772,100
2007-07-23,2374,55
2007-08-22,2791,87
2007-09-21,2727,104
2007-10-21,3115,63
2007-11-20,2903,127
2007-12-20,3409,167
2008-01-19,3389,147
2008-02-18,2874,38
2008-03-19,2460,67
2008-04-18,3199,97
2008-05-18,3048,71
2008-06-17,2909,128
2008-07-17,3637,88
2008-08-16,3728,81
2008-09-15,3490,122
2008-10-15,3023,89
2008-11-14,2698,93
2008-12-14,3494,118
2009-01-13,3056,73
2009-02-12,3204,32
2009-03-14,2842,131
2009-04-13,2729,121
2009-05-13,3402,166
2009-06-12,3039,35
2009-07-12,2804,108
2009-08-11,2892,97
2009-09-10,4123,145
2009-10-10,3688,130
2009-11-09,3745,109
2009-12-09,3617,156
2010-01-08,3930,92
2010-02-07,3131,152
2010-03-09,4144,197
2010-04-08,3969,65
2010-05-08,3485,131
2010-06-07,3236,68
2010-07-07,3833,157
2010-08-06,3018,68
2010-09-05,4407,106
2010-10-05,3722,120
2010-11-04,4458,152
2010-12-04,3494,157
2011-01-03,3630,180
2011-02-02,3791,64
2011-03-04,4062,84
2011-04-03,3888,128
2011-05-03,3623,94
2011-06-02,4018,127
2011-07-02,3687,90
2011-08-01,3811,147
2011-08-31,3472,121
2011-09-30,3688,156
2011-10-30,4499,73
2011-11-29,3940,165
2011-12-29,3839,177
2012-01-28,3829,110
2012-02-27,4228,171
2012-03-28,4446,217
2012-04-27,4785,105
2012-05-27,4487,191
2012-06-26,5092,56
2012-07-26,5080,251
2012-08-25,3721,126
2012-09-24,3827,66
2012-10-24,4382,51
2012-11-23,4182,95
2012-12-23,4573,172
2013-01-22,4466,133
2013-02-21,4872,57
2013-03-23,5359,123
2013-04-22,4493,222
2013-05-22,4112,56
2013-06-21,4040,111
2013-07-21,4633,53
2013-08-20,3918,168
2013-09-19,4163,46
2013-10-19,4711,207
2013-11-18,4741,206
2013-12-18,5242,248
2014-01-17,5702,90
2014-02-16,4638,177
2014-03-18,4903,77
2014-04-17,4417,191
2014-05-17,3985,142
2014-06-16,5275,176
2014-07-16,4794,223
2014-08-15,4388,173
2014-09-14,5242,149
2014-10-14,4036,145
2014-11-13,5413,85
2014-12-13,4621,201
2015-01-12,5245,59
2015-02-11,6026,223
2015-03-13,4437,79
2015-04-12,5977,271
2015-05-12,4468,45
2015-06-11,4724,94
2015-07-11,4734,59
2015-08-10,5933,265
2015-09-09,5608,272
2015-10-09,4512,148
2015-11-08,4387,171
2015-12-08,5899,252
2016-01-07,4421,129
2016-02-06,5957,211
2016-03-07,4702,96
2016-04-06,6511,143
2016-05-06,6013,225
2016-06-05,4954,97
2016-07-05,6138,187
2016-08-04,5033,93
2016-09-03,4487,207
2016-10-03,6663,241
2016-11-02,5343,69
2016-12-02,5111,140
2017-01-01,4655,194
2017-01-31,6389,232
2017-03-02,6759,237
2017-04-01,4631,174
2017-05-01,5036,208
2017-05-31,5717,164
2017-06-30,5392,116
2017-07-30,5527,190
2017-08-29,6428,175
2017-09-28,5000,73
2017-10-28,5889,199
2017-11-27,5188,255
2017-12-27,6455,108
2018-01-26,5046,221
2018-02-25,5910,91
2018-03-27,6375,274
2018-04-26,5880,233
2018-05-26,5901,239
2018-06-25,5294,179
2018-07-25,7183,126
2018-08-24,5118,103
2018-09-23,5780,154
2018-10-23,6835,331
2018-11-22,5094,136
2018-12-22,7198,291
2019-01-21,5989,103
2019-02-20,5653,65
2019-03-22,7025,87
2019-04-21,7308,292
2019-05-21,6887,106
2019-06-20,7145,352
2019-07-20,7032,241
2019-08-19,7512,228
2019-09-18,6313,97
2019-10-18,6835,198
2019-11-17,5692,236
2019-12-17,7614,322
2020-01-16,5572,78
2020-02-15,6114,128
2020-03-16,5955,100
2020-04-15,7182,100
2020-05-15,7857,302
2020-06-14,5423,135
2020-07-14,6332,123
2020-08-13,8021,328
2020-09-12,5664,154
2020-10-12,7763,307
2020-11-11,7632,122
2020-12-11,6106,78
2021-01-10,6837,301
2021-02-09,6535,224
2021-03-11,7664,263
2021-04-10,6197,77
2021-05-10,7746,375
2021-06-09,7744,353
2021-07-09,7391,190
2021-08-08,6812,133
2021-09-07,6937,250
2021-10-07,6145,283
2021-11-06,6128,292
2021-12-06,8008,284
2022-01-05,7050,284
2022-02-04,6288,237
2022-03-06,8334,377
2022-04-05,6062,261
2022-05-05,7694,86
2022-06-04,7827,287
2022-07-04,8032,134
2022-08-03,6834,186
2022-09-02,6600,144
2022-10-02,6886,240
2022-11-01,6522,102
2022-12-01,8155,250
2022-12-31,6553,168
2023-01-30,7261,133
2023-03-01,8100,151
2023-03-31,8808,427
2023-04-30,8274,135
2023-05-30,6967,98
2023-06-29,6442,288
2023-07-29,7480,128
2023-08-28,8695,169
2023-09-27,8398,234
2023-10-27,8141,172
2023-11-26,8471,211
2023-12-26,8896,238
2024-01-25,8092,234
2024-02-24,6948,133
2024-03-25,6394,194
2024-04-24,8152,100
2024-05-24,9032,356
2024-06-23,7976,160
2024-07-23,8253,183
