date,cases,deaths
2000-01-01,588,11
2000-01-31,457,17
2000-03-01,475,14
2000-03-31,667,23
2000-04-30,504,7
2000-05-30,506,14
2000-06-29,690,25
2000-07-29,799,19
2000-08-28,778,16
2000-09-27,740,22
2000-10-27,772,25
2000-11-26,715,20
2000-12-26,888,28
2001-01-25,734,7
2001-02-24,685,15
2001-03-26,708,14
2001-04-25,844,36
2001-05-25,962,27
2001-06-24,1082,30
2001-07-24,863,37
2001-08-23,958,37
2001-09-22,1148,56
2001-10-22,1223,12
2001-11-21,1210,47
2001-12-21,917,40
2002-01-20,1288,32
2002-02-19,1280,30
2002-03-21,1224,22
2002-04-20,1324,19
2002-05-20,1078,29
2002-06-19,1360,16
2002-07-19,1094,27
2002-08-18,1425,48
2002-09-17,1162,43
2002-10-17,1152,21
2002-11-16,1548,66
2002-12-16,1312,14
2003-01-15,1502,60
2003-02-14,1553,61
2003-03-16,1637,32
2003-04-15,1280,49
2003-05-15,1648,48
2003-06-14,1624,41
2003-07-14,1509,62
2003-08-13,1348,31
2003-09-12,1830,82
2003-10-12,1503,19
2003-11-11,1512,64
2003-12-11,1593,53
2004-01-10,1899,87
2004-02-09,1512,51
2004-03-10,2016,67
2004-04-09,1971,41
2004-05-09,1762,23
2004-06-08,2056,36
2004-07-08,1866,75
2004-08-07,1940,62
2004-09-06,2107,68
2004-10-06,1899,32
2004-11-05,2129,43
2004-12-05,1868,30
2005-01-04,2426,110
2005-02-03,1983,50
2005-03-05,1736,32
2005-04-04,2152,49
2005-05-04,1838,31
2005-06-03,2033,63
2005-07-03,1837,37
2005-08-02,2311,92
2005-09-01,1834,75
2005-10-01,2416,102
2005-10-31,2598,73
2005-11-30,2623,82
2005-12-30,1910,66
2006-01-29,1941,31
2006-02-28,2631,47
2006-03-30,1944,85
2006-04-29,2248,112
2006-05-29,2011,51
2006-06-28,2578,81
2006-07-28,2378,32
2006-08-27,2698,131
2006-09-26,2375,27
2006-10-26,2608,46
2006-11-25,2690,35
2006-12-25,2959,106
2007-01-24,2273,59
2007-02-23,2408,108
2007-03-25,2709,107
2007-04-24,2537,103
2007-05-24,2554,112
2007-06-23,3023,145
2007-07-23,3238,33
2007-08-22,2734,133
2007-09-21,2407,116
2007-10-21,2426,48
2007-11-20,2465,96
2007-12-20,2754,51
2008-01-19,2884,131
2008-02-18,2833,83
2008-03-19,3182,54
2008-04-18,3061,59
2008-05-18,3521,143
2008-06-17,2895,42
2008-07-17,2989,65
2008-08-16,3510,68
2008-09-15,3308,88
2008-10-15,2923,81
2008-11-14,2847,140
2008-12-14,3239,49
2009-01-13,3499,62
2009-02-12,3459,136
2009-03-14,3183,86
2009-04-13,3019,85
2009-05-13,2762,79
2009-06-12,2973,111
2009-07-12,3174,91
2009-08-11,3293,67
2009-09-10,4113,43
2009-10-10,4032,184
2009-11-09,4088,87
2009-12-09,3824,183
2010-01-08,3785,184
2010-02-07,3325,153
2010-03-09,4122,102
2010-04-08,3900,59
2010-05-08,3231,62
2010-06-07,3088,44
2010-07-07,4394,214
2010-08-06,4207,84
2010-09-05,3833,92
2010-10-05,4491,214
2010-11-04,3539,40
2010-12-04,3678,126
2011-01-03,3915,86
2011-02-02,3283,127
2011-03-04,3852,98
2011-04-03,4095,159
2011-05-03,4632,172
2011-06-02,3935,143
2011-07-02,3455,149
2011-08-01,3769,72
2011-08-31,4397,159
2011-09-30,4058,40
2011-10-30,4363,46
2011-11-29,4400,145
2011-12-29,3946,153
2012-01-28,3392,135
2012-02-27,3590,106
2012-03-28,5021,206
2012-04-27,4693,94
2012-05-27,5083,204
2012-06-26,3543,155
2012-07-26,3642,39
2012-08-25,5014,55
2012-09-24,4490,52
2012-10-24,3769,155
2012-11-23,4299,109
2012-12-23,3782,157
2013-01-22,5175,208
2013-02-21,3657,67
2013-03-23,4164,56
2013-04-22,4581,91
2013-05-22,4358,168
2013-06-21,3966,175
2013-07-21,4266,204
2013-08-20,4663,138
2013-09-19,5493,163
2013-10-19,4566,167
2013-11-18,5419,204
2013-12-18,4364,159
2014-01-17,4149,103
2014-02-16,4758,141
2014-03-18,4514,77
2014-04-17,5136,256
2014-05-17,4410,109
2014-06-16,5052,237
2014-07-16,5761,214
2014-08-15,4789,65
2014-09-14,4713,207
2014-10-14,5375,252
2014-11-13,4042,85
2014-12-13,5434,194
2015-01-12,5520,243
2015-02-11,6011,98
2015-03-13,4735,234
2015-04-12,5254,209
2015-05-12,4387,183
2015-06-11,5847,178
2015-07-11,5247,205
2015-08-10,6012,189
2015-09-09,6274,260
2015-10-09,4491,132
2015-11-08,6355,207
2015-12-08,5437,220
2016-01-07,4384,210
2016-02-06,5448,272
2016-03-07,5808,208
2016-04-06,5248,119
2016-05-06,5503,159
2016-06-05,6270,111
2016-07-05,5197,153
2016-08-04,5270,241
2016-09-03,4939,69
2016-10-03,6114,186
2016-11-02,5900,197
2016-12-02,5320,71
2017-01-01,5155,80
2017-01-31,5086,213
2017-03-02,4725,51
2017-04-01,5441,254
2017-05-01,6006,68
2017-05-31,6209,277
2017-06-30,5171,122
2017-07-30,6816,100
2017-08-29,4864,49
2017-09-28,6498,302
2017-10-28,6853,177
2017-11-27,4925,142
2017-12-27,5360,148
2018-01-26,5160,116
2018-02-25,6461,77
2018-03-27,4867,67
2018-04-26,6308,137
2018-05-26,5696,229
2018-06-25,7156,196
2018-07-25,6808,278
2018-08-24,6814,91
2018-09-23,5863,224
2018-10-23,5488,174
2018-11-22,6132,193
2018-12-22,7204,248
2019-01-21,5154,95
2019-02-20,6610,177
2019-03-22,6058,184
2019-04-21,7096,311
2019-05-21,7541,210
2019-06-20,5405,71
2019-07-20,5298,238
2019-08-19,7662,255
2019-09-18,6566,244
2019-10-18,6650,294
2019-11-17,7716,185
2019-12-17,5867,119
2020-01-16,5360,246
2020-02-15,6040,79
2020-03-16,6882,314
2020-04-15,7626,371
2020-05-15,7978,256
2020-06-14,7461,187
2020-07-14,7689,222
2020-08-13,6864,264
2020-09-12,5848,121
2020-10-12,6758,257
2020-11-11,6727,215
2020-12-11,6898,122
2021-01-10,5658,121
2021-02-09,6112,89
2021-03-11,5842,82
2021-04-10,6465,185
2021-05-10,5677,111
2021-06-09,6072,187
2021-07-09,7376,191
2021-08-08,6741,316
2021-09-07,8421,287
2021-10-07,5760,133
2021-11-06,7766,219
