date,cases,deaths
2000-01-01,19518,142
2001-01-01,19528,168
2002-01-01,18613,137
2003-01-01,18226,136
2004-01-01,18860,142
2005-01-01,17573,146
2006-01-01,17779,148
2007-01-01,18030,136
2008-01-01,17111,147
2009-01-01,17273,138
2010-01-01,16772,137
2011-01-01,16241,117
2012-01-01,15883,128
2013-01-01,15522,129
2014-01-01,15407,134
2015-01-01,15116,130
2016-01-01,14951,115
2017-01-01,14885,124
2018-01-01,14821,128
2019-01-01,14326,115
2020-01-01,14419,112
2021-01-01,13999,103
2022-01-01,13985,104
2023-01-01,13535,108
2024-01-01,13436,97
2025-01-01,13482,114
