date,cases,deaths
2000-01-01,943,42
2000-01-31,681,29
2000-03-01,932,21
2000-03-31,920,11
2000-04-30,891,31
2000-05-30,1198,58
2000-06-29,1020,46
2000-07-29,868,27
2000-08-28,1147,32
2000-09-27,1002,29
2000-10-27,1272,56
2000-11-26,1361,53
2000-12-26,1199,12
2001-01-25,1510,32
2001-02-24,1259,46
2001-03-26,1490,58
2001-04-25,1352,28
2001-05-25,1724,17
2001-06-24,1717,58
2001-07-24,1503,18
2001-08-23,1552,19
2001-09-22,1624,77
2001-10-22,1687,78
2001-11-21,1523,49
2001-12-21,1525,23
2002-01-20,1512,46
2002-02-19,1481,72
2002-03-21,1533,54
2002-04-20,1981,98
2002-05-20,1886,55
2002-06-19,1859,54
2002-07-19,2099,32
2002-08-18,2248,107
2002-09-17,2268,90
2002-10-17,2272,95
2002-11-16,1792,67
2002-12-16,2249,96
2003-01-15,2073,83
2003-02-14,2077,72
2003-03-16,2280,72
2003-04-15,2702,83
2003-05-15,2302,24
2003-06-14,2598,83
2003-07-14,2486,33
2003-08-13,2641,106
2003-09-12,2458,87
2003-10-12,2475,36
2003-11-11,2487,86
2003-12-11,2516,56
2004-01-10,2718,60
2004-02-09,2255,85
2004-03-10,3025,135
2004-04-09,2898,136
2004-05-09,2788,66
2004-06-08,3010,137
2004-07-08,2488,45
2004-08-07,2997,116
2004-09-06,2964,89
2004-10-06,2576,62
2004-11-05,3420,161
2004-12-05,2708,115
2005-01-04,3819,123
2005-02-03,3051,82
2005-03-05,3266,67
2005-04-04,3783,61
2005-05-04,2763,86
2005-06-03,4059,70
2005-07-03,3647,112
2005-08-02,4210,121
2005-09-01,3634,76
2005-10-01,2930,54
2005-10-31,4342,107
2005-11-30,4368,88
2005-12-30,3503,173
2006-01-29,4374,66
2006-02-28,3861,71
2006-03-30,4506,134
2006-04-29,3933,100
2006-05-29,3715,181
2006-06-28,4265,191
2006-07-28,3234,42
2006-08-27,4495,143
2006-09-26,3517,56
2006-10-26,3412,84
2006-11-25,3654,132
2006-12-25,4930,195
2007-01-24,4740,116
2007-02-23,4237,95
2007-03-25,3460,103
2007-04-24,3725,144
2007-05-24,4433,143
2007-06-23,4563,138
2007-07-23,4855,139
2007-08-22,5045,61
2007-09-21,3737,109
2007-10-21,3861,89
2007-11-20,4613,190
2007-12-20,5406,151
2008-01-19,5342,185
2008-02-18,4770,69
2008-03-19,5529,88
2008-04-18,4066,158
2008-05-18,5205,204
2008-06-17,4484,85
2008-07-17,4049,194
2008-08-16,4540,92
2008-09-15,4579,224
2008-10-15,5198,128
2008-11-14,5063,235
2008-12-14,5650,70
2009-01-13,4840,150
2009-02-12,5415,167
2009-03-14,6330,147
2009-04-13,5123,191
2009-05-13,4339,199
2009-06-12,4724,132
2009-07-12,5985,267
2009-08-11,5608,172
2009-09-10,4681,50
2009-10-10,4885,86
2009-11-09,6654,307
2009-12-09,6751,315
2010-01-08,5083,71
2010-02-07,6377,128
2010-03-09,4841,230
2010-04-08,4703,47
2010-05-08,4981,83
2010-06-07,6385,154
2010-07-07,7075,95
2010-08-06,5858,76
2010-09-05,5113,103
2010-10-05,6659,207
2010-11-04,6814,165
2010-12-04,6804,308
2011-01-03,6493,145
2011-02-02,5262,127
2011-03-04,5562,200
2011-04-03,7429,286
2011-05-03,5969,114
2011-06-02,5586,230
2011-07-02,7052,158
2011-08-01,5858,274
2011-08-31,5666,267
2011-09-30,6745,229
2011-10-30,5398,246
2011-11-29,6164,91
2011-12-29,7654,222
2012-01-28,6738,261
2012-02-27,7605,319
2012-03-28,7540,322
2012-04-27,6857,275
2012-05-27,8129,375
2012-06-26,7822,95
2012-07-26,6448,96
2012-08-25,8271,284
2012-09-24,6193,120
2012-10-24,7689,184
2012-11-23,8282,326
2012-12-23,5802,193
2013-01-22,5949,76
2013-02-21,7039,340
2013-03-23,6424,232
2013-04-22,7946,91
2013-05-22,8247,175
2013-06-21,7252,224
2013-07-21,6674,151
2013-08-20,8188,265
2013-09-19,7685,88
2013-10-19,7944,330
