date,cases,deaths
2000-01-01,1915,272
2001-01-01,1861,262
2002-01-01,1808,264
2003-01-01,1767,252
2004-01-01,1762,261
2005-01-01,1713,254
2006-01-01,1696,244
2007-01-01,1660,258
2008-01-01,1588,260
2009-01-01,1532,239
2010-01-01,1503,227
2011-01-01,1453,199
2012-01-01,1430,202
2013-01-01,1358,208
2014-01-01,1371,218
2015-01-01,1341,193
2016-01-01,1294,198
2017-01-01,1254,186
2018-01-01,1233,191
2019-01-01,1206,185
2020-01-01,1184,164
2021-01-01,1166,187
2022-01-01,1081,160
2023-01-01,1087,159
2024-01-01,1049,142
2025-01-01,1059,159
