date,cases,deaths
2000-01-01,851,29
2000-01-31,795,24
2000-03-01,902,16
2000-03-31,1010,35
2000-04-30,837,41
2000-05-30,1179,26
2000-06-29,1207,23
2000-07-29,1222,60
2000-08-28,949,43
2000-09-27,1092,32
2000-10-27,1238,31
2000-11-26,1104,33
2000-12-26,1112,16
2001-01-25,1208,40
2001-02-24,1619,24
2001-03-26,1454,64
2001-04-25,1515,15
2001-05-25,1193,48
2001-06-24,1559,28
2001-07-24,1459,70
2001-08-23,1692,71
2001-09-22,1613,35
2001-10-22,1948,30
2001-11-21,1870,83
2001-12-21,1712,24
2002-01-20,1627,22
2002-02-19,2178,27
2002-03-21,2055,41
2002-04-20,1703,43
2002-05-20,1611,37
2002-06-19,1876,88
2002-07-19,2168,54
2002-08-18,1850,22
2002-09-17,2038,25
2002-10-17,2336,99
2002-11-16,1875,93
2002-12-16,2168,44
2003-01-15,2306,36
2003-02-14,2270,67
2003-03-16,2420,28
2003-04-15,2351,82
2003-05-15,2815,51
2003-06-14,2570,34
2003-07-14,2866,60
2003-08-13,2778,112
2003-09-12,2466,58
2003-10-12,2991,69
2003-11-11,3109,150
2003-12-11,2406,75
2004-01-10,2288,33
2004-02-09,2829,36
2004-03-10,2626,64
2004-04-09,2840,110
2004-05-09,3263,105
2004-06-08,2646,104
2004-07-08,2812,65
2004-08-07,3608,147
2004-09-06,3164,105
2004-10-06,3246,75
2004-11-05,3776,173
2004-12-05,3648,108
2005-01-04,3057,132
2005-02-03,2848,138
2005-03-05,3308,60
2005-04-04,3572,36
2005-05-04,3110,36
2005-06-03,3762,66
2005-07-03,3667,124
2005-08-02,2983,51
2005-09-01,2902,117
2005-10-01,3329,38
2005-10-31,4306,76
2005-11-30,3058,114
2005-12-30,3305,106
2006-01-29,3297,74
2006-02-28,3502,63
2006-03-30,3576,137
2006-04-29,3122,57
2006-05-29,4678,57
2006-06-28,3430,153
2006-07-28,4376,66
2006-08-27,4669,169
2006-09-26,4580,78
2006-10-26,4536,125
2006-11-25,4185,90
2006-12-25,3923,74
2007-01-24,3579,44
2007-02-23,3687,81
2007-03-25,4256,185
2007-04-24,3840,104
2007-05-24,4099,48
2007-06-23,4348,86
2007-07-23,3981,71
2007-08-22,4974,55
2007-09-21,5001,72
2007-10-21,5381,210
2007-11-20,4682,103
2007-12-20,4797,181
2008-01-19,4383,168
2008-02-18,3854,55
2008-03-19,4635,210
2008-04-18,5740,165
2008-05-18,5844,71
2008-06-17,5870,223
2008-07-17,4864,130
2008-08-16,5524,131
2008-09-15,5408,171
2008-10-15,5078,93
2008-11-14,4123,198
2008-12-14,5113,95
2009-01-13,5341,180
2009-02-12,5142,191
2009-03-14,4977,245
2009-04-13,6199,244
2009-05-13,4832,187
2009-06-12,4405,49
2009-07-12,4991,214
2009-08-11,4592,192
2009-09-10,5860,68
2009-10-10,5838,66
2009-11-09,5889,86
2009-12-09,4892,227
2010-01-08,6783,261
2010-02-07,6676,108
2010-03-09,4906,103
2010-04-08,4666,198
2010-05-08,5731,183
2010-06-07,5917,87
2010-07-07,4927,137
2010-08-06,5264,83
2010-09-05,6725,161
2010-10-05,7247,311
2010-11-04,6753,74
2010-12-04,5346,236
2011-01-03,5694,164
2011-02-02,5633,275
2011-03-04,6688,285
2011-04-03,5978,140
2011-05-03,6170,241
