date,cases,deaths
2000-01-01,1034391,140239
2001-01-01,1019623,147831
2002-01-01,971077,135951
2003-01-01,949885,148922
2004-01-01,940572,135096
2005-01-01,922006,125281
2006-01-01,885975,132724
2007-01-01,845414,136981
2008-01-01,824737,120053
2009-01-01,839250,115452
2010-01-01,823871,133531
2011-01-01,777691,112266
2012-01-01,748036,116296
2013-01-01,753038,110214
2014-01-01,723738,117806
2015-01-01,695257,104160
2016-01-01,678997,92677
2017-01-01,658055,103149
2018-01-01,661022,90727
2019-01-01,648943,101797
2020-01-01,609556,96175
2021-01-01,611545,90558
2022-01-01,611751,84808
2023-01-01,592769,87174
2024-01-01,556908,80576
2025-01-01,549310,77509
