date,cases,deaths
2000-01-01,6301,905
2001-01-01,6217,959
2002-01-01,5885,876
2003-01-01,5883,950
2004-01-01,5708,924
2005-01-01,5411,739
2006-01-01,5507,876
2007-01-01,5085,747
2008-01-01,4998,706
2009-01-01,4862,664
2010-01-01,4733,681
2011-01-01,4866,741
2012-01-01,4481,732
2013-01-01,4565,646
2014-01-01,4394,708
2015-01-01,4290,587
2016-01-01,4048,579
2017-01-01,4009,620
2018-01-01,4032,569
2019-01-01,3975,601
2020-01-01,3739,553
2021-01-01,3608,525
2022-01-01,3579,557
2023-01-01,3420,534
2024-01-01,3350,478
2025-01-01,3304,544
