date,cases,deaths
2000-01-01,6709,1056
2001-01-01,6639,1013
2002-01-01,6360,872
2003-01-01,6481,931
2004-01-01,5997,817
2005-01-01,5984,928
2006-01-01,5847,873
2007-01-01,5820,785
2008-01-01,5453,809
2009-01-01,5502,792
2010-01-01,5347,833
2011-01-01,5274,869
2012-01-01,4895,767
2013-01-01,4761,686
2014-01-01,4795,783
2015-01-01,4559,624
2016-01-01,4598,622
2017-01-01,4457,631
2018-01-01,4350,702
2019-01-01,4259,641
2020-01-01,4206,627
2021-01-01,4060,606
2022-01-01,3865,571
2023-01-01,3777,560
2024-01-01,3777,611
2025-01-01,3652,517
