date,cases,deaths
2000-01-01,3912571,543868
2001-01-01,3825924,620816
2002-01-01,3674787,536471
2003-01-01,3500159,560611
2004-01-01,3490434,511328
2005-01-01,3454126,567062
2006-01-01,3352440,496901
2007-01-01,3337222,516959
2008-01-01,3239904,507451
2009-01-01,3129459,475951
2010-01-01,3021142,428621
2011-01-01,2865156,454523
2012-01-01,2892067,401102
2013-01-01,2826662,382175
2014-01-01,2654268,408382
2015-01-01,2683896,377989
2016-01-01,2538367,387506
2017-01-01,2553417,355665
2018-01-01,2430229,348079
2019-01-01,2411572,387753
2020-01-01,2372732,321325
2021-01-01,2220274,349122
2022-01-01,2246480,350512
2023-01-01,2185429,336846
2024-01-01,2133848,308141
2025-01-01,2007932,281717
