date,cases,deaths
2000-01-01,16401,2243
2001-01-01,15872,2389
2002-01-01,15185,2433
2003-01-01,14670,2148
2004-01-01,14774,2187
2005-01-01,14157,2109
2006-01-01,14114,2313
2007-01-01,13609,2129
2008-01-01,12730,1869
2009-01-01,12726,1960
2010-01-01,12637,1894
2011-01-01,11949,1958
2012-01-01,11529,1824
2013-01-01,11184,1837
2014-01-01,11536,1696
2015-01-01,11041,1523
2016-01-01,10542,1515
2017-01-01,10182,1562
2018-01-01,10141,1594
2019-01-01,10046,1587
2020-01-01,9429,1314
2021-01-01,9346,1269
2022-01-01,9382,1414
2023-01-01,8798,1246
2024-01-01,8503,1236
2025-01-01,8655,1192
