date,cases,deaths
2000-01-01,93714,15079
2001-01-01,89142,14081
2002-01-01,88482,12795
2003-01-01,85398,11856
2004-01-01,81734,11974
2005-01-01,81132,12020
2006-01-01,80991,12027
2007-01-01,76984,11259
2008-01-01,78285,12705
2009-01-01,73144,10174
2010-01-01,74280,11470
2011-01-01,69153,10838
2012-01-01,67405,9237
2013-01-01,65384,9630
2014-01-01,63423,9963
2015-01-01,64315,9177
2016-01-01,62668,8743
2017-01-01,58965,8675
2018-01-01,60018,9124
2019-01-01,57388,8352
2020-01-01,55978,8904
2021-01-01,55506,7911
2022-01-01,54158,8496
2023-01-01,51812,8046
2024-01-01,49364,7604
2025-01-01,49262,8050
